@relation ant-1.4

@attribute System {ant}
@attribute Version numeric
@attribute Class {org.apache.tools.ant.taskdefs.PathConvert,org.apache.tools.ant.taskdefs.Untar,org.apache.tools.ant.taskdefs.PumpStreamHandler,org.apache.tools.ant.taskdefs.Copydir,org.apache.tools.tar.TarEntry,org.apache.tools.tar.TarOutputStream,org.apache.tools.ant.taskdefs.JikesOutputParser,org.apache.tools.ant.taskdefs.compilers.Sj,org.apache.tools.ant.taskdefs.Filter,org.apache.tools.ant.taskdefs.ExecuteOn,org.apache.tools.ant.taskdefs.Echo,org.apache.tools.ant.taskdefs.SQLExec,org.apache.tools.ant.taskdefs.Parallel,org.apache.tools.ant.types.Commandline,org.apache.tools.ant.taskdefs.DependSet,org.apache.tools.ant.taskdefs.LogStreamHandler,org.apache.tools.ant.types.Path,org.apache.tools.ant.taskdefs.Sequential,org.apache.tools.ant.taskdefs.compilers.Gcj,org.apache.tools.ant.taskdefs.Patch,org.apache.tools.ant.taskdefs.GUnzip,org.apache.tools.ant.taskdefs.StreamPumper,org.apache.tools.ant.PathTokenizer,org.apache.tools.ant.taskdefs.Definer,org.apache.tools.ant.ProjectHelper,org.apache.tools.ant.taskdefs.KeySubst,org.apache.tools.ant.DirectoryScanner,org.apache.tools.ant.types.FilterSetCollection,org.apache.tools.ant.taskdefs.GenerateKey,org.apache.tools.ant.taskdefs.compilers.JavacExternal,org.apache.tools.ant.taskdefs.Transform,org.apache.tools.ant.util.GlobPatternMapper,org.apache.tools.ant.util.MergingMapper,org.apache.tools.ant.taskdefs.Execute,org.apache.tools.ant.taskdefs.MatchingTask,org.apache.tools.ant.util.IdentityMapper,org.apache.tools.ant.taskdefs.ExecuteJava,org.apache.tools.ant.Task,org.apache.tools.ant.types.Reference,org.apache.tools.mail.MailMessage,org.apache.tools.ant.DefaultLogger,org.apache.tools.ant.taskdefs.condition.Condition,org.apache.tools.ant.BuildListener,org.apache.tools.ant.taskdefs.Ear,org.apache.tools.ant.util.regexp.RegexpMatcher,org.apache.tools.ant.taskdefs.CompileTask,org.apache.tools.ant.taskdefs.Rmic,org.apache.tools.ant.UnknownElement,org.apache.tools.ant.taskdefs.CVSPass,org.apache.tools.ant.ProjectComponent,org.apache.tools.ant.XmlLogger,org.apache.tools.ant.types.Description,org.apache.tools.ant.util.RegexpPatternMapper,org.apache.tools.ant.taskdefs.ManifestException,org.apache.tools.ant.taskdefs.condition.Equals,org.apache.tools.mail.MailPrintStream,org.apache.tools.ant.taskdefs.XSLTProcess,org.apache.tools.ant.taskdefs.Manifest,org.apache.tools.ant.taskdefs.condition.Not,org.apache.tools.ant.taskdefs.Exit,org.apache.tools.ant.taskdefs.JavacOutputStream,org.apache.tools.ant.Project,org.apache.tools.ant.taskdefs.RecorderEntry,org.apache.tools.ant.ExitException,org.apache.tools.ant.taskdefs.Tar,org.apache.tools.ant.taskdefs.rmic.SunRmic,org.apache.tools.ant.types.PatternSet,org.apache.tools.ant.taskdefs.Java,org.apache.tools.ant.util.SourceFileScanner,org.apache.tools.ant.types.EnumeratedAttribute,org.apache.tools.zip.ExtraFieldUtils,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,org.apache.tools.ant.taskdefs.Touch,org.apache.tools.ant.taskdefs.Jikes,org.apache.tools.zip.ZipEntry,org.apache.tools.ant.taskdefs.Get,org.apache.tools.ant.taskdefs.AntStructure,org.apache.tools.ant.FileScanner,org.apache.tools.ant.taskdefs.Replace,org.apache.tools.ant.types.FilterSet,org.apache.tools.ant.taskdefs.Zip,org.apache.tools.ant.taskdefs.condition.Or,org.apache.tools.ant.taskdefs.rmic.KaffeRmic,org.apache.tools.zip.UnixStat,org.apache.tools.ant.taskdefs.Chmod,org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,org.apache.tools.ant.taskdefs.compilers.Javac13,org.apache.tools.ant.taskdefs.compilers.Javac12,org.apache.tools.ant.types.FileSet,org.apache.tools.ant.taskdefs.ExecTask,org.apache.tools.zip.AsiExtraField,org.apache.tools.ant.taskdefs.War,org.apache.tools.ant.Launcher,org.apache.tools.ant.types.ZipFileSet,org.apache.tools.ant.taskdefs.Ant,org.apache.tools.ant.taskdefs.SignJar,org.apache.tools.ant.taskdefs.condition.And,org.apache.tools.ant.BuildLogger,org.apache.tools.ant.taskdefs.Recorder,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,org.apache.tools.ant.taskdefs.ExecuteWatchdog,org.apache.tools.ant.TaskContainer,org.apache.tools.ant.types.Environment,org.apache.tools.ant.taskdefs.Available,org.apache.tools.tar.TarUtils,org.apache.tools.ant.Main,org.apache.tools.ant.taskdefs.Mkdir,org.apache.tools.ant.util.FileNameMapper,org.apache.tools.ant.listener.Log4jListener,org.apache.tools.ant.taskdefs.FixCRLF,org.apache.tools.ant.taskdefs.Javadoc,org.apache.tools.ant.taskdefs.Cvs,org.apache.tools.zip.ZipExtraField,org.apache.tools.ant.taskdefs.Rename,org.apache.tools.ant.types.CommandlineJava,org.apache.tools.ant.BuildEvent,org.apache.tools.ant.taskdefs.Jar,org.apache.tools.ant.taskdefs.Delete,org.apache.tools.ant.util.FlatFileNameMapper,org.apache.tools.ant.BuildException,org.apache.tools.ant.taskdefs.rmic.WLRmic,org.apache.tools.ant.util.regexp.JakartaOroMatcher,org.apache.tools.ant.Target,org.apache.tools.ant.taskdefs.Copy,org.apache.tools.ant.taskdefs.Typedef,org.apache.tools.ant.taskdefs.Sleep,org.apache.tools.ant.taskdefs.compilers.Jikes,org.apache.tools.ant.taskdefs.compilers.Kjc,org.apache.tools.ant.DemuxOutputStream,org.apache.tools.tar.TarInputStream,org.apache.tools.zip.ZipShort,org.apache.tools.ant.types.Mapper,org.apache.tools.ant.taskdefs.Taskdef,org.apache.tools.ant.util.FileUtils,org.apache.tools.zip.ZipOutputStream,org.apache.tools.zip.UnrecognizedExtraField,org.apache.tools.ant.taskdefs.TaskOutputStream,org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,org.apache.tools.ant.taskdefs.GZip,org.apache.tools.ant.taskdefs.condition.ConditionBase,org.apache.tools.ant.Location,org.apache.tools.ant.taskdefs.CallTarget,org.apache.tools.ant.taskdefs.LogOutputStream,org.apache.tools.ant.taskdefs.compilers.Jvc,org.apache.tools.zip.ZipLong,org.apache.tools.ant.taskdefs.rmic.RmicAdapter,org.apache.tools.ant.DesirableFilter,org.apache.tools.ant.taskdefs.UpToDate,org.apache.tools.ant.taskdefs.Copyfile,org.apache.tools.ant.Constants,org.apache.tools.mail.SmtpResponseReader,org.apache.tools.ant.taskdefs.Javac,org.apache.tools.ant.taskdefs.Move,org.apache.tools.ant.taskdefs.XSLTLiaison,org.apache.tools.ant.types.ZipScanner,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,org.apache.tools.ant.taskdefs.ConditionTask,org.apache.tools.tar.TarBuffer,org.apache.tools.ant.types.DataType,org.apache.tools.ant.taskdefs.Expand,org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.taskdefs.Deltree,org.apache.tools.ant.taskdefs.optional.TraXLiaison,org.apache.tools.ant.RuntimeConfigurable,org.apache.tools.ant.types.FileList,org.apache.tools.ant.taskdefs.Property,org.apache.tools.ant.taskdefs.Exec,org.apache.tools.ant.util.DOMElementWriter,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,org.apache.tools.ant.taskdefs.condition.Os,org.apache.tools.ant.taskdefs.Tstamp,org.apache.tools.tar.TarConstants,org.apache.tools.ant.taskdefs.SendEmail,org.apache.tools.ant.TaskAdapter,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,org.apache.tools.ant.NoBannerLogger}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
ant,1.4,org.apache.tools.ant.taskdefs.PathConvert,C,0,5,13,1,13,0.535714,359,0
ant,1.4,org.apache.tools.ant.taskdefs.Untar,C,0,3,5,0,14,0.47619,268,0
ant,1.4,org.apache.tools.ant.taskdefs.PumpStreamHandler,C,2,3,13,6,8,0.321429,94,0
ant,1.4,org.apache.tools.ant.taskdefs.Copydir,C,0,5,8,0,13,0.533333,251,0
ant,1.4,org.apache.tools.tar.TarEntry,C,9,7,31,4,8,0.133333,701,0
ant,1.4,org.apache.tools.tar.TarOutputStream,C,1,3,15,1,8,0.333333,410,0
ant,1.4,org.apache.tools.ant.taskdefs.JikesOutputParser,C,1,4,12,0,7,0,128,0
ant,1.4,org.apache.tools.ant.taskdefs.compilers.Sj,C,0,0,2,1,4,0.7,31,0
ant,1.4,org.apache.tools.ant.taskdefs.Filter,C,0,3,6,0,6,0.8,86,0
ant,1.4,org.apache.tools.ant.taskdefs.ExecuteOn,C,0,4,15,3,21,0.241667,705,1
ant,1.4,org.apache.tools.ant.taskdefs.Echo,C,0,4,7,1,13,0.428571,136,0
ant,1.4,org.apache.tools.ant.taskdefs.SQLExec,C,0,16,26,3,40,0.282051,1107,1
ant,1.4,org.apache.tools.ant.taskdefs.Parallel,C,0,0,3,1,12,0.4,145,0
ant,1.4,org.apache.tools.ant.types.Commandline,C,3,1,17,30,11,0.15914,421,0
ant,1.4,org.apache.tools.ant.taskdefs.DependSet,C,0,0,6,0,14,0.428571,483,2
ant,1.4,org.apache.tools.ant.taskdefs.LogStreamHandler,C,0,0,2,6,5,0.444444,29,0
ant,1.4,org.apache.tools.ant.types.Path,C,1,4,25,24,16,0.187097,687,0
ant,1.4,org.apache.tools.ant.taskdefs.Sequential,C,0,0,3,0,5,0.333333,28,0
ant,1.4,org.apache.tools.ant.taskdefs.compilers.Gcj,C,0,0,3,1,7,0.571429,125,0
ant,1.4,org.apache.tools.ant.taskdefs.Patch,C,0,7,9,0,9,0.533333,156,0
ant,1.4,org.apache.tools.ant.taskdefs.GUnzip,C,0,2,4,0,12,0.833333,209,0
ant,1.4,org.apache.tools.ant.taskdefs.StreamPumper,C,0,0,2,1,7,0,33,0
ant,1.4,org.apache.tools.ant.PathTokenizer,C,0,0,3,2,7,1,94,0
ant,1.4,org.apache.tools.ant.taskdefs.Definer,C,1,7,13,3,15,0.321429,346,0
ant,1.4,org.apache.tools.ant.ProjectHelper,C,0,0,12,18,30,0.241107,510,0
ant,1.4,org.apache.tools.ant.taskdefs.KeySubst,C,0,4,8,0,17,1,253,0
ant,1.4,org.apache.tools.ant.DirectoryScanner,C,7,2,23,20,10,0.155844,1455,0
ant,1.4,org.apache.tools.ant.types.FilterSetCollection,C,0,0,5,4,4,0.9,63,0
ant,1.4,org.apache.tools.ant.taskdefs.GenerateKey,C,0,11,14,2,12,0.428571,378,1
ant,1.4,org.apache.tools.ant.taskdefs.compilers.JavacExternal,C,0,0,2,1,4,0.7,35,0
ant,1.4,org.apache.tools.ant.taskdefs.Transform,C,0,0,1,0,1,0,3,0
ant,1.4,org.apache.tools.ant.util.GlobPatternMapper,C,0,2,5,1,4,0,126,0
ant,1.4,org.apache.tools.ant.util.MergingMapper,C,0,2,4,3,3,0,19,0
ant,1.4,org.apache.tools.ant.taskdefs.Execute,C,3,7,20,18,32,0.221538,622,1
ant,1.4,org.apache.tools.ant.taskdefs.MatchingTask,C,0,5,14,13,9,0.24183,158,0
ant,1.4,org.apache.tools.ant.util.IdentityMapper,C,0,2,4,1,3,1,12,0
ant,1.4,org.apache.tools.ant.taskdefs.ExecuteJava,C,0,4,6,1,15,0.666667,164,0
ant,1.4,org.apache.tools.ant.Task,C,5,6,20,92,6,0.060526,138,0
ant,1.4,org.apache.tools.ant.types.Reference,C,1,1,5,8,5,0.555556,49,0
ant,1.4,org.apache.tools.mail.MailMessage,C,2,1,27,1,13,0,492,0
ant,1.4,org.apache.tools.ant.DefaultLogger,C,0,4,14,4,12,0.472222,258,1
ant,1.4,org.apache.tools.ant.taskdefs.condition.Condition,I,0,0,0,8,2,0.222222,0,1
ant,1.4,org.apache.tools.ant.BuildListener,I,0,0,0,8,2,0.214286,0,0
ant,1.4,org.apache.tools.ant.taskdefs.Ear,C,0,2,7,0,10,0.8,142,0
ant,1.4,org.apache.tools.ant.util.regexp.RegexpMatcher,I,0,0,0,4,2,0.5,0,0
ant,1.4,org.apache.tools.ant.taskdefs.CompileTask,C,0,0,4,0,11,0.380952,82,0
ant,1.4,org.apache.tools.ant.taskdefs.Rmic,C,18,16,43,2,22,0.307692,651,0
ant,1.4,org.apache.tools.ant.UnknownElement,C,2,0,8,2,13,0.581818,232,0
ant,1.4,org.apache.tools.ant.taskdefs.CVSPass,C,0,3,6,0,11,1,1249,0
ant,1.4,org.apache.tools.ant.ProjectComponent,C,1,1,5,59,2,0.081823,27,0
ant,1.4,org.apache.tools.ant.XmlLogger,C,1,0,11,2,32,0.309091,491,0
ant,1.4,org.apache.tools.ant.types.Description,C,0,0,2,0,4,0.666667,26,1
ant,1.4,org.apache.tools.ant.util.RegexpPatternMapper,C,0,2,5,0,10,0.5,136,0
ant,1.4,org.apache.tools.ant.taskdefs.ManifestException,C,0,0,1,4,1,0.666667,4,0
ant,1.4,org.apache.tools.ant.taskdefs.condition.Equals,C,0,2,4,0,4,1,28,1
ant,1.4,org.apache.tools.mail.MailPrintStream,C,0,0,5,1,2,0,75,0
ant,1.4,org.apache.tools.ant.taskdefs.XSLTProcess,C,1,10,21,1,21,0.309091,703,0
ant,1.4,org.apache.tools.ant.taskdefs.Manifest,C,1,0,9,3,15,0.6,378,0
ant,1.4,org.apache.tools.ant.taskdefs.condition.Not,C,0,0,2,0,4,0.333333,31,1
ant,1.4,org.apache.tools.ant.taskdefs.Exit,C,0,1,4,0,7,0.7,43,2
ant,1.4,org.apache.tools.ant.taskdefs.JavacOutputStream,C,1,0,4,0,5,0,61,0
ant,1.4,org.apache.tools.ant.Project,C,14,7,76,75,34,0.080517,1669,0
ant,1.4,org.apache.tools.ant.taskdefs.RecorderEntry,C,1,5,17,1,13,0.4,336,0
ant,1.4,org.apache.tools.ant.ExitException,C,1,0,2,1,2,0,17,0
ant,1.4,org.apache.tools.ant.taskdefs.Tar,C,0,3,8,1,19,0.2,588,0
ant,1.4,org.apache.tools.ant.taskdefs.rmic.SunRmic,C,0,0,2,1,15,0.466667,136,1
ant,1.4,org.apache.tools.ant.types.PatternSet,C,0,5,20,7,16,0.439394,533,0
ant,1.4,org.apache.tools.ant.taskdefs.Java,C,0,13,26,0,23,0.316667,482,0
ant,1.4,org.apache.tools.ant.util.SourceFileScanner,C,0,0,3,7,9,0.277778,273,0
ant,1.4,org.apache.tools.ant.types.EnumeratedAttribute,C,1,1,4,20,4,0.090476,53,0
ant,1.4,org.apache.tools.zip.ExtraFieldUtils,C,0,0,7,1,17,0.666667,357,0
ant,1.4,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,I,0,0,0,3,2,0.833333,0,0
ant,1.4,org.apache.tools.ant.taskdefs.Touch,C,0,3,8,3,18,0.533333,281,0
ant,1.4,org.apache.tools.ant.taskdefs.Jikes,C,0,0,2,0,13,0.666667,171,0
ant,1.4,org.apache.tools.zip.ZipEntry,C,6,4,22,2,19,0.4,421,0
ant,1.4,org.apache.tools.ant.taskdefs.Get,C,0,5,8,0,16,0.9,381,0
ant,1.4,org.apache.tools.ant.taskdefs.AntStructure,C,0,1,9,0,28,0.6,718,1
ant,1.4,org.apache.tools.ant.FileScanner,I,0,0,0,3,1,0.666667,0,0
ant,1.4,org.apache.tools.ant.taskdefs.Replace,C,0,6,17,2,20,0.333333,638,1
ant,1.4,org.apache.tools.ant.types.FilterSet,C,5,3,17,7,20,0.4,432,0
ant,1.4,org.apache.tools.ant.taskdefs.Zip,C,0,7,28,4,34,0.198529,1382,0
ant,1.4,org.apache.tools.ant.taskdefs.condition.Or,C,0,0,2,0,4,0.333333,21,1
