@relation ant-1.5

@attribute System {ant}
@attribute Version numeric
@attribute Class {org.apache.tools.ant.taskdefs.War,org.apache.tools.ant.taskdefs.Copydir,org.apache.tools.ant.taskdefs.LoadProperties,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,org.apache.tools.tar.TarOutputStream,org.apache.tools.ant.types.Parameterizable,org.apache.tools.ant.taskdefs.SignJar,org.apache.tools.ant.taskdefs.condition.And,org.apache.tools.ant.BuildLogger,org.apache.tools.ant.taskdefs.ExecuteOn,org.apache.tools.ant.taskdefs.Echo,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,org.apache.tools.ant.taskdefs.Parallel,org.apache.tools.ant.TaskContainer,org.apache.tools.ant.filters.StripLineBreaks,org.apache.tools.ant.types.Environment,org.apache.tools.ant.taskdefs.DependSet,org.apache.tools.ant.types.selectors.ExtendSelector,org.apache.tools.ant.taskdefs.Available,org.apache.tools.ant.types.selectors.FileSelector,org.apache.tools.ant.types.Path,org.apache.tools.ant.filters.StripLineComments,org.apache.tools.ant.taskdefs.Sequential,org.apache.tools.ant.util.TaskLogger,org.apache.tools.ant.taskdefs.compilers.Gcj,org.apache.tools.ant.types.selectors.FilenameSelector,org.apache.tools.ant.taskdefs.condition.Http,org.apache.tools.ant.taskdefs.GUnzip,org.apache.tools.ant.taskdefs.FixCRLF,org.apache.tools.ant.types.selectors.SelectorScanner,org.apache.tools.ant.util.KeepAliveOutputStream,org.apache.tools.ant.PathTokenizer,org.apache.tools.ant.taskdefs.Definer,org.apache.tools.ant.input.InputHandler,org.apache.tools.ant.taskdefs.BUnzip2,org.apache.tools.ant.ProjectHelper,org.apache.tools.ant.input.DefaultInputHandler,org.apache.tools.ant.types.CommandlineJava,org.apache.tools.ant.filters.TailFilter,org.apache.tools.ant.taskdefs.XSLTLoggerAware,org.apache.tools.ant.listener.MailLogger,org.apache.tools.ant.taskdefs.Concat,org.apache.tools.ant.BuildEvent,org.apache.tools.ant.taskdefs.Jar,org.apache.tools.ant.taskdefs.Delete,org.apache.tools.ant.taskdefs.Untar,org.apache.tools.ant.taskdefs.ManifestTask,org.apache.tools.zip.AsiExtraField,org.apache.tools.ant.types.Substitution,org.apache.tools.ant.filters.LineContains,org.apache.tools.ant.taskdefs.MatchingTask,org.apache.tools.ant.taskdefs.Copy,org.apache.tools.ant.types.DTDLocation,org.apache.tools.ant.taskdefs.Typedef,org.apache.tools.ant.types.FlexInteger,org.apache.tools.ant.taskdefs.Sleep,org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,org.apache.tools.ant.types.Reference,org.apache.tools.ant.taskdefs.Chmod,org.apache.tools.ant.util.StringUtils,org.apache.tools.ant.taskdefs.XmlProperty,org.apache.tools.ant.TaskAdapter,org.apache.tools.ant.filters.PrefixLines,org.apache.tools.ant.taskdefs.compilers.Javac13,org.apache.tools.ant.filters.HeadFilter,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,org.apache.tools.ant.NoBannerLogger,org.apache.tools.mail.MailMessage,org.apache.tools.ant.filters.BaseParamFilterReader,org.apache.tools.ant.taskdefs.XSLTLogger,org.apache.tools.ant.DefaultLogger,org.apache.tools.tar.TarInputStream,org.apache.tools.ant.taskdefs.condition.Condition,org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,org.apache.tools.ant.taskdefs.condition.Contains,org.apache.tools.ant.helper.ProjectHelperImpl,org.apache.tools.ant.taskdefs.Ear,org.apache.tools.ant.taskdefs.Taskdef,org.apache.tools.ant.filters.TabsToSpaces,org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser,org.apache.tools.ant.util.regexp.RegexpMatcher,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.zip.ZipOutputStream,org.apache.tools.zip.UnrecognizedExtraField,org.apache.tools.ant.UnknownElement,org.apache.tools.ant.taskdefs.email.Message,org.apache.tools.ant.taskdefs.CVSPass,org.apache.tools.ant.ProjectComponent,org.apache.tools.ant.taskdefs.GZip,org.apache.tools.ant.taskdefs.condition.ConditionBase,org.apache.tools.ant.filters.ReplaceTokens,org.apache.tools.ant.util.RegexpPatternMapper,org.apache.tools.ant.taskdefs.email.EmailTask,org.apache.tools.ant.taskdefs.email.PlainMailer,org.apache.tools.ant.BuildException,org.apache.tools.ant.taskdefs.rmic.WLRmic,org.apache.tools.bzip2.CBZip2OutputStream,org.apache.tools.ant.util.DateUtils,org.apache.tools.ant.taskdefs.condition.Not,org.apache.tools.ant.types.selectors.SelectorContainer,org.apache.tools.ant.taskdefs.Exit,org.apache.tools.ant.taskdefs.Copyfile,org.apache.tools.ant.Project,org.apache.tools.ant.taskdefs.RecorderEntry,org.apache.tools.ant.taskdefs.Javac,org.apache.tools.ant.taskdefs.Tar,org.apache.tools.ant.taskdefs.XSLTLiaison,org.apache.tools.ant.taskdefs.email.EmailAddress,org.apache.tools.ant.util.TimeoutObserver,org.apache.tools.ant.taskdefs.rmic.SunRmic,org.apache.tools.ant.types.ZipScanner,org.apache.tools.ant.types.selectors.DepthSelector,org.apache.tools.ant.types.PatternSet,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,org.apache.tools.ant.taskdefs.Java,org.apache.tools.ant.util.SourceFileScanner,org.apache.tools.ant.types.EnumeratedAttribute,org.apache.tools.ant.taskdefs.Dirname,org.apache.tools.zip.ExtraFieldUtils,org.apache.tools.ant.types.selectors.BaseSelectorContainer,org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.taskdefs.Touch,org.apache.tools.ant.taskdefs.Deltree,org.apache.tools.ant.types.selectors.SizeSelector,org.apache.tools.ant.RuntimeConfigurable,org.apache.tools.ant.taskdefs.AntStructure,org.apache.tools.ant.util.LoaderUtils,org.apache.tools.ant.taskdefs.Exec,org.apache.tools.ant.taskdefs.Unpack,org.apache.tools.ant.types.FilterSet,org.apache.tools.ant.types.DirSet,org.apache.tools.ant.taskdefs.Zip,org.apache.tools.ant.types.AntFilterReader,org.apache.tools.ant.taskdefs.Tstamp,org.apache.tools.tar.TarConstants,org.apache.tools.zip.UnixStat,org.apache.tools.ant.filters.ClassConstants,org.apache.tools.ant.taskdefs.ExecTask,org.apache.tools.ant.taskdefs.ManifestException,org.apache.tools.ant.taskdefs.condition.Equals,org.apache.tools.ant.taskdefs.WaitFor,org.apache.tools.mail.MailPrintStream,org.apache.tools.ant.taskdefs.XSLTProcess,org.apache.tools.ant.taskdefs.Manifest,org.apache.tools.ant.types.selectors.DependSelector,org.apache.tools.ant.util.JAXPUtils,org.apache.tools.tar.TarEntry,org.apache.tools.ant.types.ZipFileSet,org.apache.tools.ant.Diagnostics,org.apache.tools.ant.taskdefs.Ant,org.apache.tools.ant.taskdefs.JikesOutputParser,org.apache.tools.ant.taskdefs.compilers.Sj,org.apache.tools.ant.taskdefs.Filter,org.apache.tools.ant.taskdefs.condition.IsTrue,org.apache.tools.ant.taskdefs.Recorder,org.apache.tools.bzip2.CRC,org.apache.tools.ant.taskdefs.SQLExec,org.apache.tools.ant.taskdefs.ExecuteWatchdog,org.apache.tools.ant.taskdefs.condition.IsSet,org.apache.tools.ant.types.Commandline,org.apache.tools.ant.types.selectors.NotSelector,org.apache.tools.ant.types.XMLCatalog,org.apache.tools.ant.filters.LineContainsRegExp,org.apache.tools.ant.taskdefs.LogStreamHandler,org.apache.tools.tar.TarUtils,org.apache.tools.ant.Main,org.apache.tools.ant.util.regexp.Regexp,org.apache.tools.ant.util.facade.FacadeTaskHelper,org.apache.tools.ant.taskdefs.Mkdir,org.apache.tools.ant.types.selectors.SelectSelector,org.apache.tools.ant.util.FileNameMapper,org.apache.tools.ant.taskdefs.Patch,org.apache.tools.ant.taskdefs.Basename,org.apache.tools.ant.taskdefs.StreamPumper,org.apache.tools.ant.types.RegularExpression,org.apache.tools.ant.taskdefs.Javadoc,org.apache.tools.ant.taskdefs.Cvs,org.apache.tools.zip.ZipExtraField,org.apache.tools.ant.util.facade.ImplementationSpecificArgument,org.apache.tools.ant.types.selectors.NoneSelector,org.apache.tools.ant.taskdefs.Rename,org.apache.tools.ant.taskdefs.KeySubst,org.apache.tools.ant.taskdefs.condition.FilesMatch,org.apache.tools.ant.filters.ExpandProperties,org.apache.tools.ant.DirectoryScanner,org.apache.tools.ant.taskdefs.ProcessDestroyer,org.apache.tools.ant.types.selectors.PresentSelector,org.apache.tools.ant.types.FilterSetCollection,org.apache.tools.ant.taskdefs.GenerateKey,org.apache.tools.ant.input.PropertyFileInputHandler,org.apache.tools.ant.types.selectors.OrSelector,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.taskdefs.PumpStreamHandler,org.apache.tools.ant.taskdefs.Checksum,org.apache.tools.ant.Target,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.util.IdentityMapper,org.apache.tools.ant.types.selectors.DateSelector,org.apache.tools.ant.taskdefs.ExecuteJava,org.apache.tools.ant.filters.StringInputStream,org.apache.tools.ant.Task,org.apache.tools.ant.taskdefs.compilers.Jikes,org.apache.tools.ant.taskdefs.BuildNumber,org.apache.tools.ant.taskdefs.compilers.Kjc,org.apache.tools.ant.listener.AnsiColorLogger,org.apache.tools.ant.util.PackageNameMapper,org.apache.tools.ant.types.selectors.ContainsSelector,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,org.apache.tools.ant.types.Parameter,org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.taskdefs.compilers.Javac12,org.apache.tools.ant.types.FileSet,org.apache.tools.ant.input.MultipleChoiceInputRequest,org.apache.tools.ant.taskdefs.condition.IsFalse,org.apache.tools.ant.types.selectors.MajoritySelector,org.apache.tools.ant.DemuxOutputStream,org.apache.tools.ant.util.regexp.RegexpFactory,org.apache.tools.zip.ZipShort,org.apache.tools.ant.BuildListener,org.apache.tools.ant.taskdefs.Pack,org.apache.tools.ant.types.Mapper,org.apache.tools.ant.types.selectors.BaseExtendSelector,org.apache.tools.ant.taskdefs.cvslib.CvsUser,org.apache.tools.ant.taskdefs.BZip2,org.apache.tools.ant.util.CollectionUtils,org.apache.tools.ant.util.regexp.RegexpUtil,org.apache.tools.bzip2.CBZip2InputStream,org.apache.tools.ant.util.FileUtils,org.apache.tools.ant.taskdefs.Rmic,org.apache.tools.ant.taskdefs.TaskOutputStream,org.apache.tools.ant.taskdefs.AbstractCvsTask,org.apache.tools.mail.ErrorInQuitException,org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,org.apache.tools.ant.taskdefs.cvslib.RCSFile,org.apache.tools.ant.XmlLogger,org.apache.tools.ant.types.Description,org.apache.tools.ant.Location,org.apache.tools.ant.taskdefs.compilers.JavacExternal,org.apache.tools.ant.util.FlatFileNameMapper,org.apache.tools.ant.taskdefs.Transform,org.apache.tools.ant.util.GlobPatternMapper,org.apache.tools.ant.util.MergingMapper,org.apache.tools.ant.taskdefs.Execute,org.apache.tools.ant.types.AbstractFileSet,org.apache.tools.ant.taskdefs.email.Mailer,org.apache.tools.ant.taskdefs.UpToDate,org.apache.tools.ant.util.JavaEnvUtils,org.apache.tools.ant.filters.StripJavaComments,org.apache.tools.mail.SmtpResponseReader,org.apache.tools.ant.taskdefs.LoadFile,org.apache.tools.ant.ExitException,org.apache.tools.ant.taskdefs.Move,org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry,org.apache.tools.ant.filters.util.JavaClassHelper,org.apache.tools.ant.taskdefs.TempFile,org.apache.tools.ant.types.selectors.BaseSelector,org.apache.tools.ant.types.selectors.AndSelector,org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,org.apache.tools.ant.taskdefs.cvslib.CVSEntry,org.apache.tools.ant.taskdefs.JDBCTask,org.apache.tools.ant.taskdefs.ConditionTask,org.apache.tools.tar.TarBuffer,org.apache.tools.bzip2.BZip2Constants,org.apache.tools.ant.types.DataType,org.apache.tools.ant.taskdefs.Expand,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,org.apache.tools.ant.DynamicConfigurator,org.apache.tools.ant.types.selectors.SelectorUtils,org.apache.tools.ant.taskdefs.Jikes,org.apache.tools.zip.ZipEntry,org.apache.tools.ant.types.FileList,org.apache.tools.ant.taskdefs.Property,org.apache.tools.ant.FileScanner,org.apache.tools.ant.taskdefs.Replace,org.apache.tools.ant.util.DOMElementWriter,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,org.apache.tools.ant.taskdefs.Input,org.apache.tools.ant.taskdefs.condition.Os,org.apache.tools.ant.taskdefs.condition.Or,org.apache.tools.ant.taskdefs.rmic.KaffeRmic,org.apache.tools.ant.input.InputRequest,org.apache.tools.ant.util.Watchdog,org.apache.tools.ant.taskdefs.SendEmail,org.apache.tools.ant.taskdefs.PathConvert,org.apache.tools.ant.taskdefs.CallTarget,org.apache.tools.ant.taskdefs.LogOutputStream,org.apache.tools.ant.taskdefs.compilers.Jvc,org.apache.tools.ant.types.selectors.ExtendFileSelector,org.apache.tools.zip.ZipLong,org.apache.tools.ant.taskdefs.rmic.RmicAdapter,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.taskdefs.condition.Socket}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
ant,1.5,org.apache.tools.ant.taskdefs.War,C,0,2,9,0,10,0.8,155,1
ant,1.5,org.apache.tools.ant.taskdefs.Copydir,C,0,5,8,0,13,0.533333,263,0
ant,1.5,org.apache.tools.ant.taskdefs.LoadProperties,C,0,1,4,0,18,0.466667,194,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,C,0,6,15,0,32,0.209524,482,0
ant,1.5,org.apache.tools.tar.TarOutputStream,C,1,3,15,1,8,0.333333,410,0
ant,1.5,org.apache.tools.ant.types.Parameterizable,I,0,0,0,4,1,0.166667,0,0
ant,1.5,org.apache.tools.ant.taskdefs.SignJar,C,0,12,18,0,19,0.381818,429,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.And,C,0,0,2,0,4,0.333333,21,0
ant,1.5,org.apache.tools.ant.BuildLogger,I,0,0,0,4,2,0.3,0,0
ant,1.5,org.apache.tools.ant.taskdefs.ExecuteOn,C,0,5,16,3,22,0.25,730,0
ant,1.5,org.apache.tools.ant.taskdefs.Echo,C,0,4,7,1,12,0.466667,133,0
ant,1.5,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,I,0,0,0,3,2,0.333333,0,0
ant,1.5,org.apache.tools.ant.taskdefs.Parallel,C,0,0,3,1,12,0.266667,142,0
ant,1.5,org.apache.tools.ant.TaskContainer,I,0,0,0,6,1,0.2,0,0
ant,1.5,org.apache.tools.ant.filters.StripLineBreaks,C,1,1,7,0,8,0.166667,97,0
ant,1.5,org.apache.tools.ant.types.Environment,C,1,0,3,6,5,0.666667,43,0
ant,1.5,org.apache.tools.ant.taskdefs.DependSet,C,0,0,6,0,14,0.416667,501,0
ant,1.5,org.apache.tools.ant.types.selectors.ExtendSelector,C,1,3,10,0,18,0.288889,232,0
ant,1.5,org.apache.tools.ant.taskdefs.Available,C,0,9,20,1,21,0.290909,781,0
ant,1.5,org.apache.tools.ant.types.selectors.FileSelector,I,0,0,0,10,2,0.236364,0,0
ant,1.5,org.apache.tools.ant.types.Path,C,0,3,28,27,22,0.184885,1017,0
ant,1.5,org.apache.tools.ant.filters.StripLineComments,C,1,1,8,1,8,0.1,153,0
ant,1.5,org.apache.tools.ant.taskdefs.Sequential,C,0,0,4,0,7,0.4,41,0
ant,1.5,org.apache.tools.ant.util.TaskLogger,C,0,0,6,0,2,0,36,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.Gcj,C,0,0,3,1,8,0.571429,144,0
ant,1.5,org.apache.tools.ant.types.selectors.FilenameSelector,C,0,4,8,0,8,0.1,184,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.Http,C,0,1,4,0,8,0.333333,103,1
ant,1.5,org.apache.tools.ant.taskdefs.GUnzip,C,1,0,3,0,10,1,120,0
ant,1.5,org.apache.tools.ant.taskdefs.FixCRLF,C,0,9,16,4,24,0.236364,1182,1
ant,1.5,org.apache.tools.ant.types.selectors.SelectorScanner,I,0,0,0,2,1,1,0,0
ant,1.5,org.apache.tools.ant.util.KeepAliveOutputStream,C,0,0,2,0,2,0,5,0
ant,1.5,org.apache.tools.ant.PathTokenizer,C,0,0,3,2,8,0.333333,189,0
ant,1.5,org.apache.tools.ant.taskdefs.Definer,C,1,8,14,2,18,0.555556,428,0
ant,1.5,org.apache.tools.ant.input.InputHandler,I,0,0,0,4,2,0.5,0,0
ant,1.5,org.apache.tools.ant.taskdefs.BUnzip2,C,1,0,3,0,12,0.5,159,0
ant,1.5,org.apache.tools.ant.ProjectHelper,C,0,0,13,10,25,0.373626,461,0
ant,1.5,org.apache.tools.ant.input.DefaultInputHandler,C,1,0,4,2,13,0.4,87,0
ant,1.5,org.apache.tools.ant.types.CommandlineJava,C,9,5,27,3,13,0.511111,367,0
ant,1.5,org.apache.tools.ant.filters.TailFilter,C,1,1,7,0,10,0.166667,271,0
ant,1.5,org.apache.tools.ant.taskdefs.XSLTLoggerAware,I,0,0,0,1,1,0,0,0
ant,1.5,org.apache.tools.ant.listener.MailLogger,C,0,0,5,0,18,0.3,244,0
ant,1.5,org.apache.tools.ant.taskdefs.Concat,C,0,3,12,0,30,0.309091,564,0
ant,1.5,org.apache.tools.ant.BuildEvent,C,6,1,11,6,4,0.472222,80,0
ant,1.5,org.apache.tools.ant.taskdefs.Jar,C,0,4,21,3,28,0.363636,768,0
ant,1.5,org.apache.tools.ant.taskdefs.Delete,C,0,11,21,0,14,0.527778,686,0
ant,1.5,org.apache.tools.ant.taskdefs.Untar,C,0,1,3,1,11,0.333333,100,0
ant,1.5,org.apache.tools.ant.taskdefs.ManifestTask,C,0,2,6,1,16,0.392857,207,0
ant,1.5,org.apache.tools.zip.AsiExtraField,C,8,5,20,0,12,0,349,0
ant,1.5,org.apache.tools.ant.types.Substitution,C,0,1,4,0,5,1,64,0
ant,1.5,org.apache.tools.ant.filters.LineContains,C,1,1,8,1,8,0.1,156,0
ant,1.5,org.apache.tools.ant.taskdefs.MatchingTask,C,0,8,36,11,10,0.27451,264,0
ant,1.5,org.apache.tools.ant.taskdefs.Copy,C,5,10,27,1,24,0.294118,873,0
ant,1.5,org.apache.tools.ant.types.DTDLocation,C,2,2,5,1,1,0,23,0
ant,1.5,org.apache.tools.ant.taskdefs.Typedef,C,0,0,2,0,4,0.833333,9,0
ant,1.5,org.apache.tools.ant.types.FlexInteger,C,0,0,3,0,2,0,15,0
ant,1.5,org.apache.tools.ant.taskdefs.Sleep,C,1,5,10,0,7,1,115,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,C,0,0,4,1,9,0.666667,168,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,C,1,0,3,1,7,0.166667,37,0
ant,1.5,org.apache.tools.ant.types.Reference,C,1,1,5,17,4,0.292398,48,0
ant,1.5,org.apache.tools.ant.taskdefs.Chmod,C,0,10,17,0,17,0.423077,278,0
ant,1.5,org.apache.tools.ant.util.StringUtils,C,0,0,6,14,8,0.054945,109,0
ant,1.5,org.apache.tools.ant.taskdefs.XmlProperty,C,0,5,9,0,18,0.833333,319,1
ant,1.5,org.apache.tools.ant.TaskAdapter,C,1,1,5,4,15,0.714286,213,1
ant,1.5,org.apache.tools.ant.filters.PrefixLines,C,1,1,7,0,7,0.166667,140,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.Javac13,C,0,0,2,1,10,0.7,63,0
ant,1.5,org.apache.tools.ant.filters.HeadFilter,C,1,1,7,0,9,0.166667,103,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,C,2,2,18,8,22,0.309524,857,1
ant,1.5,org.apache.tools.ant.NoBannerLogger,C,0,0,4,0,7,0.666667,54,0
ant,1.5,org.apache.tools.mail.MailMessage,C,2,2,29,2,14,0,528,0
ant,1.5,org.apache.tools.ant.filters.BaseParamFilterReader,C,1,1,4,9,2,0.163636,17,0
ant,1.5,org.apache.tools.ant.taskdefs.XSLTLogger,I,0,0,0,1,1,0,0,0
ant,1.5,org.apache.tools.ant.DefaultLogger,C,0,4,16,6,16,0.282051,311,0
ant,1.5,org.apache.tools.tar.TarInputStream,C,2,1,16,1,9,0.333333,516,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.Condition,I,0,0,0,17,2,0.111111,0,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,C,0,0,2,1,2,0,13,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.Contains,C,0,3,5,0,4,1,56,0
ant,1.5,org.apache.tools.ant.helper.ProjectHelperImpl,C,0,0,3,8,26,0.454545,252,0
ant,1.5,org.apache.tools.ant.taskdefs.Ear,C,0,2,7,0,10,0.8,141,1
ant,1.5,org.apache.tools.ant.taskdefs.Taskdef,C,0,0,2,0,4,0.833333,9,0
ant,1.5,org.apache.tools.ant.filters.TabsToSpaces,C,1,1,7,0,9,0.166667,115,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser,C,1,0,11,2,11,0.333333,287,0
ant,1.5,org.apache.tools.ant.util.regexp.RegexpMatcher,I,0,0,0,5,2,0.4,0,0
ant,1.5,org.apache.tools.ant.filters.BaseFilterReader,C,2,2,10,14,8,0.095238,137,0
ant,1.5,org.apache.tools.zip.ZipOutputStream,C,1,4,17,1,20,0.333333,1139,0
ant,1.5,org.apache.tools.zip.UnrecognizedExtraField,C,5,3,10,1,4,0.666667,63,0
ant,1.5,org.apache.tools.ant.UnknownElement,C,3,0,13,3,12,0.622222,408,0
ant,1.5,org.apache.tools.ant.taskdefs.email.Message,C,1,2,9,2,8,0.666667,128,1
ant,1.5,org.apache.tools.ant.taskdefs.CVSPass,C,0,3,6,0,12,0.333333,1252,0
ant,1.5,org.apache.tools.ant.ProjectComponent,C,1,1,5,98,2,0.058069,27,0
ant,1.5,org.apache.tools.ant.taskdefs.GZip,C,0,0,2,0,8,1,53,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.ConditionBase,C,1,0,18,5,2,0.133333,91,0
ant,1.5,org.apache.tools.ant.filters.ReplaceTokens,C,3,3,12,1,11,0.1,290,0
ant,1.5,org.apache.tools.ant.util.RegexpPatternMapper,C,0,2,5,0,10,0.5,136,0
ant,1.5,org.apache.tools.ant.taskdefs.email.EmailTask,C,1,14,23,2,21,0.230769,627,1
ant,1.5,org.apache.tools.ant.taskdefs.email.PlainMailer,C,0,0,3,1,16,0.333333,195,0
ant,1.5,org.apache.tools.ant.BuildException,C,2,1,14,191,7,0.032504,137,0
ant,1.5,org.apache.tools.ant.taskdefs.rmic.WLRmic,C,2,0,4,1,16,0.535714,117,0
ant,1.5,org.apache.tools.bzip2.CBZip2OutputStream,C,0,0,34,4,10,0.066667,6221,0
ant,1.5,org.apache.tools.ant.util.DateUtils,C,0,0,7,1,11,0,181,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.Not,C,0,0,2,0,4,0.333333,31,0
ant,1.5,org.apache.tools.ant.types.selectors.SelectorContainer,I,0,0,0,3,1,0.333333,0,0
ant,1.5,org.apache.tools.ant.taskdefs.Exit,C,0,3,8,0,6,0.833333,101,0
ant,1.5,org.apache.tools.ant.taskdefs.Copyfile,C,0,4,6,0,8,0.833333,127,0
ant,1.5,org.apache.tools.ant.Project,C,15,8,90,97,39,0.060307,2316,0
ant,1.5,org.apache.tools.ant.taskdefs.RecorderEntry,C,1,5,16,1,13,0.266667,341,0
ant,1.5,org.apache.tools.ant.taskdefs.Javac,C,28,29,72,4,18,0.272059,801,0
ant,1.5,org.apache.tools.ant.taskdefs.Tar,C,0,4,11,3,23,0.166667,648,1
ant,1.5,org.apache.tools.ant.taskdefs.XSLTLiaison,I,0,0,0,1,2,0,0,0
ant,1.5,org.apache.tools.ant.taskdefs.email.EmailAddress,C,2,2,7,2,2,1,44,0
ant,1.5,org.apache.tools.ant.util.TimeoutObserver,I,0,0,0,3,1,0.666667,0,0
ant,1.5,org.apache.tools.ant.taskdefs.rmic.SunRmic,C,0,0,2,1,15,0.466667,136,0
ant,1.5,org.apache.tools.ant.types.ZipScanner,C,2,1,6,2,3,0.333333,61,0
ant,1.5,org.apache.tools.ant.types.selectors.DepthSelector,C,0,3,7,0,10,0.5,250,0
ant,1.5,org.apache.tools.ant.types.PatternSet,C,0,5,21,8,16,0.5,605,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,C,0,0,4,1,19,0.307692,191,0
ant,1.5,org.apache.tools.ant.taskdefs.Java,C,0,16,31,0,26,0.294118,632,1
ant,1.5,org.apache.tools.ant.util.SourceFileScanner,C,0,0,3,7,10,0.254545,259,0
ant,1.5,org.apache.tools.ant.types.EnumeratedAttribute,C,2,1,7,45,4,0.041546,77,0
ant,1.5,org.apache.tools.ant.taskdefs.Dirname,C,0,2,4,0,5,0.833333,42,0
ant,1.5,org.apache.tools.zip.ExtraFieldUtils,C,0,0,7,1,17,0.666667,357,0
ant,1.5,org.apache.tools.ant.types.selectors.BaseSelectorContainer,C,0,0,22,6,8,0.244444,155,0
ant,1.5,org.apache.tools.ant.AntClassLoader,C,1,1,39,14,34,0.222222,1290,0
ant,1.5,org.apache.tools.ant.taskdefs.Touch,C,0,3,8,0,18,0.392857,302,0
ant,1.5,org.apache.tools.ant.taskdefs.Deltree,C,0,1,4,0,5,1,147,0
ant,1.5,org.apache.tools.ant.types.selectors.SizeSelector,C,0,4,8,2,11,0.2,350,0
ant,1.5,org.apache.tools.ant.RuntimeConfigurable,C,2,2,11,7,12,0.6,173,0
ant,1.5,org.apache.tools.ant.taskdefs.AntStructure,C,0,1,9,0,28,0.6,728,0
ant,1.5,org.apache.tools.ant.util.LoaderUtils,C,0,0,5,2,12,0.666667,111,0
ant,1.5,org.apache.tools.ant.taskdefs.Exec,C,0,5,10,1,17,0.5,352,0
ant,1.5,org.apache.tools.ant.taskdefs.Unpack,C,0,0,8,2,6,0.6,150,0
ant,1.5,org.apache.tools.ant.types.FilterSet,C,5,3,18,7,21,0.4,468,0
ant,1.5,org.apache.tools.ant.types.DirSet,C,0,0,3,3,3,0.733333,24,0
ant,1.5,org.apache.tools.ant.taskdefs.Zip,C,0,10,34,5,40,0.190476,1688,2
ant,1.5,org.apache.tools.ant.types.AntFilterReader,C,3,4,10,1,9,0.47619,153,0
ant,1.5,org.apache.tools.ant.taskdefs.Tstamp,C,0,1,4,2,15,0.6,136,0
