@relation ivy-1.4

@attribute System {ivy}
@attribute Version numeric
@attribute Class {fr.jayasoft.ivy.repository.vfs.IvyWebdavFileSystem,fr.jayasoft.ivy.util.EncrytedProperties,fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,fr.jayasoft.ivy.resolver.IvyRepResolver,fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent,fr.jayasoft.ivy.matcher.ExactPatternMatcher,fr.jayasoft.ivy.url.HttpClientHandler,fr.jayasoft.ivy.matcher.ExactOrRegexpPatternMatcher,fr.jayasoft.ivy.event.download.NeedArtifactEvent,fr.jayasoft.ivy.repository.ssh.SshResource,fr.jayasoft.ivy.status.StatusManager,fr.jayasoft.ivy.tools.analyser.DependencyAnalyser,fr.jayasoft.ivy.resolver.ChainResolver,fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy,fr.jayasoft.ivy.version.SubVersionMatcher,fr.jayasoft.ivy.report.ConfigurationResolveReport,fr.jayasoft.ivy.repository.AbstractRepository,fr.jayasoft.ivy.ant.IvyVar,fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,fr.jayasoft.ivy.latest.LatestTimeStrategy,fr.jayasoft.ivy.repository.TransferListener,fr.jayasoft.ivy.tools.analyser.JarJarDependencyAnalyser,fr.jayasoft.ivy.namespace.NameSpaceHelper,fr.jayasoft.ivy.version.LatestVersionMatcher,fr.jayasoft.ivy.version.ChainVersionMatcher,fr.jayasoft.ivy.resolver.RepositoryResolver,fr.jayasoft.ivy.ant.IvyResolve,fr.jayasoft.ivy.circular.CircularDependencyException,fr.jayasoft.ivy.report.ReportOutputter,fr.jayasoft.ivy.event.download.DownloadEvent,fr.jayasoft.ivy.report.XmlReportOutputter,fr.jayasoft.ivy.IvyAware,fr.jayasoft.ivy.repository.file.FileRepository,fr.jayasoft.ivy.repository.TransferEvent,fr.jayasoft.ivy.ant.AntMessageImpl,fr.jayasoft.ivy.util.DefaultMessageImpl,fr.jayasoft.ivy.report.DownloadStatus,fr.jayasoft.ivy.resolver.VsftpResolver,fr.jayasoft.ivy.util.IvyPatternHelper,fr.jayasoft.ivy.util.IvyPattern,fr.jayasoft.ivy.util.StringUtils,fr.jayasoft.ivy.event.AbstractTrigger,fr.jayasoft.ivy.resolver.OrganisationEntry,fr.jayasoft.ivy.circular.IgnoreCircularDependencyStrategy,fr.jayasoft.ivy.event.resolve.StartResolveEvent,fr.jayasoft.ivy.report.ResolveReport,fr.jayasoft.ivy.repository.sftp.SFTPResource,fr.jayasoft.ivy.version.PatternVersionMatcher,fr.jayasoft.ivy.repository.sftp.SFTPRepository,fr.jayasoft.ivy.ant.IvyFindRevision,fr.jayasoft.ivy.ant.IvyCacheTask,fr.jayasoft.ivy.filter.Filter,fr.jayasoft.ivy.event.download.EndArtifactDownloadEvent,fr.jayasoft.ivy.License,fr.jayasoft.ivy.version.AbstractVersionMatcher,fr.jayasoft.ivy.url.AbstractURLHandler,fr.jayasoft.ivy.xml.XmlReportParser,fr.jayasoft.ivy.namespace.NamespaceTransformer,fr.jayasoft.ivy.tools.analyser.JarModule,fr.jayasoft.ivy.circular.CircularDependencyHelper,fr.jayasoft.ivy.url.URLHandler,fr.jayasoft.ivy.circular.WarnCircularDependencyStrategy,fr.jayasoft.ivy.repository.url.URLRepository,fr.jayasoft.ivy.repository.file.FileResource,fr.jayasoft.ivy.conflict.AbstractConflictManager,fr.jayasoft.ivy.DefaultPublishingDRResolver,fr.jayasoft.ivy.repository.vfs.IvyWebdavConnectionManager,fr.jayasoft.ivy.parser.ModuleDescriptorParser,fr.jayasoft.ivy.ant.IvyInstall,fr.jayasoft.ivy.resolver.RevisionEntry,fr.jayasoft.ivy.url.CredentialsStore,fr.jayasoft.ivy.repository.ResourceHelper,fr.jayasoft.ivy.MDArtifact,fr.jayasoft.ivy.circular.ErrorCircularDependencyStrategy,fr.jayasoft.ivy.namespace.Namespace,fr.jayasoft.ivy.ArtifactInfo,fr.jayasoft.ivy.ant.IvyCacheFileset,fr.jayasoft.ivy.ant.IvyRepositoryReport,fr.jayasoft.ivy.resolver.CacheResolver,fr.jayasoft.ivy.conflict.NoConflictManager,fr.jayasoft.ivy.ArtifactRevisionId,fr.jayasoft.ivy.PublishingDependencyRevisionResolver,fr.jayasoft.ivy.ResolveData,fr.jayasoft.ivy.report.LogReportOutputter,fr.jayasoft.ivy.DependencyDescriptor,fr.jayasoft.ivy.url.ApacheURLLister,fr.jayasoft.ivy.ant.IvyRetrieve,fr.jayasoft.ivy.resolver.ResolvedResource,fr.jayasoft.ivy.event.Trigger,fr.jayasoft.ivy.matcher.GlobPatternMatcher,fr.jayasoft.ivy.util.FileUtil,fr.jayasoft.ivy.event.FilteredIvyListener,fr.jayasoft.ivy.resolver.ResolverHelper,fr.jayasoft.ivy.util.IvyThread,fr.jayasoft.ivy.latest.ComparatorLatestStrategy,fr.jayasoft.ivy.extendable.DefaultExtendableItem,fr.jayasoft.ivy.ant.IvyPostResolveTask,fr.jayasoft.ivy.repository.ssh.RemoteScpException,fr.jayasoft.ivy.ant.IvyReport,fr.jayasoft.ivy.resolver.VfsResolver,fr.jayasoft.ivy.event.IvyEvent,fr.jayasoft.ivy.parser.ModuleDescriptorParserRegistry,fr.jayasoft.ivy.Ivy,fr.jayasoft.ivy.util.PropertiesFile,fr.jayasoft.ivy.parser.AbstractModuleDescriptorParser,fr.jayasoft.ivy.tools.analyser.RepositoryAnalyser,fr.jayasoft.ivy.report.DownloadReport,fr.jayasoft.ivy.tools.analyser.JarModuleFinder,fr.jayasoft.ivy.repository.url.URLResource,fr.jayasoft.ivy.repository.vfs.IvyWebdavClientFactory,fr.jayasoft.ivy.repository.vfs.VfsRepository,fr.jayasoft.ivy.namespace.NamespaceRule,fr.jayasoft.ivy.util.CredentialsUtil,fr.jayasoft.ivy.event.IvyEventFilter,fr.jayasoft.ivy.resolver.ResourceMDParser,fr.jayasoft.ivy.resolver.AbstractSshBasedResolver,fr.jayasoft.ivy.ant.IvyCheck,fr.jayasoft.ivy.matcher.MatcherHelper,fr.jayasoft.ivy.ant.IvyBuildNumber,fr.jayasoft.ivy.matcher.PatternMatcher,fr.jayasoft.ivy.ant.IvyInfo,fr.jayasoft.ivy.event.resolve.ResolveDependencyEvent,fr.jayasoft.ivy.resolver.ResolvedModuleRevisionProxy,fr.jayasoft.ivy.resolver.SFTPResolver,fr.jayasoft.ivy.external.m2.PomModuleDescriptorParser,fr.jayasoft.ivy.repository.ssh.AbstractSshBasedRepository,fr.jayasoft.ivy.filter.NotFilter,fr.jayasoft.ivy.matcher.ModuleIdMatcher,fr.jayasoft.ivy.resolver.AbstractResolver,fr.jayasoft.ivy.Artifact,fr.jayasoft.ivy.matcher.RegexpPatternMatcher,fr.jayasoft.ivy.ModuleRevisionId,fr.jayasoft.ivy.util.Configurator,fr.jayasoft.ivy.Configuration,fr.jayasoft.ivy.ant.IvyListModules,fr.jayasoft.ivy.resolver.DualResolver,fr.jayasoft.ivy.util.Message,fr.jayasoft.ivy.DefaultModuleRevision,fr.jayasoft.ivy.ModuleDescriptor,fr.jayasoft.ivy.ant.IvyExtractFromSources,fr.jayasoft.ivy.resolver.AbstractResourceResolver,fr.jayasoft.ivy.repository.ssh.SshCache,fr.jayasoft.ivy.ant.PackageMapping,fr.jayasoft.ivy.filter.OrFilter,fr.jayasoft.ivy.ant.AntCallTrigger,fr.jayasoft.ivy.event.resolve.EndResolveDependencyEvent,fr.jayasoft.ivy.repository.vfs.VfsResource,fr.jayasoft.ivy.util.ChecksumHelper,fr.jayasoft.ivy.IvyContext,fr.jayasoft.ivy.resolver.SshResolver,fr.jayasoft.ivy.ant.IvyArtifactProperty,fr.jayasoft.ivy.ant.AntBuildTrigger,fr.jayasoft.ivy.conflict.StrictConflictException,fr.jayasoft.ivy.extendable.ExtendableItem,fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor,fr.jayasoft.ivy.event.IvyListener,fr.jayasoft.ivy.repository.BasicResource,fr.jayasoft.ivy.ModuleId,fr.jayasoft.ivy.conflict.LatestConflictManager,fr.jayasoft.ivy.DefaultModuleDescriptor,fr.jayasoft.ivy.repository.vsftp.VsftpResource,fr.jayasoft.ivy.util.MessageImpl,fr.jayasoft.ivy.Main,fr.jayasoft.ivy.extendable.UnmodifiableExtendableItem,fr.jayasoft.ivy.DependencyArtifactDescriptor,fr.jayasoft.ivy.ant.IvyConvertPom,fr.jayasoft.ivy.matcher.Matcher,fr.jayasoft.ivy.filter.ArtifactTypeFilter,fr.jayasoft.ivy.status.Status,fr.jayasoft.ivy.ArtifactId,fr.jayasoft.ivy.repository.Resource,fr.jayasoft.ivy.ModuleDescriptorSorter,fr.jayasoft.ivy.repository.ssh.SshRepository,fr.jayasoft.ivy.repository.vsftp.VsftpRepository,fr.jayasoft.ivy.conflict.RegexpConflictManager,fr.jayasoft.ivy.report.ArtifactDownloadReport,fr.jayasoft.ivy.ResolvedURL,fr.jayasoft.ivy.extendable.ExtendableItemHelper,fr.jayasoft.ivy.conflict.FixedConflictManager,fr.jayasoft.ivy.repository.ssh.Scp,fr.jayasoft.ivy.ant.IvyBuildList,fr.jayasoft.ivy.resolver.FileURLLister,fr.jayasoft.ivy.matcher.NoMatcher,fr.jayasoft.ivy.event.download.StartArtifactDownloadEvent,fr.jayasoft.ivy.repository.vfs.IvyWebdavFileProvider,fr.jayasoft.ivy.resolver.HasLatestStrategy,fr.jayasoft.ivy.DependencyResolver,fr.jayasoft.ivy.ant.IvyDeliver,fr.jayasoft.ivy.resolver.FileSystemResolver,fr.jayasoft.ivy.resolver.ModuleEntry,fr.jayasoft.ivy.resolver.URLResolver,fr.jayasoft.ivy.resolver.BasicResolver,fr.jayasoft.ivy.version.VersionMatcher,fr.jayasoft.ivy.latest.AbstractLatestStrategy,fr.jayasoft.ivy.matcher.AnyMatcher,fr.jayasoft.ivy.ant.IvyTask,fr.jayasoft.ivy.circular.CircularDependencyStrategy,fr.jayasoft.ivy.event.resolve.ResolveEvent,fr.jayasoft.ivy.filter.FilterHelper,fr.jayasoft.ivy.util.CopyProgressListener,fr.jayasoft.ivy.latest.LatestRevisionStrategy,fr.jayasoft.ivy.resolver.MDResolvedResource,fr.jayasoft.ivy.resolver.ApacheHttpURLLister,fr.jayasoft.ivy.url.URLHandlerRegistry,fr.jayasoft.ivy.ArtifactOrigin,fr.jayasoft.ivy.conflict.StrictConflictManager,fr.jayasoft.ivy.namespace.MRIDTransformationRule,fr.jayasoft.ivy.namespace.MRIDRule,fr.jayasoft.ivy.ant.IvyConfigure,fr.jayasoft.ivy.xml.XmlIvyConfigurationParser,fr.jayasoft.ivy.filter.AndFilter,fr.jayasoft.ivy.version.ExactVersionMatcher,fr.jayasoft.ivy.repository.RepositoryCopyProgressListener,fr.jayasoft.ivy.event.download.PrepareDownloadEvent,fr.jayasoft.ivy.LatestStrategy,fr.jayasoft.ivy.DefaultDependencyDescriptor,fr.jayasoft.ivy.event.resolve.EndResolveEvent,fr.jayasoft.ivy.util.CopyProgressEvent,fr.jayasoft.ivy.util.Credentials,fr.jayasoft.ivy.ResolvedModuleRevision,fr.jayasoft.ivy.ConflictManager,fr.jayasoft.ivy.xml.XmlModuleDescriptorWriter,fr.jayasoft.ivy.AbstractArtifact,fr.jayasoft.ivy.DefaultArtifact,fr.jayasoft.ivy.resolver.URLLister,fr.jayasoft.ivy.ant.IvyCachePath,fr.jayasoft.ivy.filter.NoFilter,fr.jayasoft.ivy.ant.IvyPublish,fr.jayasoft.ivy.url.BasicURLHandler,fr.jayasoft.ivy.url.URLHandlerDispatcher,fr.jayasoft.ivy.ant.IvyArtifactReport,fr.jayasoft.ivy.repository.LazyResource,fr.jayasoft.ivy.url.IvyAuthenticator,fr.jayasoft.ivy.util.XMLHelper,fr.jayasoft.ivy.version.VersionRangeMatcher,fr.jayasoft.ivy.latest.LatestLexicographicStrategy,fr.jayasoft.ivy.version.Match,fr.jayasoft.ivy.repository.Repository,fr.jayasoft.ivy.resolver.IBiblioResolver,fr.jayasoft.ivy.ant.AddPathTask,fr.jayasoft.ivy.IvyNode}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
ivy,1.4,fr.jayasoft.ivy.repository.vfs.IvyWebdavFileSystem,C,0,0,1,1,1,0,6,0
ivy,1.4,fr.jayasoft.ivy.util.EncrytedProperties,C,0,0,7,1,5,0,60,0
ivy,1.4,fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,C,0,0,7,3,20,0.3,171,1
ivy,1.4,fr.jayasoft.ivy.resolver.IvyRepResolver,C,9,5,27,0,24,0.214286,450,0
ivy,1.4,fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent,C,0,0,1,1,1,0,7,0
ivy,1.4,fr.jayasoft.ivy.matcher.ExactPatternMatcher,C,1,0,5,5,5,0.190476,23,0
ivy,1.4,fr.jayasoft.ivy.url.HttpClientHandler,C,2,0,18,7,39,0.164835,550,0
ivy,1.4,fr.jayasoft.ivy.matcher.ExactOrRegexpPatternMatcher,C,1,0,5,2,5,0.333333,23,0
ivy,1.4,fr.jayasoft.ivy.event.download.NeedArtifactEvent,C,1,0,2,1,2,0.333333,18,0
ivy,1.4,fr.jayasoft.ivy.repository.ssh.SshResource,C,3,0,12,1,6,0.333333,204,0
ivy,1.4,fr.jayasoft.ivy.status.StatusManager,C,3,1,13,7,15,0.361111,279,0
ivy,1.4,fr.jayasoft.ivy.tools.analyser.DependencyAnalyser,I,0,0,0,2,1,1,0,0
ivy,1.4,fr.jayasoft.ivy.resolver.ChainResolver,C,1,2,20,2,29,0.176471,662,0
ivy,1.4,fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy,C,1,0,3,3,2,0,12,0
ivy,1.4,fr.jayasoft.ivy.version.SubVersionMatcher,C,0,0,3,1,3,0.333333,24,0
ivy,1.4,fr.jayasoft.ivy.report.ConfigurationResolveReport,C,15,0,23,6,26,0.448718,578,0
ivy,1.4,fr.jayasoft.ivy.repository.AbstractRepository,C,2,1,20,7,15,0.109091,260,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyVar,C,5,5,13,0,12,1,173,0
ivy,1.4,fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,C,0,0,8,4,17,0.5,101,1
ivy,1.4,fr.jayasoft.ivy.latest.LatestTimeStrategy,C,0,0,2,1,2,0,12,0
ivy,1.4,fr.jayasoft.ivy.repository.TransferListener,I,0,0,0,3,2,0.333333,0,0
ivy,1.4,fr.jayasoft.ivy.tools.analyser.JarJarDependencyAnalyser,C,0,0,3,1,22,0.311111,208,0
ivy,1.4,fr.jayasoft.ivy.namespace.NameSpaceHelper,C,0,0,9,4,12,0.384615,134,0
ivy,1.4,fr.jayasoft.ivy.version.LatestVersionMatcher,C,0,0,5,1,5,0.4,38,0
ivy,1.4,fr.jayasoft.ivy.version.ChainVersionMatcher,C,1,1,8,1,7,0.666667,151,1
ivy,1.4,fr.jayasoft.ivy.resolver.RepositoryResolver,C,2,4,18,5,33,0.113333,668,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyResolve,C,9,18,36,2,16,0.535714,521,1
ivy,1.4,fr.jayasoft.ivy.circular.CircularDependencyException,C,1,0,2,2,2,0.333333,11,0
ivy,1.4,fr.jayasoft.ivy.report.ReportOutputter,I,0,0,0,4,1,0.833333,0,0
ivy,1.4,fr.jayasoft.ivy.event.download.DownloadEvent,C,1,0,3,3,2,0,24,0
ivy,1.4,fr.jayasoft.ivy.report.XmlReportOutputter,C,1,0,10,5,40,0.213439,961,0
ivy,1.4,fr.jayasoft.ivy.IvyAware,I,0,0,0,7,1,0.238095,0,0
ivy,1.4,fr.jayasoft.ivy.repository.file.FileRepository,C,0,1,10,2,11,0.1,176,0
ivy,1.4,fr.jayasoft.ivy.repository.TransferEvent,C,7,8,20,2,5,0.1,172,0
ivy,1.4,fr.jayasoft.ivy.ant.AntMessageImpl,C,0,0,6,1,7,0,80,0
ivy,1.4,fr.jayasoft.ivy.util.DefaultMessageImpl,C,1,0,6,1,4,0,33,0
ivy,1.4,fr.jayasoft.ivy.report.DownloadStatus,C,0,0,3,7,1,0.380952,25,0
ivy,1.4,fr.jayasoft.ivy.resolver.VsftpResolver,C,5,5,12,0,2,0,55,0
ivy,1.4,fr.jayasoft.ivy.util.IvyPatternHelper,C,0,0,28,16,18,0.19883,886,0
ivy,1.4,fr.jayasoft.ivy.util.IvyPattern,C,1,1,3,1,1,0,10,0
ivy,1.4,fr.jayasoft.ivy.util.StringUtils,C,0,0,7,6,4,0.066667,1199,0
ivy,1.4,fr.jayasoft.ivy.event.AbstractTrigger,C,5,3,10,2,5,0.466667,53,0
ivy,1.4,fr.jayasoft.ivy.resolver.OrganisationEntry,C,2,0,3,7,1,0.52381,15,0
ivy,1.4,fr.jayasoft.ivy.circular.IgnoreCircularDependencyStrategy,C,0,0,4,1,4,0.166667,22,0
ivy,1.4,fr.jayasoft.ivy.event.resolve.StartResolveEvent,C,0,0,1,1,1,0,7,0
ivy,1.4,fr.jayasoft.ivy.report.ResolveReport,C,12,3,22,8,21,0.397436,440,0
ivy,1.4,fr.jayasoft.ivy.repository.sftp.SFTPResource,C,3,0,10,1,4,0,72,0
ivy,1.4,fr.jayasoft.ivy.version.PatternVersionMatcher,C,0,0,5,0,10,0.166667,136,0
ivy,1.4,fr.jayasoft.ivy.repository.sftp.SFTPRepository,C,1,0,11,4,22,0.142857,414,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyFindRevision,C,5,5,12,0,7,0.7,104,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyCacheTask,C,2,0,3,2,20,0.236364,149,0
ivy,1.4,fr.jayasoft.ivy.filter.Filter,I,0,0,0,12,1,0.166667,0,0
ivy,1.4,fr.jayasoft.ivy.event.download.EndArtifactDownloadEvent,C,2,0,3,1,7,0.266667,72,0
ivy,1.4,fr.jayasoft.ivy.License,C,2,0,3,3,1,0.333333,15,0
ivy,1.4,fr.jayasoft.ivy.version.AbstractVersionMatcher,C,2,2,9,6,4,0.111111,34,0
ivy,1.4,fr.jayasoft.ivy.url.AbstractURLHandler,C,0,0,8,2,3,0.833333,44,0
ivy,1.4,fr.jayasoft.ivy.xml.XmlReportParser,C,0,0,8,7,12,0.4,190,0
ivy,1.4,fr.jayasoft.ivy.namespace.NamespaceTransformer,I,0,0,0,9,1,0.305556,0,0
ivy,1.4,fr.jayasoft.ivy.tools.analyser.JarModule,C,2,0,4,2,2,1,28,0
ivy,1.4,fr.jayasoft.ivy.circular.CircularDependencyHelper,C,0,0,4,4,4,0.2,59,0
ivy,1.4,fr.jayasoft.ivy.url.URLHandler,I,0,0,1,11,3,0.254545,8,0
ivy,1.4,fr.jayasoft.ivy.circular.WarnCircularDependencyStrategy,C,0,0,4,1,4,0.166667,22,0
ivy,1.4,fr.jayasoft.ivy.repository.url.URLRepository,C,0,0,5,2,20,0.178571,220,0
ivy,1.4,fr.jayasoft.ivy.repository.file.FileResource,C,5,0,11,2,6,0.333333,54,0
ivy,1.4,fr.jayasoft.ivy.conflict.AbstractConflictManager,C,2,2,6,5,3,0,20,0
ivy,1.4,fr.jayasoft.ivy.DefaultPublishingDRResolver,C,0,0,2,3,3,0.4,6,0
ivy,1.4,fr.jayasoft.ivy.repository.vfs.IvyWebdavConnectionManager,C,3,4,16,3,13,0.333333,187,0
ivy,1.4,fr.jayasoft.ivy.parser.ModuleDescriptorParser,I,0,0,0,5,3,0.6,0,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyInstall,C,8,10,22,0,8,0.666667,211,0
ivy,1.4,fr.jayasoft.ivy.resolver.RevisionEntry,C,6,0,7,3,2,1,31,0
ivy,1.4,fr.jayasoft.ivy.url.CredentialsStore,C,0,0,4,4,6,0.4,52,0
ivy,1.4,fr.jayasoft.ivy.repository.ResourceHelper,C,0,0,2,1,8,0.666667,41,0
ivy,1.4,fr.jayasoft.ivy.MDArtifact,C,8,0,12,4,7,0.47619,130,0
ivy,1.4,fr.jayasoft.ivy.circular.ErrorCircularDependencyStrategy,C,0,0,4,1,2,0,16,0
ivy,1.4,fr.jayasoft.ivy.namespace.Namespace,C,3,2,9,10,5,0.333333,54,0
ivy,1.4,fr.jayasoft.ivy.ArtifactInfo,I,0,0,0,13,1,0.051282,0,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyCacheFileset,C,1,2,5,0,13,0.666667,102,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyRepositoryReport,C,10,14,37,0,22,0.535714,582,0
ivy,1.4,fr.jayasoft.ivy.resolver.CacheResolver,C,1,0,13,1,17,0.227273,366,0
ivy,1.4,fr.jayasoft.ivy.conflict.NoConflictManager,C,0,0,2,1,1,0,8,0
ivy,1.4,fr.jayasoft.ivy.ArtifactRevisionId,C,6,0,13,4,5,0.428571,191,0
ivy,1.4,fr.jayasoft.ivy.PublishingDependencyRevisionResolver,I,0,0,0,2,1,0,0,0
ivy,1.4,fr.jayasoft.ivy.ResolveData,C,5,1,15,10,4,0.333333,105,0
ivy,1.4,fr.jayasoft.ivy.report.LogReportOutputter,C,1,0,5,1,14,0.571429,484,0
ivy,1.4,fr.jayasoft.ivy.DependencyDescriptor,I,0,0,0,18,2,0.169591,0,0
ivy,1.4,fr.jayasoft.ivy.url.ApacheURLLister,C,0,0,6,2,15,0.333333,173,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyRetrieve,C,2,3,8,0,7,1,99,0
ivy,1.4,fr.jayasoft.ivy.resolver.ResolvedResource,C,3,0,5,6,4,0.285714,34,0
ivy,1.4,fr.jayasoft.ivy.event.Trigger,I,0,0,0,4,2,0.4,0,0
ivy,1.4,fr.jayasoft.ivy.matcher.GlobPatternMatcher,C,1,0,5,2,5,0.166667,23,0
ivy,1.4,fr.jayasoft.ivy.util.FileUtil,C,0,0,12,12,20,0.183824,334,0
ivy,1.4,fr.jayasoft.ivy.event.FilteredIvyListener,C,2,0,4,1,3,0.666667,25,0
ivy,1.4,fr.jayasoft.ivy.resolver.ResolverHelper,C,0,0,7,2,20,0.277778,929,1
ivy,1.4,fr.jayasoft.ivy.util.IvyThread,C,0,0,10,4,2,0.4,72,0
ivy,1.4,fr.jayasoft.ivy.latest.ComparatorLatestStrategy,C,1,1,6,3,7,0.1,69,0
ivy,1.4,fr.jayasoft.ivy.extendable.DefaultExtendableItem,C,0,0,5,2,1,0,26,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyPostResolveTask,C,9,10,25,2,10,0.361111,427,1
ivy,1.4,fr.jayasoft.ivy.repository.ssh.RemoteScpException,C,0,0,4,2,1,1,16,0
ivy,1.4,fr.jayasoft.ivy.ant.IvyReport,C,8,12,32,0,23,0.571429,643,0
ivy,1.4,fr.jayasoft.ivy.resolver.VfsResolver,C,1,0,5,1,6,0.333333,71,0
ivy,1.4,fr.jayasoft.ivy.event.IvyEvent,C,3,0,13,12,9,0.025,146,0
ivy,1.4,fr.jayasoft.ivy.parser.ModuleDescriptorParserRegistry,C,1,0,9,4,11,0.361111,116,0
ivy,1.4,fr.jayasoft.ivy.Ivy,C,17,16,207,55,141,0.047582,8110,3
ivy,1.4,fr.jayasoft.ivy.util.PropertiesFile,C,0,0,2,1,8,1,98,0
ivy,1.4,fr.jayasoft.ivy.parser.AbstractModuleDescriptorParser,C,0,0,2,6,6,0.285714,13,1
ivy,1.4,fr.jayasoft.ivy.tools.analyser.RepositoryAnalyser,C,0,0,3,0,14,0.25,98,0
ivy,1.4,fr.jayasoft.ivy.report.DownloadReport,C,0,0,5,6,8,0.619048,69,0
ivy,1.4,fr.jayasoft.ivy.tools.analyser.JarModuleFinder,C,0,0,3,2,13,0.333333,150,0
ivy,1.4,fr.jayasoft.ivy.repository.url.URLResource,C,4,0,11,7,10,0.218182,91,0
ivy,1.4,fr.jayasoft.ivy.repository.vfs.IvyWebdavClientFactory,C,0,0,2,1,11,0,74,0
ivy,1.4,fr.jayasoft.ivy.repository.vfs.VfsRepository,C,1,0,8,1,21,0.266667,324,0
ivy,1.4,fr.jayasoft.ivy.namespace.NamespaceRule,C,4,2,9,2,2,0,47,0
ivy,1.4,fr.jayasoft.ivy.util.CredentialsUtil,C,0,0,3,2,20,0.3,227,0
ivy,1.4,fr.jayasoft.ivy.event.IvyEventFilter,C,0,0,3,2,15,0.205128,192,0
ivy,1.4,fr.jayasoft.ivy.resolver.ResourceMDParser,I,0,0,0,3,1,0,0,0
