@relation jedit-3.2

@attribute System {jEdit}
@attribute Version {3.2.1}
@attribute Class {org.gjt.sp.jedit.Registers,gnu.regexp.RETokenRepeated,gnu.regexp.REMatchEnumeration,bsh.BSHType,gnu.regexp.RETokenOneOf,bsh.BSHArrayDimensions,org.gjt.sp.jedit.options.StyleTableModel,gnu.regexp.CharIndexedString,org.gjt.sp.jedit.gui.DockableWindowContainer,org.gjt.sp.jedit.textarea.TextRendererAWT,org.gjt.sp.jedit.EditPlugin,bsh.BSHLHSPrimarySuffix,org.gjt.sp.jedit.browser.VFSBrowser,org.gjt.sp.jedit.options.DockingOptionPane,org.gjt.sp.jedit.options.WindowTableModel,bsh.Interpreter,org.gjt.sp.jedit.gui.HelpViewer,org.gjt.sp.jedit.msg.CreateDockableWindow,org.gjt.sp.jedit.options.EditingOptionPane,org.gjt.sp.jedit.textarea.JEditTextArea,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.EBComponent,org.gjt.sp.jedit.gui.KeyEventWorkaround,org.gjt.sp.jedit.gui.PastePrevious,org.gjt.sp.jedit.EditPane,org.gjt.sp.jedit.EBMessage,org.gjt.sp.jedit.options.AbbrevsOptionPane,org.gjt.sp.jedit.gui.CloseDialog,org.gjt.sp.jedit.search.SearchDialog,gnu.regexp.RETokenLookAhead,gnu.regexp.RESyntax,org.gjt.sp.jedit.search.AllBufferSet,bsh.ReturnControl,org.gjt.sp.jedit.gui.EditAbbrevDialog,org.gjt.sp.jedit.gui.SelectLineRange,bsh.BSHSwitchStatement,org.gjt.sp.jedit.io.FavoritesVFS,org.gjt.sp.jedit.options.GeneralOptionPane,org.gjt.sp.jedit.gui.CurrentDirectoryMenu,org.gjt.sp.jedit.gui.JCheckBoxList,bsh.Node,org.gjt.sp.jedit.options.ColorOptionPane,org.gjt.sp.jedit.textarea.Gutter,bsh.BSHBinaryExpression,bsh.This,bsh.BSHTryStatement,bsh.BSHWhileStatement,org.gjt.sp.jedit.proto.jeditresource.Handler,org.gjt.sp.jedit.options.BrowserOptionPane,org.gjt.sp.jedit.textarea.TextRenderer,org.gjt.sp.jedit.gui.EnhancedMenuItem,org.gjt.sp.jedit.browser.BrowserListener,bsh.Primitive,bsh.Reflect,gnu.regexp.CharUnit,org.gjt.sp.util.WorkThreadPool,bsh.Capabilities,org.gjt.sp.jedit.gui.FontSelectorDialog,bsh.ClassPathException,org.gjt.sp.jedit.gui.EnhancedDialog,org.gjt.sp.jedit.browser.BrowserView,org.gjt.sp.jedit.options.PrintOptionPane,com.microstar.xml.XmlException,org.gjt.sp.jedit.msg.PropertiesChanged,org.gjt.sp.jedit.AbstractOptionPane,gnu.regexp.REToken,org.gjt.sp.jedit.syntax.XModeHandler,org.gjt.sp.jedit.Macros,org.gjt.sp.jedit.syntax.TokenMarker,org.gjt.sp.jedit.options.ColorTableModel,bsh.ParserTreeConstants,org.gjt.sp.jedit.search.SearchAndReplace,bsh.ParserTokenManager,gnu.regexp.CharIndexedStringBuffer,org.gjt.sp.jedit.EditBus,org.gjt.sp.jedit.gui.VariableGridLayout,org.gjt.sp.jedit.options.GutterOptionPane,org.gjt.sp.jedit.options.StyleOptionPane,bsh.BSHArrayInitializer,org.gjt.sp.jedit.pluginmgr.PluginListHandler,bsh.ASCII_UCodeESC_CharStream,org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.gui.BufferSwitcher,gnu.regexp.RETokenEnd,org.gjt.sp.jedit.View,org.gjt.sp.jedit.io.VFS,bsh.LHS,gnu.regexp.RETokenEndSub,gnu.regexp.RETokenRange,org.gjt.sp.jedit.options.ContextAddDialog,org.gjt.sp.jedit.gui.RecentFilesMenu,bsh.commands.dir,gnu.regexp.REException,bsh.BSHLHSPrimaryExpression,bsh.BshClassManager,bsh.Name,org.gjt.sp.jedit.gui.OpenWithEncodingMenu,gnu.regexp.REMatch,gnu.regexp.REFilterReader,org.gjt.sp.jedit.gui.CheckBoxListModel,org.gjt.sp.jedit.search.SearchMatcher,bsh.ParseException,bsh.Token,bsh.JThis,org.gjt.sp.jedit.msg.EditorExitRequested,org.gjt.sp.jedit.browser.BrowserIORequest,org.gjt.sp.jedit.gui.DockableWindowManager,bsh.BSHArguments,org.gjt.sp.jedit.textarea.ScrollListener,org.gjt.sp.jedit.gui.AbbrevEditor,org.gjt.sp.jedit.gui.EnhancedButton,org.gjt.sp.jedit.options.ToolBarOptionPane,bsh.ReflectError,org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.gui.MarkersMenu,org.gjt.sp.jedit.browser.VFSFileChooserDialog,org.gjt.sp.jedit.search.HyperSearchResult,org.gjt.sp.jedit.gui.HistoryTextField,bsh.BSHImportDeclaration,bsh.BSHAssignment,org.gjt.sp.jedit.gui.BeanShellErrorDialog,org.gjt.sp.jedit.options.LoadSaveOptionPane,bsh.SimpleNode,bsh.BSHForStatement,bsh.BSHVariableDeclarator,org.gjt.sp.util.WorkThreadProgressListener,org.gjt.sp.jedit.syntax.ParserRuleSet,org.gjt.sp.jedit.gui.IOProgressMonitor,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,org.gjt.sp.jedit.msg.BufferUpdate,org.gjt.sp.jedit.search.SearchFileSet,bsh.Parser,org.gjt.sp.jedit.syntax.ParserRuleFactory,bsh.TokenMgrError,org.gjt.sp.jedit.BufferHistory,bsh.BSHThrowStatement,org.gjt.sp.jedit.options.ToolBarAddDialog,bsh.BSHTernaryExpression,org.gjt.sp.jedit.search.DirectoryListSet,org.gjt.sp.jedit.gui.StatusBar,bsh.XThis,org.gjt.sp.jedit.Mode,bsh.BSHLiteral,org.gjt.sp.jedit.browser.FileCellRenderer,org.gjt.sp.jedit.options.AbbrevsModel,org.gjt.sp.jedit.TextUtilities,org.gjt.sp.jedit.options.TextAreaOptionPane,gnu.regexp.CharIndexedReader,org.gjt.sp.util.Log,bsh.EvalError,org.gjt.sp.jedit.syntax.KeywordMap,org.gjt.sp.jedit.browser.BrowserPopupMenu,org.gjt.sp.jedit.JARClassLoader,org.gjt.sp.jedit.gui.DefaultInputHandler,org.gjt.sp.jedit.gui.GrabKeyDialog,bsh.ConsoleInterface,bsh.BSHBlock,bsh.BSHFormalParameters,bsh.ReflectManager,org.gjt.sp.jedit.pluginmgr.PluginManager,bsh.BSHPrimaryExpression,org.gjt.sp.jedit.search.CurrentBufferSet,org.gjt.sp.jedit.search.SearchBar,org.gjt.sp.jedit.textarea.MarkerHighlight,org.gjt.sp.jedit.gui.AboutDialog,org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.msg.EditPaneUpdate,bsh.BSHTypedVariableDeclaration,org.gjt.sp.jedit.EditAction,org.gjt.sp.jedit.EditServer,org.gjt.sp.jedit.gui.MacrosMenu,org.gjt.sp.jedit.options.ModeOptionPane,org.gjt.sp.jedit.gui.OptionsDialog,org.gjt.sp.jedit.ModeCatalogHandler,org.gjt.sp.jedit.textarea.TextAreaHighlight,org.gjt.sp.jedit.EBPlugin,org.gjt.sp.jedit.MiscUtilities,gnu.regexp.RETokenStart,org.gjt.sp.jedit.textarea.TextRenderer2D,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,org.gjt.sp.jedit.options.StyleEditor,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,org.gjt.sp.jedit.Buffer,org.gjt.sp.jedit.gui.BufferOptions,gnu.regexp.CharIndexed,bsh.InterpreterError,org.gjt.sp.jedit.gui.HistoryModel,com.microstar.xml.XmlHandler,org.gjt.sp.jedit.syntax.ParserRule,org.gjt.sp.jedit.gui.SplashScreen,org.gjt.sp.jedit.options.ShortcutsOptionPane,org.gjt.sp.jedit.gui.ViewRegisters,org.gjt.sp.jedit.gui.EnhancedMenu,org.gjt.sp.jedit.gui.DockableWindow,org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.gui.CompleteWord,bsh.BSHMethodDeclaration,org.gjt.sp.jedit.options.ContextOptionPane,bsh.BSHSwitchLabel,org.gjt.sp.jedit.io.UrlVFS,org.gjt.sp.util.WorkThread,bsh.BSHPrimarySuffix,org.gjt.sp.jedit.Abbrevs,bsh.BSHPrimitiveType,org.gjt.sp.jedit.io.BufferIORequest,org.gjt.sp.jedit.search.BufferListSet,org.gjt.sp.jedit.gui.FontSelector,org.gjt.sp.jedit.textarea.Selection,org.gjt.sp.jedit.syntax.Token,org.gjt.sp.jedit.textarea.TextAreaPainter,bsh.BSHIfStatement,org.gjt.sp.jedit.syntax.SyntaxStyle,org.gjt.sp.jedit.Marker,gnu.regexp.RE,org.gjt.sp.jedit.msg.EditorExiting,gnu.regexp.RETokenPOSIX,gnu.regexp.REFilterInputStream,org.gjt.sp.jedit.msg.SearchSettingsChanged,gnu.regexp.RETokenAny,bsh.NameSpace,bsh.ParserConstants,org.gjt.sp.jedit.msg.MacrosChanged,org.gjt.sp.jedit.search.CharIndexedSegment,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,gnu.regexp.RETokenWordBoundary,org.gjt.sp.jedit.gui.AddAbbrevDialog,bsh.BSHFormalParameter,com.microstar.xml.XmlParser,org.gjt.sp.jedit.io.VFSManager,org.gjt.sp.jedit.OptionGroup,bsh.JJTParserState,bsh.StringUtil,org.gjt.sp.jedit.options.Abbrev,org.gjt.sp.jedit.OptionPane,gnu.regexp.RETokenChar,org.gjt.sp.util.WorkRequest,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,bsh.BSHCastExpression,com.microstar.xml.HandlerBase,org.gjt.sp.jedit.msg.ViewUpdate,org.gjt.sp.jedit.gui.TipOfTheDay,org.gjt.sp.jedit.gui.PluginsMenu,bsh.BSHUnaryExpression,bsh.BSHReturnStatement,gnu.regexp.RETokenBackRef,org.gjt.sp.jedit.pluginmgr.PluginList,gnu.regexp.CharIndexedCharArray,bsh.TargetError,gnu.regexp.CharIndexedInputStream,bsh.BSHAllocationExpression,bsh.BSHMethodInvocation,org.gjt.sp.jedit.msg.VFSUpdate,bsh.BSHReturnType,bsh.BSHStatementExpressionList,bsh.BshMethod,org.gjt.sp.jedit.gui.LogViewer,gnu.regexp.IntPair,org.gjt.sp.jedit.io.FileVFS,org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.msg.EditorStarted,bsh.BSHAmbiguousName,org.gjt.sp.jedit.io.FileRootsVFS,org.gjt.sp.jedit.search.RESearchMatcher,org.gjt.sp.jedit.search.HyperSearchRequest,bsh.BlockNameSpace,org.gjt.sp.jedit.gui.InputHandler,bsh.NameSource,org.gjt.sp.jedit.pluginmgr.Roster,bsh.CommandLineReader,bsh.CallStack,org.gjt.sp.jedit.search.HyperSearchResults}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
jEdit,3.2.1,org.gjt.sp.jedit.Registers,C,0,0,13,6,19,0.277778,398,0
jEdit,3.2.1,gnu.regexp.RETokenRepeated,C,1,0,7,1,4,0.666667,289,0
jEdit,3.2.1,gnu.regexp.REMatchEnumeration,C,0,0,6,1,7,1,98,0
jEdit,3.2.1,bsh.BSHType,C,2,0,6,8,9,0.362637,83,0
jEdit,3.2.1,gnu.regexp.RETokenOneOf,C,1,0,5,1,7,0.8,199,0
jEdit,3.2.1,bsh.BSHArrayDimensions,C,0,0,4,2,10,0.821429,167,0
jEdit,3.2.1,org.gjt.sp.jedit.options.StyleTableModel,C,2,0,8,4,7,0.380952,148,0
jEdit,3.2.1,gnu.regexp.CharIndexedString,C,0,0,4,1,4,1,55,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.DockableWindowContainer,I,0,0,0,5,3,0.4,0,0
jEdit,3.2.1,org.gjt.sp.jedit.textarea.TextRendererAWT,C,0,0,4,1,4,0,89,0
jEdit,3.2.1,org.gjt.sp.jedit.EditPlugin,C,2,0,8,10,4,0.311111,15,1
jEdit,3.2.1,bsh.BSHLHSPrimarySuffix,C,0,0,5,2,17,0.5,170,0
jEdit,3.2.1,org.gjt.sp.jedit.browser.VFSBrowser,C,9,3,36,21,55,0.142683,1284,18
jEdit,3.2.1,org.gjt.sp.jedit.options.DockingOptionPane,C,0,0,5,2,22,0.266667,250,1
jEdit,3.2.1,org.gjt.sp.jedit.options.WindowTableModel,C,2,0,10,3,14,0.333333,174,0
jEdit,3.2.1,bsh.Interpreter,C,8,3,51,18,39,0.236559,1390,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.HelpViewer,C,0,0,9,8,54,0.128655,705,5
jEdit,3.2.1,org.gjt.sp.jedit.msg.CreateDockableWindow,C,4,1,7,2,4,0.333333,54,0
jEdit,3.2.1,org.gjt.sp.jedit.options.EditingOptionPane,C,0,0,3,1,7,0.5,316,3
jEdit,3.2.1,org.gjt.sp.jedit.textarea.JEditTextArea,C,25,13,186,37,76,0.111111,7279,45
jEdit,3.2.1,org.gjt.sp.jedit.GUIUtilities,C,0,0,38,61,53,0.071596,1433,8
jEdit,3.2.1,org.gjt.sp.jedit.EBComponent,I,0,0,0,12,1,0.30303,0,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.KeyEventWorkaround,C,0,0,4,5,5,0.3,167,5
jEdit,3.2.1,org.gjt.sp.jedit.gui.PastePrevious,C,0,0,11,1,27,0.380952,259,1
jEdit,3.2.1,org.gjt.sp.jedit.EditPane,C,4,1,17,16,36,0.177249,796,5
jEdit,3.2.1,org.gjt.sp.jedit.EBMessage,C,1,0,6,8,4,0.142857,41,0
jEdit,3.2.1,org.gjt.sp.jedit.options.AbbrevsOptionPane,C,0,0,3,4,26,0.222222,276,1
jEdit,3.2.1,org.gjt.sp.jedit.gui.CloseDialog,C,0,0,5,3,21,0.4,264,3
jEdit,3.2.1,org.gjt.sp.jedit.search.SearchDialog,C,0,0,11,7,41,0.214286,1489,7
jEdit,3.2.1,gnu.regexp.RETokenLookAhead,C,0,0,2,1,4,0.5,65,0
jEdit,3.2.1,gnu.regexp.RESyntax,C,1,2,9,2,6,1,305,0
jEdit,3.2.1,org.gjt.sp.jedit.search.AllBufferSet,C,2,0,4,1,13,0.571429,76,0
jEdit,3.2.1,bsh.ReturnControl,C,0,0,2,9,2,0.2,505,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.EditAbbrevDialog,C,1,0,2,3,19,0.133333,190,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.SelectLineRange,C,0,0,5,1,28,0.571429,354,0
jEdit,3.2.1,bsh.BSHSwitchStatement,C,0,0,3,1,7,0.47619,600,0
jEdit,3.2.1,org.gjt.sp.jedit.io.FavoritesVFS,C,1,0,10,3,8,0.7,216,2
jEdit,3.2.1,org.gjt.sp.jedit.options.GeneralOptionPane,C,0,0,3,1,15,0.666667,354,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.CurrentDirectoryMenu,C,0,1,2,1,12,0.444444,173,3
jEdit,3.2.1,org.gjt.sp.jedit.gui.JCheckBoxList,C,3,0,8,3,11,0.333333,135,0
jEdit,3.2.1,bsh.Node,I,0,0,0,2,2,0,0,0
jEdit,3.2.1,org.gjt.sp.jedit.options.ColorOptionPane,C,0,0,6,2,14,0.2,106,2
jEdit,3.2.1,org.gjt.sp.jedit.textarea.Gutter,C,7,8,25,7,20,0.533333,565,8
jEdit,3.2.1,bsh.BSHBinaryExpression,C,0,0,5,1,14,0.416667,770,0
jEdit,3.2.1,bsh.This,C,1,0,11,9,15,0.474359,168,0
jEdit,3.2.1,bsh.BSHTryStatement,C,0,0,2,1,12,0.466667,183,0
jEdit,3.2.1,bsh.BSHWhileStatement,C,0,0,3,1,6,0.571429,572,0
jEdit,3.2.1,org.gjt.sp.jedit.proto.jeditresource.Handler,C,0,0,2,0,3,0,12,0
jEdit,3.2.1,org.gjt.sp.jedit.options.BrowserOptionPane,C,0,0,3,1,5,0.666667,252,2
jEdit,3.2.1,org.gjt.sp.jedit.textarea.TextRenderer,C,0,1,9,5,12,0.4,413,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.EnhancedMenuItem,C,2,0,5,2,16,0.5,180,2
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserListener,I,0,0,0,2,2,1,0,0
jEdit,3.2.1,bsh.Primitive,C,1,0,44,37,22,0.191463,1413,0
jEdit,3.2.1,bsh.Reflect,C,0,0,36,12,45,0.347619,1521,0
jEdit,3.2.1,gnu.regexp.CharUnit,C,0,0,1,1,2,0,3,0
jEdit,3.2.1,org.gjt.sp.util.WorkThreadPool,C,4,0,16,9,19,0.288889,531,1
jEdit,3.2.1,bsh.Capabilities,C,0,0,7,7,5,0.428571,55,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.FontSelectorDialog,C,2,0,8,3,32,0,607,0
jEdit,3.2.1,bsh.ClassPathException,C,0,0,1,2,1,1,4,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.EnhancedDialog,C,0,0,1,19,7,0,55,0
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserView,C,2,0,11,8,26,0.333333,439,17
jEdit,3.2.1,org.gjt.sp.jedit.options.PrintOptionPane,C,0,0,3,1,9,0.5,240,1
jEdit,3.2.1,com.microstar.xml.XmlException,C,4,0,5,5,1,0.3,27,0
jEdit,3.2.1,org.gjt.sp.jedit.msg.PropertiesChanged,C,0,0,1,6,1,0.47619,4,0
jEdit,3.2.1,org.gjt.sp.jedit.AbstractOptionPane,C,2,0,10,15,10,0.102941,244,1
jEdit,3.2.1,gnu.regexp.REToken,C,1,1,7,13,2,0.166667,55,0
jEdit,3.2.1,org.gjt.sp.jedit.syntax.XModeHandler,C,0,1,19,1,22,0.288889,1062,2
jEdit,3.2.1,org.gjt.sp.jedit.Macros,C,0,0,19,12,32,0.25,484,6
jEdit,3.2.1,org.gjt.sp.jedit.syntax.TokenMarker,C,2,1,9,4,20,0.333333,1396,1
jEdit,3.2.1,org.gjt.sp.jedit.options.ColorTableModel,C,2,0,8,4,9,0.266667,165,0
jEdit,3.2.1,bsh.ParserTreeConstants,I,0,0,1,2,2,1,148,0
jEdit,3.2.1,org.gjt.sp.jedit.search.SearchAndReplace,C,0,0,30,9,35,0.221505,1177,9
jEdit,3.2.1,bsh.ParserTokenManager,C,1,0,50,1,8,0.3,6185,0
jEdit,3.2.1,gnu.regexp.CharIndexedStringBuffer,C,0,0,4,1,4,1,53,0
jEdit,3.2.1,org.gjt.sp.jedit.EditBus,C,0,0,10,19,10,0.251082,218,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.VariableGridLayout,C,2,0,17,1,11,0,664,0
jEdit,3.2.1,org.gjt.sp.jedit.options.GutterOptionPane,C,0,0,3,1,10,0.5,228,0
jEdit,3.2.1,org.gjt.sp.jedit.options.StyleOptionPane,C,0,0,6,4,14,0.133333,106,1
jEdit,3.2.1,bsh.BSHArrayInitializer,C,0,0,4,3,11,0.75,171,0
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginListHandler,C,0,0,12,1,16,0.428571,438,1
jEdit,3.2.1,bsh.ASCII_UCodeESC_CharStream,C,6,0,27,2,9,1,1233,0
jEdit,3.2.1,org.gjt.sp.jedit.BeanShellAction,C,1,0,7,1,5,0,101,1
jEdit,3.2.1,org.gjt.sp.jedit.gui.BufferSwitcher,C,0,0,2,4,6,0.3,50,0
jEdit,3.2.1,gnu.regexp.RETokenEnd,C,0,0,3,1,5,0.666667,67,0
jEdit,3.2.1,org.gjt.sp.jedit.View,C,12,6,51,59,52,0.082495,1353,5
jEdit,3.2.1,org.gjt.sp.jedit.io.VFS,C,2,0,21,19,10,0.284211,210,4
jEdit,3.2.1,bsh.LHS,C,1,0,9,7,20,0.527473,833,0
jEdit,3.2.1,gnu.regexp.RETokenEndSub,C,0,0,3,1,2,0.666667,17,0
jEdit,3.2.1,gnu.regexp.RETokenRange,C,1,0,4,1,5,0.666667,73,0
jEdit,3.2.1,org.gjt.sp.jedit.options.ContextAddDialog,C,1,0,4,2,25,0.190476,348,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.RecentFilesMenu,C,0,1,2,1,15,0.266667,98,1
jEdit,3.2.1,bsh.commands.dir,C,0,0,6,0,10,0,367,0
jEdit,3.2.1,gnu.regexp.REException,C,3,0,4,4,6,0.666667,52,0
jEdit,3.2.1,bsh.BSHLHSPrimaryExpression,C,0,0,2,3,5,0.642857,63,0
jEdit,3.2.1,bsh.BshClassManager,C,0,0,10,8,14,0.422222,130,0
jEdit,3.2.1,bsh.Name,C,0,0,18,6,27,0.441176,1226,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.OpenWithEncodingMenu,C,0,0,1,1,8,0.666667,82,1
jEdit,3.2.1,gnu.regexp.REMatch,C,1,0,15,17,10,0.183007,368,0
jEdit,3.2.1,gnu.regexp.REFilterReader,C,0,0,5,0,5,0.666667,162,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.CheckBoxListModel,C,2,0,10,1,11,1,143,0
jEdit,3.2.1,org.gjt.sp.jedit.search.SearchMatcher,I,0,0,0,4,2,0.5,0,2
jEdit,3.2.1,bsh.ParseException,C,0,0,6,2,7,0.666667,376,0
jEdit,3.2.1,bsh.Token,C,0,0,3,4,2,0.5,12,0
jEdit,3.2.1,bsh.JThis,C,0,0,87,0,44,0.866667,624,0
jEdit,3.2.1,org.gjt.sp.jedit.msg.EditorExitRequested,C,1,0,2,1,3,0.333333,8,0
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserIORequest,C,0,0,7,1,11,0.333333,483,5
jEdit,3.2.1,org.gjt.sp.jedit.gui.DockableWindowManager,C,4,0,17,7,22,0.230769,518,8
jEdit,3.2.1,bsh.BSHArguments,C,0,0,2,5,3,0.666667,28,0
