@relation jedit-4.0

@attribute System {jEdit}
@attribute Version numeric
@attribute Class {org.gjt.sp.jedit.gui.MacrosMenu,org.gjt.sp.jedit.options.ModeOptionPane,org.gjt.sp.jedit.gui.OptionsDialog,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,org.gjt.sp.jedit.options.GeneralOptionPane,bsh.reflect.ReflectManagerImpl,org.gjt.sp.jedit.gui.CurrentDirectoryMenu,org.gjt.sp.jedit.gui.JCheckBoxList,bsh.Node,org.gjt.sp.jedit.options.ColorOptionPane,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,org.gjt.sp.jedit.options.StyleEditor,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,org.gjt.sp.jedit.Buffer,org.gjt.sp.jedit.JARClassLoader,org.gjt.sp.jedit.gui.DefaultInputHandler,org.gjt.sp.jedit.options.EditingOptionPane,bsh.ConsoleInterface,org.gjt.sp.jedit.textarea.JEditTextArea,bsh.BSHFormalParameters,bsh.ReflectManager,org.gjt.sp.jedit.pluginmgr.PluginManager,bsh.BSHPrimaryExpression,org.gjt.sp.jedit.Java14,org.gjt.sp.jedit.EBMessage,org.gjt.sp.jedit.options.AbbrevsOptionPane,org.gjt.sp.jedit.gui.AboutDialog,org.gjt.sp.jedit.search.SearchDialog,gnu.regexp.RETokenLookAhead,gnu.regexp.RESyntax,org.gjt.sp.jedit.search.AllBufferSet,org.gjt.sp.jedit.textarea.FoldVisibilityManager,bsh.ReturnControl,org.gjt.sp.jedit.gui.BufferSwitcher,org.gjt.sp.jedit.buffer.OffsetManager,org.gjt.sp.jedit.options.FirewallOptionPane,org.gjt.sp.jedit.View,org.gjt.sp.jedit.io.VFS,org.gjt.sp.jedit.gui.JEditMetalTheme,org.gjt.sp.jedit.buffer.BufferChangeAdapter,gnu.regexp.RETokenEndSub,gnu.regexp.RETokenRange,org.gjt.sp.jedit.options.ContextAddDialog,com.microstar.xml.XmlParser,org.gjt.sp.jedit.io.VFSManager,org.gjt.sp.jedit.gui.BufferOptions,gnu.regexp.CharIndexed,bsh.InterpreterError,org.gjt.sp.jedit.Registers,bsh.BSHTernaryExpression,org.gjt.sp.jedit.search.DirectoryListSet,org.gjt.sp.jedit.gui.StatusBar,bsh.XThis,org.gjt.sp.jedit.Mode,bsh.BSHLiteral,org.gjt.sp.jedit.browser.FileCellRenderer,org.gjt.sp.jedit.options.AbbrevsModel,org.gjt.sp.jedit.TextUtilities,org.gjt.sp.jedit.options.TextAreaOptionPane,gnu.regexp.CharIndexedReader,org.gjt.sp.util.Log,bsh.EvalError,org.gjt.sp.jedit.syntax.KeywordMap,org.gjt.sp.jedit.options.WindowTableModel,org.gjt.sp.jedit.options.ContextOptionPane,bsh.BSHSwitchLabel,org.gjt.sp.jedit.io.UrlVFS,com.microstar.xml.XmlException,bsh.BSHPrimarySuffix,org.gjt.sp.jedit.Abbrevs,bsh.BSHPrimitiveType,org.gjt.sp.jedit.syntax.XModeHandler,gnu.regexp.UncheckedRE,org.gjt.sp.jedit.gui.FloatingWindowContainer,org.gjt.sp.jedit.search.BufferListSet,org.gjt.sp.jedit.syntax.TokenMarker,org.gjt.sp.jedit.options.ColorTableModel,org.gjt.sp.jedit.textarea.Selection,org.gjt.sp.jedit.syntax.Token,org.gjt.sp.jedit.textarea.TextAreaPainter,bsh.BSHIfStatement,org.gjt.sp.jedit.options.BrowserColorsOptionPane,org.gjt.sp.jedit.EditBus,org.gjt.sp.jedit.gui.VariableGridLayout,org.gjt.sp.jedit.options.GutterOptionPane,org.gjt.sp.jedit.options.StyleOptionPane,bsh.BSHArrayInitializer,org.gjt.sp.jedit.buffer.DummyFoldHandler,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,org.gjt.sp.jedit.buffer.RootElement,org.gjt.sp.jedit.buffer.IndentFoldHandler,org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.textarea.ChunkCache,bsh.BshMethod,org.gjt.sp.util.ReadWriteLock,gnu.regexp.REException,bsh.BSHLHSPrimaryExpression,bsh.StringUtil,bsh.Name,org.gjt.sp.jedit.gui.OpenWithEncodingMenu,gnu.regexp.REMatch,org.gjt.sp.util.WorkRequest,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,com.microstar.xml.XmlHandler,org.gjt.sp.jedit.syntax.ParserRule,org.gjt.sp.jedit.gui.SplashScreen,org.gjt.sp.jedit.options.ShortcutsOptionPane,org.gjt.sp.jedit.gui.ViewRegisters,org.gjt.sp.jedit.browser.BrowserCommandsMenu,org.gjt.sp.jedit.gui.EnhancedMenu,bsh.Capabilities,org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.gui.CompleteWord,bsh.ClassPathException,org.gjt.sp.jedit.search.SearchMatcher,bsh.ParseException,bsh.Token,bsh.JThis,org.gjt.sp.jedit.msg.EditorExitRequested,org.gjt.sp.jedit.browser.BrowserIORequest,org.gjt.sp.jedit.gui.PanelWindowContainer,gnu.regexp.RETokenBackRef,org.gjt.sp.jedit.textarea.ScrollListener,gnu.regexp.CharIndexedCharArray,bsh.TargetError,gnu.regexp.CharIndexedInputStream,bsh.BSHAllocationExpression,bsh.BSHMethodInvocation,org.gjt.sp.jedit.msg.VFSUpdate,bsh.BSHReturnType,org.gjt.sp.jedit.print.BufferPrintable,org.gjt.sp.jedit.search.HyperSearchResult,bsh.BSHImportDeclaration,bsh.BSHAssignment,org.gjt.sp.jedit.gui.BeanShellErrorDialog,org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.SettingsReloader,org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,org.gjt.sp.jedit.jEdit,bsh.BSHForStatement,bsh.BSHAmbiguousName,org.gjt.sp.jedit.io.FileRootsVFS,org.gjt.sp.jedit.search.RESearchMatcher,org.gjt.sp.jedit.search.HyperSearchRequest,org.gjt.sp.jedit.textarea.ExtensionManager,bsh.BlockNameSpace,org.gjt.sp.jedit.gui.InputHandler,org.gjt.sp.jedit.print.BufferPrinter,bsh.Parser,org.gjt.sp.jedit.syntax.ParserRuleFactory,bsh.CommandLineReader,org.gjt.sp.jedit.BufferHistory,bsh.BSHThrowStatement,org.gjt.sp.jedit.gui.EditAbbrevDialog,org.gjt.sp.jedit.gui.SelectLineRange,bsh.BSHSwitchStatement,org.gjt.sp.jedit.io.FavoritesVFS,org.gjt.sp.jedit.ModeCatalogHandler,org.gjt.sp.jedit.textarea.TextAreaHighlight,org.gjt.sp.jedit.gui.ToolBarManager,org.gjt.sp.jedit.EBPlugin,org.gjt.sp.jedit.MiscUtilities,gnu.regexp.RETokenStart,org.gjt.sp.jedit.textarea.Gutter,bsh.BSHBinaryExpression,bsh.This,bsh.BSHTryStatement,bsh.BSHWhileStatement,org.gjt.sp.jedit.gui.HelpViewer,org.gjt.sp.jedit.msg.CreateDockableWindow,org.gjt.sp.jedit.gui.GrabKeyDialog,bsh.BSHBlock,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.EBComponent,org.gjt.sp.jedit.gui.KeyEventWorkaround,org.gjt.sp.jedit.gui.PastePrevious,org.gjt.sp.jedit.EditPane,org.gjt.sp.jedit.search.CurrentBufferSet,org.gjt.sp.jedit.search.SearchBar,org.gjt.sp.jedit.gui.CloseDialog,org.gjt.sp.util.SegmentBuffer,org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.msg.EditPaneUpdate,bsh.BSHTypedVariableDeclaration,org.gjt.sp.jedit.buffer.UndoManager,org.gjt.sp.jedit.EditAction,org.gjt.sp.jedit.EditServer,bsh.ParserConstants,gnu.regexp.RETokenEnd,org.gjt.sp.jedit.msg.MacrosChanged,org.gjt.sp.jedit.search.CharIndexedSegment,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,bsh.LHS,gnu.regexp.RETokenWordBoundary,org.gjt.sp.jedit.gui.AddAbbrevDialog,bsh.BSHFormalParameter,org.gjt.sp.jedit.options.AppearanceOptionPane,org.gjt.sp.jedit.gui.RecentFilesMenu,bsh.commands.dir,org.gjt.sp.jedit.proto.jeditresource.Handler,org.gjt.sp.jedit.options.BrowserOptionPane,org.gjt.sp.jedit.buffer.FoldHandler,org.gjt.sp.jedit.gui.HistoryModel,gnu.regexp.RETokenRepeated,gnu.regexp.REMatchEnumeration,bsh.BSHType,gnu.regexp.RETokenOneOf,bsh.BSHArrayDimensions,org.gjt.sp.jedit.options.StyleTableModel,gnu.regexp.CharIndexedString,org.gjt.sp.jedit.gui.DockableWindowContainer,org.gjt.sp.jedit.msg.MultiSelectStatusChanged,org.gjt.sp.jedit.EditPlugin,bsh.BSHLHSPrimarySuffix,org.gjt.sp.jedit.browser.VFSBrowser,org.gjt.sp.jedit.options.DockingOptionPane,org.gjt.sp.jedit.options.BrowserColorsModel,bsh.Interpreter,org.gjt.sp.jedit.browser.BrowserView,org.gjt.sp.jedit.options.PrintOptionPane,org.gjt.sp.util.WorkThread,org.gjt.sp.jedit.msg.PropertiesChanged,org.gjt.sp.jedit.AbstractOptionPane,gnu.regexp.REToken,org.gjt.sp.jedit.gui.ErrorListCellRenderer,org.gjt.sp.jedit.io.BufferIORequest,org.gjt.sp.jedit.Macros,org.gjt.sp.jedit.buffer.BufferChangeListener,org.gjt.sp.jedit.options.OverviewOptionPane,org.gjt.sp.jedit.gui.FontSelector,org.gjt.sp.jedit.textarea.TextAreaExtension,bsh.ParserTreeConstants,org.gjt.sp.jedit.search.SearchAndReplace,bsh.ParserTokenManager,gnu.regexp.CharIndexedStringBuffer,org.gjt.sp.jedit.syntax.SyntaxStyle,org.gjt.sp.jedit.Marker,gnu.regexp.RE,org.gjt.sp.jedit.msg.EditorExiting,gnu.regexp.RETokenPOSIX,gnu.regexp.REFilterInputStream,org.gjt.sp.jedit.pluginmgr.PluginListHandler,org.gjt.sp.jedit.msg.SearchSettingsChanged,bsh.ASCII_UCodeESC_CharStream,gnu.regexp.RETokenAny,bsh.NameSpace,org.gjt.sp.jedit.gui.HistoryTextField,org.gjt.sp.util.IntegerArray,org.gjt.sp.jedit.OptionGroup,bsh.JJTParserState,bsh.BshClassManager,org.gjt.sp.jedit.options.Abbrev,org.gjt.sp.jedit.OptionPane,gnu.regexp.RETokenChar,org.gjt.sp.jedit.gui.ErrorListDialog,gnu.regexp.REFilterReader,org.gjt.sp.jedit.gui.CheckBoxListModel,org.gjt.sp.jedit.gui.EnhancedMenuItem,org.gjt.sp.jedit.browser.BrowserListener,bsh.Primitive,bsh.Reflect,org.gjt.sp.jedit.buffer.ContentManager,gnu.regexp.CharUnit,org.gjt.sp.util.WorkThreadPool,org.gjt.sp.jedit.gui.DockableWindow,org.gjt.sp.jedit.gui.FontSelectorDialog,bsh.BSHMethodDeclaration,org.gjt.sp.jedit.gui.EnhancedDialog,com.microstar.xml.HandlerBase,org.gjt.sp.jedit.msg.ViewUpdate,org.gjt.sp.jedit.gui.TipOfTheDay,org.gjt.sp.jedit.OperatingSystem,bsh.BSHUnaryExpression,bsh.BSHReturnStatement,org.gjt.sp.jedit.gui.DockableWindowManager,bsh.BSHArguments,org.gjt.sp.jedit.pluginmgr.PluginList,org.gjt.sp.jedit.gui.AbbrevEditor,org.gjt.sp.jedit.gui.EnhancedButton,org.gjt.sp.jedit.options.ToolBarOptionPane,bsh.ReflectError,org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.gui.MarkersMenu,org.gjt.sp.jedit.browser.VFSFileChooserDialog,bsh.BSHStatementExpressionList,org.gjt.sp.jedit.gui.LogViewer,gnu.regexp.IntPair,org.gjt.sp.jedit.io.FileVFS,org.gjt.sp.jedit.options.LoadSaveOptionPane,org.gjt.sp.jedit.options.ToolBarEditDialog,bsh.SimpleNode,org.gjt.sp.jedit.msg.EditorStarted,bsh.BSHVariableDeclarator,org.gjt.sp.util.WorkThreadProgressListener,org.gjt.sp.jedit.syntax.ParserRuleSet,org.gjt.sp.jedit.gui.IOProgressMonitor,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,org.gjt.sp.jedit.buffer.LineElement,org.gjt.sp.jedit.msg.BufferUpdate,org.gjt.sp.jedit.search.SearchFileSet,bsh.NameSource,org.gjt.sp.jedit.pluginmgr.Roster,bsh.TokenMgrError,bsh.CallStack,org.gjt.sp.jedit.search.HyperSearchResults,bsh.BSHCastExpression}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
jEdit,4,org.gjt.sp.jedit.gui.MacrosMenu,C,0,0,6,1,13,0.25,122,0
jEdit,4,org.gjt.sp.jedit.options.ModeOptionPane,C,0,0,6,3,13,0.285714,527,1
jEdit,4,org.gjt.sp.jedit.gui.OptionsDialog,C,0,0,11,2,61,0.07672,693,2
jEdit,4,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,C,0,0,2,1,3,1,83,0
jEdit,4,org.gjt.sp.jedit.options.GeneralOptionPane,C,0,0,3,2,11,0.4,314,1
jEdit,4,bsh.reflect.ReflectManagerImpl,C,0,1,2,0,2,0,14,0
jEdit,4,org.gjt.sp.jedit.gui.CurrentDirectoryMenu,C,0,1,2,1,15,0.355556,204,0
jEdit,4,org.gjt.sp.jedit.gui.JCheckBoxList,C,3,0,8,2,12,0.333333,135,1
jEdit,4,bsh.Node,I,0,0,0,2,2,0,0,0
jEdit,4,org.gjt.sp.jedit.options.ColorOptionPane,C,0,0,6,2,16,0.2,102,0
jEdit,4,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,C,0,0,7,1,8,0.3,331,1
jEdit,4,org.gjt.sp.jedit.options.StyleEditor,C,1,0,5,1,26,0.166667,519,0
jEdit,4,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,C,1,0,4,1,13,0.6,178,1
jEdit,4,org.gjt.sp.jedit.Buffer,C,20,7,135,76,68,0.074747,4341,18
jEdit,4,org.gjt.sp.jedit.JARClassLoader,C,1,0,13,7,31,0.340659,943,1
jEdit,4,org.gjt.sp.jedit.gui.DefaultInputHandler,C,0,0,10,2,23,0.464286,516,1
jEdit,4,org.gjt.sp.jedit.options.EditingOptionPane,C,0,0,3,1,10,0.3,356,1
jEdit,4,bsh.ConsoleInterface,I,0,0,0,1,1,0,0,0
jEdit,4,org.gjt.sp.jedit.textarea.JEditTextArea,C,27,13,214,46,77,0.105085,8692,23
jEdit,4,bsh.BSHFormalParameters,C,0,0,2,3,6,0.714286,49,0
jEdit,4,bsh.ReflectManager,C,0,0,3,2,6,0.166667,31,0
jEdit,4,org.gjt.sp.jedit.pluginmgr.PluginManager,C,0,0,2,6,27,0.177778,513,0
jEdit,4,bsh.BSHPrimaryExpression,C,0,0,2,1,4,0.9,48,0
jEdit,4,org.gjt.sp.jedit.Java14,C,0,0,2,2,17,0.214286,40,2
jEdit,4,org.gjt.sp.jedit.EBMessage,C,1,0,6,8,4,0.142857,41,1
jEdit,4,org.gjt.sp.jedit.options.AbbrevsOptionPane,C,0,0,5,5,33,0.181818,467,0
jEdit,4,org.gjt.sp.jedit.gui.AboutDialog,C,0,0,3,3,17,0.2,106,0
jEdit,4,org.gjt.sp.jedit.search.SearchDialog,C,0,0,16,7,54,0.212308,1652,1
jEdit,4,gnu.regexp.RETokenLookAhead,C,0,0,3,1,4,0.5,82,0
jEdit,4,gnu.regexp.RESyntax,C,1,2,9,3,6,0.666667,311,0
jEdit,4,org.gjt.sp.jedit.search.AllBufferSet,C,2,0,4,1,14,0.571429,82,0
jEdit,4,org.gjt.sp.jedit.textarea.FoldVisibilityManager,C,3,0,21,9,11,0.494505,1698,1
jEdit,4,bsh.ReturnControl,C,0,0,2,9,2,0.222222,505,0
jEdit,4,org.gjt.sp.jedit.gui.BufferSwitcher,C,0,0,2,3,6,0.333333,42,0
jEdit,4,org.gjt.sp.jedit.buffer.OffsetManager,C,1,0,27,4,9,0.238095,1175,7
jEdit,4,org.gjt.sp.jedit.options.FirewallOptionPane,C,0,0,3,2,10,0.333333,148,0
jEdit,4,org.gjt.sp.jedit.View,C,13,6,54,72,59,0.067031,1436,14
jEdit,4,org.gjt.sp.jedit.io.VFS,C,3,0,28,24,24,0.232804,444,0
jEdit,4,org.gjt.sp.jedit.gui.JEditMetalTheme,C,6,0,8,1,4,0,39,0
jEdit,4,org.gjt.sp.jedit.buffer.BufferChangeAdapter,C,0,0,5,0,2,0,7,0
jEdit,4,gnu.regexp.RETokenEndSub,C,0,0,3,1,2,0.666667,17,0
jEdit,4,gnu.regexp.RETokenRange,C,1,0,4,1,5,0.666667,73,0
jEdit,4,org.gjt.sp.jedit.options.ContextAddDialog,C,1,0,5,2,31,0.25,356,0
jEdit,4,com.microstar.xml.XmlParser,C,2,1,118,6,19,0.238095,5013,0
jEdit,4,org.gjt.sp.jedit.io.VFSManager,C,0,0,20,34,29,0.165854,312,1
jEdit,4,org.gjt.sp.jedit.gui.BufferOptions,C,0,0,3,2,36,0.340659,799,1
jEdit,4,gnu.regexp.CharIndexed,I,0,0,0,20,1,0.152632,0,0
jEdit,4,bsh.InterpreterError,C,0,0,1,17,1,0.426471,4,0
jEdit,4,org.gjt.sp.jedit.Registers,C,0,0,13,7,12,0.194444,286,3
jEdit,4,bsh.BSHTernaryExpression,C,0,0,2,1,3,0.833333,34,0
jEdit,4,org.gjt.sp.jedit.search.DirectoryListSet,C,3,0,6,2,3,0.5,53,0
jEdit,4,org.gjt.sp.jedit.gui.StatusBar,C,0,3,11,26,32,0.151515,561,3
jEdit,4,bsh.XThis,C,0,0,4,1,7,1,102,0
jEdit,4,org.gjt.sp.jedit.Mode,C,2,2,13,15,12,0.239766,250,2
jEdit,4,bsh.BSHLiteral,C,0,0,5,1,8,0.5,149,0
jEdit,4,org.gjt.sp.jedit.browser.FileCellRenderer,C,0,0,6,7,16,0.290909,233,0
jEdit,4,org.gjt.sp.jedit.options.AbbrevsModel,C,2,0,12,4,9,0.285714,163,0
jEdit,4,org.gjt.sp.jedit.TextUtilities,C,0,0,12,7,10,0.4,938,3
jEdit,4,org.gjt.sp.jedit.options.TextAreaOptionPane,C,0,0,3,1,7,0.5,286,0
jEdit,4,gnu.regexp.CharIndexedReader,C,0,0,5,2,5,0.666667,256,0
jEdit,4,org.gjt.sp.util.Log,C,0,0,12,69,19,0.078858,400,0
jEdit,4,bsh.EvalError,C,5,2,15,53,3,0.145864,137,1
jEdit,4,org.gjt.sp.jedit.syntax.KeywordMap,C,3,1,10,4,8,0.2,212,0
jEdit,4,org.gjt.sp.jedit.options.WindowTableModel,C,2,0,10,3,14,0.380952,162,0
jEdit,4,org.gjt.sp.jedit.options.ContextOptionPane,C,0,0,4,5,23,0.25,295,0
jEdit,4,bsh.BSHSwitchLabel,C,0,0,2,2,2,0.833333,19,0
jEdit,4,org.gjt.sp.jedit.io.UrlVFS,C,1,0,5,1,10,1,83,0
jEdit,4,com.microstar.xml.XmlException,C,4,0,5,6,1,0.266667,27,0
jEdit,4,bsh.BSHPrimarySuffix,C,0,0,6,3,23,0.475,270,0
jEdit,4,org.gjt.sp.jedit.Abbrevs,C,0,0,17,5,32,0.393939,711,2
jEdit,4,bsh.BSHPrimitiveType,C,1,0,2,3,1,0.833333,7,0
jEdit,4,org.gjt.sp.jedit.syntax.XModeHandler,C,0,0,17,1,21,0.311111,1072,3
jEdit,4,gnu.regexp.UncheckedRE,C,0,0,3,0,4,0.666667,30,0
jEdit,4,org.gjt.sp.jedit.gui.FloatingWindowContainer,C,0,0,8,2,11,0.4,64,1
jEdit,4,org.gjt.sp.jedit.search.BufferListSet,C,2,0,6,2,5,0.2,132,0
jEdit,4,org.gjt.sp.jedit.syntax.TokenMarker,C,2,1,9,4,20,0.377778,1483,4
jEdit,4,org.gjt.sp.jedit.options.ColorTableModel,C,2,0,8,4,8,0.238095,170,0
jEdit,4,org.gjt.sp.jedit.textarea.Selection,C,4,0,9,12,8,0.378788,75,1
jEdit,4,org.gjt.sp.jedit.syntax.Token,C,0,0,2,4,2,0.833333,29,1
jEdit,4,org.gjt.sp.jedit.textarea.TextAreaPainter,C,14,16,50,12,33,0.287582,988,2
jEdit,4,bsh.BSHIfStatement,C,0,0,3,4,5,0.607143,76,0
jEdit,4,org.gjt.sp.jedit.options.BrowserColorsOptionPane,C,0,0,4,4,25,0.25,177,0
jEdit,4,org.gjt.sp.jedit.EditBus,C,0,0,10,22,13,0.249231,214,0
jEdit,4,org.gjt.sp.jedit.gui.VariableGridLayout,C,2,0,17,2,11,1,652,1
jEdit,4,org.gjt.sp.jedit.options.GutterOptionPane,C,0,0,3,1,11,0.5,219,1
jEdit,4,org.gjt.sp.jedit.options.StyleOptionPane,C,0,0,6,5,16,0.095238,102,0
jEdit,4,bsh.BSHArrayInitializer,C,0,0,4,3,11,0.75,167,0
jEdit,4,org.gjt.sp.jedit.buffer.DummyFoldHandler,C,0,0,2,2,1,1,6,0
jEdit,4,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,C,0,1,2,1,16,0.309091,118,0
jEdit,4,org.gjt.sp.jedit.buffer.RootElement,C,7,0,11,1,4,1,40,0
jEdit,4,org.gjt.sp.jedit.buffer.IndentFoldHandler,C,0,0,2,1,3,1,63,0
jEdit,4,org.gjt.sp.jedit.BeanShellAction,C,1,0,7,1,9,0.3,132,0
jEdit,4,org.gjt.sp.jedit.textarea.ChunkCache,C,1,1,18,8,23,0.373626,1573,9
jEdit,4,bsh.BshMethod,C,1,0,4,5,16,0.461538,291,0
jEdit,4,org.gjt.sp.util.ReadWriteLock,C,0,0,9,1,6,1,220,0
jEdit,4,gnu.regexp.REException,C,3,0,4,6,7,0.466667,52,0
jEdit,4,bsh.BSHLHSPrimaryExpression,C,0,0,2,3,5,0.642857,63,0
jEdit,4,bsh.StringUtil,C,0,0,5,1,6,0,201,0
jEdit,4,bsh.Name,C,0,0,18,6,27,0.448529,1208,0
jEdit,4,org.gjt.sp.jedit.gui.OpenWithEncodingMenu,C,0,0,1,1,9,0.833333,78,0
jEdit,4,gnu.regexp.REMatch,C,0,0,14,17,10,0.189542,364,0
jEdit,4,org.gjt.sp.util.WorkRequest,C,0,4,5,3,4,0,43,0
jEdit,4,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,C,0,0,7,4,41,0.218182,968,0
jEdit,4,com.microstar.xml.XmlHandler,I,0,0,0,2,2,0,0,0
jEdit,4,org.gjt.sp.jedit.syntax.ParserRule,C,0,0,1,3,1,0.666667,15,1
jEdit,4,org.gjt.sp.jedit.gui.SplashScreen,C,0,0,5,1,18,1,203,0
jEdit,4,org.gjt.sp.jedit.options.ShortcutsOptionPane,C,0,0,7,6,28,0.230769,273,0
jEdit,4,org.gjt.sp.jedit.gui.ViewRegisters,C,0,0,3,3,28,0.190476,281,0
jEdit,4,org.gjt.sp.jedit.browser.BrowserCommandsMenu,C,0,0,4,4,14,0.555556,381,2
jEdit,4,org.gjt.sp.jedit.gui.EnhancedMenu,C,0,0,1,7,8,0.388889,94,0
jEdit,4,bsh.Capabilities,C,0,0,7,6,5,0.466667,55,0
jEdit,4,org.gjt.sp.jedit.Autosave,C,0,0,4,1,5,1,57,1
jEdit,4,org.gjt.sp.jedit.gui.CompleteWord,C,0,0,8,5,32,0.21978,483,1
jEdit,4,bsh.ClassPathException,C,0,0,1,2,1,1,4,0
jEdit,4,org.gjt.sp.jedit.search.SearchMatcher,I,0,0,0,4,2,0.5,0,0
jEdit,4,bsh.ParseException,C,3,1,11,2,6,0.5,487,0
jEdit,4,bsh.Token,C,0,0,3,4,2,0.5,12,0
jEdit,4,bsh.JThis,C,0,0,86,0,42,0.866667,600,0
jEdit,4,org.gjt.sp.jedit.msg.EditorExitRequested,C,1,0,2,1,3,0.333333,8,0
jEdit,4,org.gjt.sp.jedit.browser.BrowserIORequest,C,0,0,7,1,12,0.4,541,0
jEdit,4,org.gjt.sp.jedit.gui.PanelWindowContainer,C,3,1,12,10,31,0.133333,467,7
jEdit,4,gnu.regexp.RETokenBackRef,C,0,0,3,1,4,0.666667,72,0
jEdit,4,org.gjt.sp.jedit.textarea.ScrollListener,I,0,0,0,2,2,0,0,0
jEdit,4,gnu.regexp.CharIndexedCharArray,C,0,0,4,1,3,1,53,0
jEdit,4,bsh.TargetError,C,1,0,11,14,10,0.389706,128,0
jEdit,4,gnu.regexp.CharIndexedInputStream,C,0,0,5,2,5,0.666667,238,0
jEdit,4,bsh.BSHAllocationExpression,C,0,0,8,1,22,0.416667,261,0
jEdit,4,bsh.BSHMethodInvocation,C,0,0,2,1,12,0.444444,87,0
jEdit,4,org.gjt.sp.jedit.msg.VFSUpdate,C,1,0,3,4,3,0.2,30,0
jEdit,4,bsh.BSHReturnType,C,0,0,2,2,4,0.733333,16,0
jEdit,4,org.gjt.sp.jedit.print.BufferPrintable,C,0,0,5,2,25,0.361111,539,3
jEdit,4,org.gjt.sp.jedit.search.HyperSearchResult,C,1,0,5,3,5,0.7,83,0
jEdit,4,bsh.BSHImportDeclaration,C,0,0,2,1,7,0.678571,32,0
