@relation jedit-4.1

@attribute System {jEdit}
@attribute Version numeric
@attribute Class {org.gjt.sp.jedit.syntax.SoftWrapTokenHandler,org.gjt.sp.jedit.gui.GrabKeyDialog,bsh.BSHBlock,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.EBComponent,org.gjt.sp.jedit.gui.KeyEventWorkaround,bsh.BSHPrimaryExpression,org.gjt.sp.jedit.EditPane,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane,org.gjt.sp.jedit.EBMessage,org.gjt.sp.jedit.options.AbbrevsOptionPane,org.gjt.sp.jedit.gui.AboutDialog,org.gjt.sp.util.SegmentBuffer,org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.msg.EditPaneUpdate,org.gjt.sp.jedit.help.HelpTOCPanel,org.gjt.sp.jedit.search.AllBufferSet,org.gjt.sp.jedit.buffer.UndoManager,bsh.ReturnControl,org.gjt.sp.jedit.gui.BufferSwitcher,org.gjt.sp.jedit.buffer.OffsetManager,org.gjt.sp.jedit.syntax.TokenHandler,org.gjt.sp.jedit.msg.MacrosChanged,org.gjt.sp.jedit.search.CharIndexedSegment,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,bsh.LHS,gnu.regexp.RETokenWordBoundary,org.gjt.sp.jedit.gui.AddAbbrevDialog,bsh.BSHFormalParameter,bsh.BSHWhileStatement,org.gjt.sp.jedit.proto.jeditresource.Handler,gnu.regexp.CharIndexed,org.gjt.sp.jedit.buffer.FoldHandler,org.gjt.sp.jedit.gui.HistoryModel,gnu.regexp.RETokenRepeated,gnu.regexp.REMatchEnumeration,bsh.BSHType,gnu.regexp.RETokenOneOf,bsh.BSHArrayDimensions,org.gjt.sp.jedit.options.StyleTableModel,gnu.regexp.CharIndexedString,org.gjt.sp.jedit.options.AbbrevsModel,org.gjt.sp.jedit.TextUtilities,org.gjt.sp.jedit.EditPlugin,bsh.BSHLHSPrimarySuffix,org.gjt.sp.jedit.browser.VFSBrowser,org.gjt.sp.jedit.options.DockingOptionPane,org.gjt.sp.jedit.syntax.KeywordMap,org.gjt.sp.jedit.options.WindowTableModel,org.gjt.sp.jedit.JARClassLoader,org.gjt.sp.jedit.gui.EnhancedDialog,org.gjt.sp.jedit.browser.BrowserView,bsh.BSHSwitchLabel,com.microstar.xml.XmlException,org.gjt.sp.jedit.msg.PropertiesChanged,org.gjt.sp.jedit.AbstractOptionPane,gnu.regexp.REToken,org.gjt.sp.jedit.gui.ErrorListCellRenderer,gnu.regexp.UncheckedRE,org.gjt.sp.jedit.Macros,org.gjt.sp.jedit.search.BufferListSet,org.gjt.sp.jedit.syntax.DefaultTokenHandler,org.gjt.sp.jedit.textarea.TextAreaExtension,bsh.ParserTreeConstants,org.gjt.sp.jedit.search.SearchAndReplace,org.gjt.sp.jedit.help.HelpViewer,bsh.BSHIfStatement,org.gjt.sp.jedit.options.BrowserColorsOptionPane,org.gjt.sp.jedit.EditBus,org.gjt.sp.jedit.gui.VariableGridLayout,org.gjt.sp.jedit.options.GutterOptionPane,gnu.regexp.RETokenPOSIX,gnu.regexp.REFilterInputStream,org.gjt.sp.jedit.buffer.DummyFoldHandler,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,org.gjt.sp.jedit.buffer.RootElement,org.gjt.sp.jedit.options.StatusBarOptionPane,gnu.regexp.RETokenAny,org.gjt.sp.jedit.options.AppearanceOptionPane,org.gjt.sp.jedit.gui.RecentFilesMenu,org.gjt.sp.jedit.io.VFSManager,bsh.commands.dir,gnu.regexp.REException,bsh.BSHLHSPrimaryExpression,bsh.StringUtil,bsh.Name,gnu.regexp.RETokenChar,org.gjt.sp.jedit.gui.ErrorListDialog,gnu.regexp.REFilterReader,com.microstar.xml.XmlHandler,org.gjt.sp.jedit.gui.EnhancedMenuItem,org.gjt.sp.jedit.syntax.ParserRule,org.gjt.sp.jedit.gui.SplashScreen,org.gjt.sp.jedit.options.ShortcutsOptionPane,org.gjt.sp.jedit.gui.ViewRegisters,org.gjt.sp.jedit.browser.BrowserCommandsMenu,org.gjt.sp.jedit.gui.EnhancedMenu,bsh.Capabilities,org.gjt.sp.jedit.gui.FontSelectorDialog,bsh.BSHMethodDeclaration,org.gjt.sp.jedit.options.GlobalOptions,org.gjt.sp.jedit.search.SearchMatcher,bsh.ParseException,bsh.Token,bsh.JThis,org.gjt.sp.jedit.msg.EditorExitRequested,org.gjt.sp.jedit.browser.BrowserIORequest,org.gjt.sp.jedit.buffer.BufferIORequest,org.gjt.sp.jedit.gui.DirectoryMenu,org.gjt.sp.jedit.gui.ColorWellButton,bsh.BSHArguments,org.gjt.sp.jedit.pluginmgr.PluginList,org.gjt.sp.jedit.gui.AbbrevEditor,org.gjt.sp.jedit.gui.EnhancedButton,org.gjt.sp.jedit.print.BufferPrinter1_4,org.gjt.sp.jedit.options.ToolBarOptionPane,bsh.ReflectError,org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.gui.MarkersMenu,org.gjt.sp.jedit.browser.VFSFileChooserDialog,bsh.BSHStatementExpressionList,bsh.NameSpace,org.gjt.sp.jedit.gui.HistoryTextField,org.gjt.sp.util.IntegerArray,org.gjt.sp.jedit.gui.LogViewer,gnu.regexp.IntPair,org.gjt.sp.jedit.io.FileVFS,org.gjt.sp.jedit.options.LoadSaveOptionPane,org.gjt.sp.jedit.options.ToolBarEditDialog,bsh.SimpleNode,org.gjt.sp.jedit.msg.EditorStarted,bsh.BSHVariableDeclarator,org.gjt.sp.util.WorkThreadProgressListener,org.gjt.sp.jedit.syntax.ParserRuleSet,org.gjt.sp.jedit.search.RESearchMatcher,org.gjt.sp.jedit.search.HyperSearchRequest,org.gjt.sp.jedit.textarea.ExtensionManager,bsh.BlockNameSpace,org.gjt.sp.jedit.gui.InputHandler,bsh.NameSource,org.gjt.sp.jedit.pluginmgr.Roster,bsh.TokenMgrError,bsh.CallStack,org.gjt.sp.jedit.search.HyperSearchResults,org.gjt.sp.jedit.gui.MacrosMenu,bsh.BSHSwitchStatement,org.gjt.sp.jedit.io.FavoritesVFS,org.gjt.sp.jedit.ModeCatalogHandler,bsh.reflect.ReflectManagerImpl,org.gjt.sp.jedit.EBPlugin,org.gjt.sp.jedit.gui.JCheckBoxList,gnu.regexp.RETokenStart,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,org.gjt.sp.jedit.options.StyleEditor,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,org.gjt.sp.jedit.options.EditingOptionPane,bsh.ConsoleInterface,org.gjt.sp.jedit.textarea.JEditTextArea,bsh.BSHFormalParameters,bsh.ReflectManager,org.gjt.sp.jedit.pluginmgr.PluginManager,org.gjt.sp.jedit.gui.PastePrevious,org.gjt.sp.jedit.Java14,org.gjt.sp.jedit.search.CurrentBufferSet,org.gjt.sp.jedit.search.SearchBar,org.gjt.sp.jedit.gui.CloseDialog,org.gjt.sp.jedit.gui.AnimatedIcon,org.gjt.sp.jedit.search.SearchDialog,gnu.regexp.RETokenLookAhead,gnu.regexp.RESyntax,bsh.BSHTypedVariableDeclaration,org.gjt.sp.jedit.textarea.FoldVisibilityManager,org.gjt.sp.jedit.EditAction,org.gjt.sp.jedit.EditServer,bsh.ParserConstants,gnu.regexp.RETokenEnd,org.gjt.sp.jedit.options.FirewallOptionPane,org.gjt.sp.jedit.View,org.gjt.sp.jedit.io.VFS,org.gjt.sp.jedit.gui.JEditMetalTheme,org.gjt.sp.jedit.buffer.BufferChangeAdapter,gnu.regexp.RETokenEndSub,gnu.regexp.RETokenRange,org.gjt.sp.jedit.Buffer,org.gjt.sp.jedit.gui.BufferOptions,org.gjt.sp.jedit.options.BrowserOptionPane,bsh.InterpreterError,org.gjt.sp.jedit.Registers,bsh.BSHTernaryExpression,org.gjt.sp.jedit.search.DirectoryListSet,org.gjt.sp.jedit.gui.StatusBar,bsh.XThis,org.gjt.sp.jedit.Mode,bsh.BSHLiteral,org.gjt.sp.jedit.browser.FileCellRenderer,org.gjt.sp.jedit.help.HelpIndex,org.gjt.sp.jedit.gui.DockableWindowContainer,org.gjt.sp.jedit.options.TextAreaOptionPane,gnu.regexp.CharIndexedReader,org.gjt.sp.util.Log,org.gjt.sp.jedit.syntax.DummyTokenHandler,bsh.EvalError,org.gjt.sp.jedit.options.BrowserColorsModel,bsh.Interpreter,org.gjt.sp.jedit.gui.DefaultInputHandler,org.gjt.sp.jedit.options.ContextOptionPane,org.gjt.sp.jedit.options.PrintOptionPane,org.gjt.sp.jedit.io.UrlVFS,org.gjt.sp.util.WorkThread,bsh.BSHPrimarySuffix,org.gjt.sp.jedit.Abbrevs,bsh.BSHPrimitiveType,org.gjt.sp.jedit.syntax.XModeHandler,org.gjt.sp.jedit.gui.FloatingWindowContainer,org.gjt.sp.jedit.buffer.BufferChangeListener,org.gjt.sp.jedit.syntax.TokenMarker,org.gjt.sp.jedit.gui.FontSelector,org.gjt.sp.jedit.textarea.Selection,org.gjt.sp.jedit.syntax.Token,org.gjt.sp.jedit.textarea.TextAreaPainter,bsh.ParserTokenManager,gnu.regexp.CharIndexedStringBuffer,org.gjt.sp.jedit.syntax.SyntaxStyle,org.gjt.sp.jedit.Marker,gnu.regexp.RE,org.gjt.sp.jedit.msg.EditorExiting,bsh.BSHArrayInitializer,org.gjt.sp.jedit.gui.RolloverButton,org.gjt.sp.jedit.pluginmgr.PluginListHandler,org.gjt.sp.jedit.msg.SearchSettingsChanged,bsh.ASCII_UCodeESC_CharStream,org.gjt.sp.jedit.buffer.IndentFoldHandler,org.gjt.sp.jedit.options.ContextAddDialog,com.microstar.xml.XmlParser,bsh.BSHFormalComment,org.gjt.sp.util.ReadWriteLock,org.gjt.sp.jedit.OptionGroup,bsh.JJTParserState,bsh.BshClassManager,org.gjt.sp.jedit.options.Abbrev,org.gjt.sp.jedit.OptionPane,gnu.regexp.REMatch,org.gjt.sp.util.WorkRequest,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,org.gjt.sp.jedit.gui.CheckBoxListModel,org.gjt.sp.jedit.syntax.DisplayTokenHandler,org.gjt.sp.jedit.browser.BrowserListener,bsh.Primitive,bsh.Reflect,org.gjt.sp.jedit.buffer.ContentManager,gnu.regexp.CharUnit,org.gjt.sp.util.WorkThreadPool,org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.gui.CompleteWord,bsh.ClassPathException,bsh.BSHThrowStatement,bsh.BSHCastExpression,com.microstar.xml.HandlerBase,org.gjt.sp.jedit.msg.ViewUpdate,org.gjt.sp.jedit.gui.TipOfTheDay,org.gjt.sp.jedit.OperatingSystem,bsh.BSHUnaryExpression,bsh.BSHReturnStatement,org.gjt.sp.jedit.gui.PanelWindowContainer,org.gjt.sp.jedit.gui.DockableWindowManager,gnu.regexp.RETokenBackRef,org.gjt.sp.jedit.textarea.ScrollListener,gnu.regexp.CharIndexedCharArray,bsh.TargetError,org.gjt.sp.jedit.print.BufferPrinter1_3,gnu.regexp.CharIndexedInputStream,bsh.BSHAllocationExpression,bsh.BSHMethodInvocation,org.gjt.sp.jedit.msg.VFSUpdate,bsh.BSHReturnType,org.gjt.sp.jedit.print.BufferPrintable,org.gjt.sp.jedit.search.HyperSearchResult,org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.textarea.ChunkCache,bsh.BshMethod,bsh.BSHImportDeclaration,bsh.BSHAssignment,org.gjt.sp.jedit.gui.BeanShellErrorDialog,org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.SettingsReloader,org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,org.gjt.sp.jedit.jEdit,bsh.BSHForStatement,bsh.BSHAmbiguousName,org.gjt.sp.jedit.io.FileRootsVFS,org.gjt.sp.jedit.help.HelpSearchPanel,org.gjt.sp.jedit.gui.IOProgressMonitor,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,org.gjt.sp.jedit.buffer.LineElement,org.gjt.sp.jedit.msg.BufferUpdate,org.gjt.sp.jedit.search.SearchFileSet,bsh.Parser,bsh.CommandLineReader,org.gjt.sp.jedit.syntax.Chunk,org.gjt.sp.jedit.BufferHistory,org.gjt.sp.jedit.gui.EditAbbrevDialog,org.gjt.sp.jedit.gui.SelectLineRange,org.gjt.sp.jedit.gui.OptionsDialog,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,org.gjt.sp.jedit.options.GeneralOptionPane,org.gjt.sp.jedit.gui.ToolBarManager,org.gjt.sp.jedit.MiscUtilities,bsh.Node,org.gjt.sp.jedit.textarea.Gutter,bsh.BSHBinaryExpression,bsh.This,bsh.BSHTryStatement}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
jEdit,4.1,org.gjt.sp.jedit.syntax.SoftWrapTokenHandler,C,1,0,4,2,6,0.428571,170,0
jEdit,4.1,org.gjt.sp.jedit.gui.GrabKeyDialog,C,2,0,11,7,23,0.311111,439,4
jEdit,4.1,bsh.BSHBlock,C,0,0,3,5,6,0.490909,68,0
jEdit,4.1,org.gjt.sp.jedit.GUIUtilities,C,0,0,46,88,61,0.060396,1965,3
jEdit,4.1,org.gjt.sp.jedit.EBComponent,I,0,0,0,13,1,0.307692,0,0
jEdit,4.1,org.gjt.sp.jedit.gui.KeyEventWorkaround,C,0,0,4,5,5,0.4,207,4
jEdit,4.1,bsh.BSHPrimaryExpression,C,0,0,2,1,4,0.9,48,0
jEdit,4.1,org.gjt.sp.jedit.EditPane,C,5,1,19,22,31,0.166667,752,4
jEdit,4.1,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane,C,0,0,6,4,13,0.133333,104,0
jEdit,4.1,org.gjt.sp.jedit.EBMessage,C,1,0,6,12,4,0,38,0
jEdit,4.1,org.gjt.sp.jedit.options.AbbrevsOptionPane,C,0,0,5,6,34,0.131868,448,2
jEdit,4.1,org.gjt.sp.jedit.gui.AboutDialog,C,0,0,3,3,11,0.2,106,1
jEdit,4.1,org.gjt.sp.util.SegmentBuffer,C,0,0,4,2,2,0,79,0
jEdit,4.1,org.gjt.sp.jedit.BeanShell,C,0,0,21,9,40,0.206897,1181,2
jEdit,4.1,org.gjt.sp.jedit.msg.EditPaneUpdate,C,2,0,5,4,4,0.5,43,0
jEdit,4.1,org.gjt.sp.jedit.help.HelpTOCPanel,C,0,0,5,5,26,0.274725,369,0
jEdit,4.1,org.gjt.sp.jedit.search.AllBufferSet,C,2,0,4,1,10,0.52381,74,0
jEdit,4.1,org.gjt.sp.jedit.buffer.UndoManager,C,1,1,13,6,11,0.357143,460,1
jEdit,4.1,bsh.ReturnControl,C,0,0,2,9,2,0.2,505,0
jEdit,4.1,org.gjt.sp.jedit.gui.BufferSwitcher,C,0,0,2,4,6,0.3,49,0
jEdit,4.1,org.gjt.sp.jedit.buffer.OffsetManager,C,1,0,26,4,10,0.285714,1293,1
jEdit,4.1,org.gjt.sp.jedit.syntax.TokenHandler,I,0,0,0,3,3,0.833333,0,0
jEdit,4.1,org.gjt.sp.jedit.msg.MacrosChanged,C,0,0,1,2,1,0.333333,4,0
jEdit,4.1,org.gjt.sp.jedit.search.CharIndexedSegment,C,0,0,6,3,4,0.166667,109,0
jEdit,4.1,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,C,0,1,8,10,23,0.227273,262,0
jEdit,4.1,bsh.LHS,C,1,0,9,7,19,0.538462,833,0
jEdit,4.1,gnu.regexp.RETokenWordBoundary,C,0,0,3,1,5,0.666667,144,0
jEdit,4.1,org.gjt.sp.jedit.gui.AddAbbrevDialog,C,0,0,1,3,12,0.333333,180,0
jEdit,4.1,bsh.BSHFormalParameter,C,0,0,3,3,4,0.714286,24,0
jEdit,4.1,bsh.BSHWhileStatement,C,0,0,3,1,6,0.571429,572,0
jEdit,4.1,org.gjt.sp.jedit.proto.jeditresource.Handler,C,0,0,2,0,3,0,12,0
jEdit,4.1,gnu.regexp.CharIndexed,I,0,0,0,20,1,0.152632,0,0
jEdit,4.1,org.gjt.sp.jedit.buffer.FoldHandler,C,1,0,9,6,11,0.238095,117,1
jEdit,4.1,org.gjt.sp.jedit.gui.HistoryModel,C,2,0,8,9,18,0.309091,269,2
jEdit,4.1,gnu.regexp.RETokenRepeated,C,1,0,7,1,4,0.666667,289,0
jEdit,4.1,gnu.regexp.REMatchEnumeration,C,0,0,6,1,7,1,120,0
jEdit,4.1,bsh.BSHType,C,2,0,6,8,9,0.362637,83,0
jEdit,4.1,gnu.regexp.RETokenOneOf,C,1,0,5,1,7,0.8,199,0
jEdit,4.1,bsh.BSHArrayDimensions,C,0,0,4,2,10,0.821429,169,0
jEdit,4.1,org.gjt.sp.jedit.options.StyleTableModel,C,2,0,8,4,10,0.311111,158,0
jEdit,4.1,gnu.regexp.CharIndexedString,C,0,0,4,1,4,1,55,0
jEdit,4.1,org.gjt.sp.jedit.options.AbbrevsModel,C,2,0,12,4,10,0.321429,163,0
jEdit,4.1,org.gjt.sp.jedit.TextUtilities,C,0,0,15,8,11,0.4,891,0
jEdit,4.1,org.gjt.sp.jedit.EditPlugin,C,2,0,7,14,4,0.373626,14,0
jEdit,4.1,bsh.BSHLHSPrimarySuffix,C,0,0,5,2,14,0.564103,150,0
jEdit,4.1,org.gjt.sp.jedit.browser.VFSBrowser,C,8,3,41,28,61,0.150075,1735,8
jEdit,4.1,org.gjt.sp.jedit.options.DockingOptionPane,C,0,0,5,3,20,0.178571,300,1
jEdit,4.1,org.gjt.sp.jedit.syntax.KeywordMap,C,3,1,10,5,8,0.333333,215,1
jEdit,4.1,org.gjt.sp.jedit.options.WindowTableModel,C,2,0,10,3,13,0.428571,138,0
jEdit,4.1,org.gjt.sp.jedit.JARClassLoader,C,1,0,15,8,38,0.384615,1267,1
jEdit,4.1,org.gjt.sp.jedit.gui.EnhancedDialog,C,0,0,3,22,5,0.004329,50,0
jEdit,4.1,org.gjt.sp.jedit.browser.BrowserView,C,3,0,17,15,43,0.266667,786,4
jEdit,4.1,bsh.BSHSwitchLabel,C,0,0,2,2,2,0.833333,19,0
jEdit,4.1,com.microstar.xml.XmlException,C,4,0,5,6,1,0.266667,27,0
jEdit,4.1,org.gjt.sp.jedit.msg.PropertiesChanged,C,0,0,1,6,1,0.47619,4,0
jEdit,4.1,org.gjt.sp.jedit.AbstractOptionPane,C,2,0,14,18,10,0.089474,377,0
jEdit,4.1,gnu.regexp.REToken,C,1,1,6,13,2,0.166667,54,0
jEdit,4.1,org.gjt.sp.jedit.gui.ErrorListCellRenderer,C,1,0,4,1,14,1,185,1
jEdit,4.1,gnu.regexp.UncheckedRE,C,0,0,3,0,4,0.666667,30,0
jEdit,4.1,org.gjt.sp.jedit.Macros,C,0,0,25,14,27,0.385714,706,1
jEdit,4.1,org.gjt.sp.jedit.search.BufferListSet,C,1,0,7,2,5,0.2,140,1
jEdit,4.1,org.gjt.sp.jedit.syntax.DefaultTokenHandler,C,1,0,7,4,6,0.444444,72,0
jEdit,4.1,org.gjt.sp.jedit.textarea.TextAreaExtension,C,0,0,4,6,1,0,7,0
jEdit,4.1,bsh.ParserTreeConstants,I,0,0,1,2,2,1,152,0
jEdit,4.1,org.gjt.sp.jedit.search.SearchAndReplace,C,0,0,31,11,38,0.228571,1514,3
jEdit,4.1,org.gjt.sp.jedit.help.HelpViewer,C,1,0,6,8,37,0.205128,451,0
jEdit,4.1,bsh.BSHIfStatement,C,0,0,3,4,5,0.607143,76,0
jEdit,4.1,org.gjt.sp.jedit.options.BrowserColorsOptionPane,C,0,0,4,4,23,0.177778,182,0
jEdit,4.1,org.gjt.sp.jedit.EditBus,C,0,0,6,18,9,0.295238,121,0
jEdit,4.1,org.gjt.sp.jedit.gui.VariableGridLayout,C,2,0,17,4,11,0.666667,652,0
jEdit,4.1,org.gjt.sp.jedit.options.GutterOptionPane,C,0,0,4,1,12,0.3,483,0
jEdit,4.1,gnu.regexp.RETokenPOSIX,C,1,0,6,1,6,0.666667,261,0
jEdit,4.1,gnu.regexp.REFilterInputStream,C,0,0,5,0,5,0.666667,165,0
jEdit,4.1,org.gjt.sp.jedit.buffer.DummyFoldHandler,C,0,0,2,2,1,1,6,0
jEdit,4.1,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,C,0,0,4,1,14,0.333333,115,0
jEdit,4.1,org.gjt.sp.jedit.buffer.RootElement,C,7,0,11,1,4,1,40,0
jEdit,4.1,org.gjt.sp.jedit.options.StatusBarOptionPane,C,0,0,4,2,5,0.2,333,0
jEdit,4.1,gnu.regexp.RETokenAny,C,1,0,4,1,4,0.666667,49,0
jEdit,4.1,org.gjt.sp.jedit.options.AppearanceOptionPane,C,0,0,4,2,14,0.285714,232,0
jEdit,4.1,org.gjt.sp.jedit.gui.RecentFilesMenu,C,0,0,4,1,16,0.307692,128,0
jEdit,4.1,org.gjt.sp.jedit.io.VFSManager,C,0,0,20,41,29,0.151361,319,1
jEdit,4.1,bsh.commands.dir,C,0,0,6,0,9,0,368,0
jEdit,4.1,gnu.regexp.REException,C,3,0,4,8,6,0.392857,52,0
jEdit,4.1,bsh.BSHLHSPrimaryExpression,C,0,0,2,3,5,0.642857,63,0
jEdit,4.1,bsh.StringUtil,C,0,0,5,1,6,0,201,0
jEdit,4.1,bsh.Name,C,0,0,18,6,26,0.448529,1276,0
jEdit,4.1,gnu.regexp.RETokenChar,C,1,0,5,2,6,0.8,120,0
jEdit,4.1,org.gjt.sp.jedit.gui.ErrorListDialog,C,0,0,3,7,18,0.285714,201,0
jEdit,4.1,gnu.regexp.REFilterReader,C,0,0,5,0,5,0.666667,165,0
jEdit,4.1,com.microstar.xml.XmlHandler,I,0,0,0,2,2,0,0,0
jEdit,4.1,org.gjt.sp.jedit.gui.EnhancedMenuItem,C,2,0,5,3,15,0.47619,199,0
jEdit,4.1,org.gjt.sp.jedit.syntax.ParserRule,C,0,0,11,3,8,0.6,443,0
jEdit,4.1,org.gjt.sp.jedit.gui.SplashScreen,C,0,0,5,1,20,1,277,2
jEdit,4.1,org.gjt.sp.jedit.options.ShortcutsOptionPane,C,0,0,7,6,26,0.263736,273,1
jEdit,4.1,org.gjt.sp.jedit.gui.ViewRegisters,C,0,0,3,3,21,0.190476,281,0
jEdit,4.1,org.gjt.sp.jedit.browser.BrowserCommandsMenu,C,0,0,4,6,17,0.581818,517,0
jEdit,4.1,org.gjt.sp.jedit.gui.EnhancedMenu,C,0,0,5,6,8,0.428571,114,0
jEdit,4.1,bsh.Capabilities,C,0,0,7,7,5,0.428571,56,0
jEdit,4.1,org.gjt.sp.jedit.gui.FontSelectorDialog,C,2,0,10,3,26,0,589,0
jEdit,4.1,bsh.BSHMethodDeclaration,C,0,0,3,2,10,0.666667,127,0
jEdit,4.1,org.gjt.sp.jedit.options.GlobalOptions,C,1,0,6,3,24,0.08,224,0
jEdit,4.1,org.gjt.sp.jedit.search.SearchMatcher,I,0,0,0,4,2,0.5,0,0
jEdit,4.1,bsh.ParseException,C,3,1,11,2,6,0.5,475,0
jEdit,4.1,bsh.Token,C,0,0,3,4,2,0.5,12,0
jEdit,4.1,bsh.JThis,C,0,0,86,0,42,0.866667,610,0
jEdit,4.1,org.gjt.sp.jedit.msg.EditorExitRequested,C,1,0,2,1,2,0.333333,8,0
jEdit,4.1,org.gjt.sp.jedit.browser.BrowserIORequest,C,0,0,7,2,14,0.444444,860,2
jEdit,4.1,org.gjt.sp.jedit.buffer.BufferIORequest,C,0,0,11,2,35,0.242424,1807,4
jEdit,4.1,org.gjt.sp.jedit.gui.DirectoryMenu,C,0,0,4,1,17,0.348485,232,0
jEdit,4.1,org.gjt.sp.jedit.gui.ColorWellButton,C,1,1,3,7,6,0.035714,43,0
jEdit,4.1,bsh.BSHArguments,C,0,0,2,5,3,0.714286,28,0
jEdit,4.1,org.gjt.sp.jedit.pluginmgr.PluginList,C,0,0,5,8,18,0.444444,150,0
jEdit,4.1,org.gjt.sp.jedit.gui.AbbrevEditor,C,5,2,8,4,11,0.4,408,0
jEdit,4.1,org.gjt.sp.jedit.gui.EnhancedButton,C,0,0,2,2,4,0.4,33,0
jEdit,4.1,org.gjt.sp.jedit.print.BufferPrinter1_4,C,0,0,6,0,27,0.866667,319,0
jEdit,4.1,org.gjt.sp.jedit.options.ToolBarOptionPane,C,0,0,4,9,27,0.197802,463,1
jEdit,4.1,bsh.ReflectError,C,0,0,2,7,1,0.428571,7,0
jEdit,4.1,org.gjt.sp.jedit.ActionListHandler,C,0,0,11,1,10,0.3,204,0
jEdit,4.1,org.gjt.sp.jedit.gui.MarkersMenu,C,0,0,4,2,12,0.464286,125,0
jEdit,4.1,org.gjt.sp.jedit.browser.VFSFileChooserDialog,C,1,0,6,6,29,0.371429,577,1
jEdit,4.1,bsh.BSHStatementExpressionList,C,0,0,2,1,3,0.666667,26,0
jEdit,4.1,bsh.NameSpace,C,11,3,55,23,39,0.204991,1670,1
jEdit,4.1,org.gjt.sp.jedit.gui.HistoryTextField,C,2,3,22,16,19,0.181287,560,0
jEdit,4.1,org.gjt.sp.util.IntegerArray,C,1,1,6,4,2,0.5,58,0
jEdit,4.1,org.gjt.sp.jedit.gui.LogViewer,C,0,0,2,2,14,0.4,100,1
jEdit,4.1,gnu.regexp.IntPair,C,0,0,1,1,2,0,3,0
jEdit,4.1,org.gjt.sp.jedit.io.FileVFS,C,1,0,19,4,26,0.6,658,4
jEdit,4.1,org.gjt.sp.jedit.options.LoadSaveOptionPane,C,0,0,3,2,10,0.333333,381,0
