wmc,dit,cbo,rfc,ca,ce,loc,moa,amc,max_cc,bug,new_Amc,new_loc,bug_sqrt,NBRM,round
50,1,5,66,1,4,6259,1,123.7,163,0,124,9,0,50677.1198,50677
118,1,6,180,5,1,5223,1,42.48305085,9,0,42,9,0,44583.97648,44584
211,4,59,430,40,39,7612,10,34.87203791,25,45,35,9,6.708203932,9603.278233,9603
399,1,47,487,1,47,23350,8,57.45864662,46,0,57,10,0,8792.560819,8793
126,3,102,316,79,40,5047,7,38.71428571,25,25,39,9,5,283.5673899,284
45,2,34,107,13,25,2533,2,55,9,0,55,8,0,220.3427785,220
12,7,9,72,3,8,687,1,54.91666667,5,4,55,7,2,149.6432369,150
11,2,10,96,2,10,1272,3,113.3636364,17,9,113,7,3,132.914231,133
18,6,21,124,7,20,762,0,40.83333333,7,5,41,7,2.236067977,124.380329,124
15,7,12,91,2,11,1186,3,77,7,6,77,7,2.449489743,123.0454797,123
14,2,11,88,6,7,889,1,62.21428571,10,4,62,7,2,111.9669838,112
30,7,22,137,7,20,1603,5,51.53333333,11,7,52,7,2.645751311,109.3609677,109
17,1,1,37,1,0,691,0,39.05882353,13,0,39,7,0,102.0940085,102
18,1,12,96,4,10,730,0,39.16666667,16,0,39,7,0,101.4426933,101
21,2,12,94,5,9,981,0,45.47619048,16,6,45,7,2.449489743,92.10267992,92
19,2,11,75,1,11,1106,5,55.89473684,33,2,56,7,1.414213562,89.54166438,90
19,5,31,132,16,22,828,6,42.21052632,21,5,42,7,2.236067977,75.1010125,75
14,7,24,106,3,24,708,2,48.85714286,9,2,49,7,1.414213562,68.17337146,68
45,4,15,122,8,8,1143,3,23.97777778,12,16,24,7,4,63.5752371,64
27,1,3,40,3,0,1277,0,45.66666667,7,0,46,7,0,63.68786492,64
9,1,8,39,5,4,904,0,99.44444444,20,5,99,7,2.236067977,59.80528534,60
10,1,10,46,4,8,1441,1,140.6,32,1,141,7,1,51.42857957,51
19,1,19,71,6,15,1263,1,65.05263158,5,0,65,7,0,34.10329614,34
36,1,23,109,12,14,1557,0,42.25,30,0,42,7,0,27.94655792,28
15,1,26,75,9,19,736,3,47.66666667,13,4,48,7,2,25.26939654,25
17,7,5,80,3,4,662,0,37.29411765,5,0,37,6,0,20.77617238,21
54,5,41,175,21,27,1425,5,24.90740741,11,18,25,7,4.242640687,19.67274235,20
87,2,8,100,0,8,711,0,7.172413793,3,0,7,7,0,19.11749799,19
9,1,4,18,4,1,361,16,33.88888889,2,0,34,6,0,17.89366557,18
21,6,7,71,4,6,508,2,22.71428571,8,1,23,6,1,16.5882858,17
14,7,7,54,3,7,313,1,20.85714286,3,3,21,6,1.732050808,16.25997833,16
7,6,9,58,4,8,300,1,41.14285714,5,1,41,6,1,15.45444666,15
5,6,6,51,2,5,260,1,50,3,1,50,6,1,15.44208804,15
12,7,7,57,1,7,279,2,21.83333333,3,1,22,6,1,15.42063845,15
6,7,8,47,3,8,311,0,50.33333333,1,0,50,6,0,14.38817619,14
5,7,5,52,1,4,380,0,73.6,6,0,74,6,0,14.00209234,14
10,7,7,56,2,6,384,0,36.6,5,0,37,6,0,13.73856403,14
19,5,13,77,8,10,498,3,24.63157895,9,17,25,6,4.123105626,13.3683072,13
6,2,6,50,3,5,305,0,49.16666667,8,4,49,6,2,12.86302313,13
17,6,14,59,13,9,334,1,18.17647059,5,1,18,6,1,13.30974896,13
5,6,4,35,2,3,386,0,73.6,6,1,74,6,1,12.70120374,13
13,6,11,60,5,10,361,1,26.38461538,5,0,26,6,0,13.00581768,13
31,1,34,108,9,27,1228,2,38.29032258,23,9,38,7,3,11.82119422,12
10,7,15,74,4,15,477,1,46.1,9,4,46,6,2,11.55833442,12
11,6,11,64,6,9,595,0,52.36363636,12,3,52,6,1.732050808,12.43352895,12
12,6,6,38,3,5,645,2,51.16666667,5,3,51,6,1.732050808,11.99508247,12
5,7,8,52,1,8,364,1,70.8,3,0,71,6,0,12.49097985,12
6,1,2,40,0,2,374,0,61.16666667,11,0,61,6,0,11.94182294,12
30,4,10,73,7,7,628,3,19.33333333,20,8,19,6,2.828427125,10.53261645,11
12,3,6,52,2,5,501,0,40.33333333,17,5,40,6,2.236067977,10.86739228,11
3,6,4,24,1,3,253,1,80,1,1,80,6,1,10.69628806,11
13,7,10,72,2,9,631,0,46.53846154,7,0,47,6,0,11.43760684,11
14,5,20,72,17,11,533,3,36.07142857,6,4,36,6,2,9.794164718,10
4,5,5,32,1,4,313,0,74.5,11,4,75,6,2,9.807886152,10
13,5,14,65,4,14,398,2,29.23076923,8,3,29,6,1.732050808,10.44775133,10
3,6,3,17,1,2,263,0,84,5,2,84,6,1.414213562,9.933339955,10
13,6,14,75,4,13,517,0,38.07692308,12,1,38,6,1,9.975147717,10
13,6,13,65,7,9,438,0,32.15384615,9,1,32,6,1,9.746388162,10
12,2,7,38,1,7,470,4,36.5,12,1,37,6,1,9.528209041,10
5,5,4,26,3,1,339,0,66.4,12,0,66,6,0,9.95710903,10
3,6,4,34,1,3,370,0,118,5,0,118,6,0,9.964181088,10
3,6,4,24,1,3,321,1,102,3,0,102,6,0,9.724969677,10
3,6,4,23,1,3,330,0,105.3333333,3,3,105,6,1.732050808,9.018669083,9
13,1,11,61,4,10,488,0,36.15384615,6,1,36,6,1,8.558686836,9
6,3,3,19,2,1,387,1,62.66666667,14,0,63,6,0,9.253175329,9
7,2,4,21,1,3,300,1,41.28571429,16,0,41,6,0,8.818543951,9
6,2,4,22,1,3,288,0,44.33333333,25,0,44,6,0,8.648248124,9
16,2,13,47,8,10,443,2,26.25,14,6,26,6,2.449489743,7.836221537,8
7,2,7,27,1,7,500,2,69,5,5,69,6,2.236067977,7.51541896,8
22,1,12,51,11,6,593,5,25.27272727,11,1,25,6,1,8.400966606,8
51,1,44,135,34,18,1644,4,30.80392157,6,0,31,7,0,7.846707686,8
5,1,3,12,2,1,251,0,47.6,10,0,48,6,0,7.978470859,8
5,1,3,12,2,1,269,0,51.2,10,0,51,6,0,7.876209588,8
18,5,16,62,5,14,551,5,28.94444444,7,8,29,6,2.828427125,7.491632802,7
6,2,14,40,3,14,252,3,40.16666667,10,3,40,6,1.732050808,7.089088504,7
7,1,5,16,1,4,416,1,57.14285714,14,3,57,6,1.732050808,6.668178748,7
21,6,17,83,13,7,589,1,26.76190476,13,2,27,6,1.414213562,7.323561632,7
14,2,8,34,5,4,324,1,21.5,8,1,22,6,1,7.140314132,7
13,1,6,32,5,2,439,0,32.53846154,10,0,33,6,0,7.443541707,7
11,1,3,16,2,1,456,0,40.45454545,6,0,40,6,0,7.300528709,7
10,1,10,47,8,3,299,0,28.4,10,0,28,6,0,7.128114628,7
