@relation lucene-2.0

@attribute System {lucene}
@attribute Version numeric
@attribute Class {org.apache.lucene.analysis.WhitespaceAnalyzer,org.apache.lucene.search.QueryTermVector,org.apache.lucene.analysis.PorterStemmer,org.apache.lucene.index.TermPositions,org.apache.lucene.analysis.TokenStream,org.apache.lucene.search.ExactPhraseScorer,org.apache.lucene.search.RangeFilter,org.apache.lucene.index.SegmentInfo,org.apache.lucene.store.BufferedIndexInput,org.apache.lucene.index.TermInfosWriter,org.apache.lucene.search.MultiSearcher,org.apache.lucene.analysis.standard.ParseException,org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.store.IndexOutput,org.apache.lucene.search.HitQueue,org.apache.lucene.search.NonMatchingScorer,org.apache.lucene.search.TopFieldDocs,org.apache.lucene.search.spans.SpanNearQuery,org.apache.lucene.document.Document,org.apache.lucene.analysis.standard.StandardTokenizerConstants,org.apache.lucene.queryParser.QueryParserTokenManager,org.apache.lucene.search.SloppyPhraseScorer,org.apache.lucene.index.TermEnum,org.apache.lucene.search.MultiSearcherThread,org.apache.lucene.index.TermVectorsWriter,org.apache.lucene.index.FieldsReader,org.apache.lucene.store.FSIndexInput,org.apache.lucene.search.Query,org.apache.lucene.search.RangeQuery,org.apache.lucene.search.PrefixQuery,org.apache.lucene.analysis.standard.StandardTokenizer,org.apache.lucene.search.TopDocs,org.apache.lucene.analysis.Tokenizer,org.apache.lucene.LucenePackage,org.apache.lucene.util.BitVector,org.apache.lucene.util.Parameter,org.apache.lucene.store.RAMDirectory,org.apache.lucene.search.spans.SpanQuery,org.apache.lucene.index.MultipleTermPositions,org.apache.lucene.index.MultiTermEnum,org.apache.lucene.queryParser.QueryParser,org.apache.lucene.analysis.SimpleAnalyzer,org.apache.lucene.search.FieldDocSortedHitQueue,org.apache.lucene.search.HitCollector,org.apache.lucene.analysis.WhitespaceTokenizer,org.apache.lucene.search.spans.SpanNotQuery,org.apache.lucene.analysis.standard.StandardFilter,org.apache.lucene.search.TermQuery,org.apache.lucene.analysis.CharTokenizer,org.apache.lucene.document.DateTools,org.apache.lucene.search.ScoreDocComparator,org.apache.lucene.store.Directory,org.apache.lucene.search.spans.SpanOrQuery,org.apache.lucene.search.WildcardQuery,org.apache.lucene.index.SegmentTermVector,org.apache.lucene.document.DateField,org.apache.lucene.search.FieldDoc,org.apache.lucene.queryParser.TokenMgrError,org.apache.lucene.index.SegmentMerger,org.apache.lucene.index.MultiTermDocs,org.apache.lucene.search.SortComparatorSource,org.apache.lucene.search.ReqOptSumScorer,org.apache.lucene.search.DisjunctionMaxScorer,org.apache.lucene.document.NumberTools,org.apache.lucene.search.SimilarityDelegator,org.apache.lucene.analysis.standard.Token,org.apache.lucene.search.CachingWrapperFilter,org.apache.lucene.index.TermPositionVector,org.apache.lucene.store.RAMFile,org.apache.lucene.analysis.StopFilter,org.apache.lucene.index.Posting,org.apache.lucene.index.IndexWriter,org.apache.lucene.index.TermInfosReader,org.apache.lucene.search.RemoteSearchable_Stub,org.apache.lucene.search.PhraseScorer,org.apache.lucene.analysis.standard.StandardAnalyzer,org.apache.lucene.store.RAMOutputStream,org.apache.lucene.search.spans.Spans,org.apache.lucene.index.FieldInfo,org.apache.lucene.search.HitIterator,org.apache.lucene.search.BooleanScorer2,org.apache.lucene.analysis.Token,org.apache.lucene.index.DocumentWriter,org.apache.lucene.util.Constants,org.apache.lucene.search.MultiTermQuery,org.apache.lucene.search.BooleanScorer,org.apache.lucene.search.QueryFilter,org.apache.lucene.search.ParallelMultiSearcher,org.apache.lucene.search.ConjunctionScorer,org.apache.lucene.util.SmallFloat,org.apache.lucene.analysis.KeywordTokenizer,org.apache.lucene.queryParser.QueryParserConstants,org.apache.lucene.index.TermFreqVector,org.apache.lucene.index.IndexFileNames,org.apache.lucene.index.SegmentInfos,org.apache.lucene.search.TopDocCollector,org.apache.lucene.analysis.LetterTokenizer,org.apache.lucene.search.MatchAllDocsQuery,org.apache.lucene.search.FuzzyQuery,org.apache.lucene.analysis.standard.TokenMgrError,org.apache.lucene.search.Filter,org.apache.lucene.search.FieldCache,org.apache.lucene.store.IndexInput,org.apache.lucene.analysis.standard.CharStream,org.apache.lucene.analysis.standard.FastCharStream,org.apache.lucene.search.FieldCacheImpl,org.apache.lucene.search.ReqExclScorer,org.apache.lucene.analysis.PorterStemFilter,org.apache.lucene.index.IndexModifier,org.apache.lucene.index.SegmentTermEnum,org.apache.lucene.search.Searchable,org.apache.lucene.index.SegmentTermPositionVector,org.apache.lucene.analysis.WordlistLoader,org.apache.lucene.analysis.LowerCaseFilter,org.apache.lucene.index.MultiReader,org.apache.lucene.search.spans.SpanScorer,org.apache.lucene.search.spans.SpanWeight,org.apache.lucene.queryParser.CharStream,org.apache.lucene.search.PhrasePositions,org.apache.lucene.search.SortComparator,org.apache.lucene.index.FieldInfos,org.apache.lucene.index.CompoundFileWriter,org.apache.lucene.index.ParallelReader,org.apache.lucene.search.TermScorer,org.apache.lucene.search.FilteredQuery,org.apache.lucene.util.PriorityQueue,org.apache.lucene.search.Similarity,org.apache.lucene.search.FuzzyTermEnum,org.apache.lucene.store.Lock,org.apache.lucene.search.spans.SpanFirstQuery,org.apache.lucene.search.TopFieldDocCollector,org.apache.lucene.index.IndexFileNameFilter,org.apache.lucene.analysis.LowerCaseTokenizer,org.apache.lucene.search.Hit,org.apache.lucene.search.DisjunctionMaxQuery,org.apache.lucene.index.FieldsWriter,org.apache.lucene.index.SegmentTermPositions,org.apache.lucene.search.FilteredTermEnum,org.apache.lucene.index.TermDocs,org.apache.lucene.index.SegmentReader,org.apache.lucene.search.FieldSortedHitQueue,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,org.apache.lucene.search.BooleanQuery,org.apache.lucene.index.TermInfo,org.apache.lucene.index.Term,org.apache.lucene.search.ConstantScoreQuery,org.apache.lucene.search.RemoteSearchable,org.apache.lucene.index.FilterIndexReader,org.apache.lucene.queryParser.MultiFieldQueryParser,org.apache.lucene.index.SegmentMergeQueue,org.apache.lucene.util.ToStringUtils,org.apache.lucene.search.ScoreDoc,org.apache.lucene.analysis.LengthFilter,org.apache.lucene.search.IndexSearcher,org.apache.lucene.queryParser.ParseException,org.apache.lucene.search.Weight,org.apache.lucene.search.Scorer,org.apache.lucene.index.IndexReader,org.apache.lucene.analysis.StopAnalyzer,org.apache.lucene.index.TermVectorsReader,org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,org.apache.lucene.store.FSIndexOutput,org.apache.lucene.analysis.ISOLatin1AccentFilter,org.apache.lucene.search.SortField,org.apache.lucene.index.MultiTermPositions,org.apache.lucene.queryParser.FastCharStream,org.apache.lucene.search.WildcardTermEnum,org.apache.lucene.search.Sort,org.apache.lucene.search.DefaultSimilarity,org.apache.lucene.search.ConstantScoreRangeQuery,org.apache.lucene.analysis.TokenFilter,org.apache.lucene.search.PhraseQueue,org.apache.lucene.store.MMapDirectory,org.apache.lucene.search.HitDoc,org.apache.lucene.search.Explanation,org.apache.lucene.index.SegmentMergeInfo,org.apache.lucene.index.SegmentTermDocs,org.apache.lucene.index.CompoundFileReader,org.apache.lucene.search.PhraseQuery,org.apache.lucene.search.spans.NearSpans,org.apache.lucene.search.Hits,org.apache.lucene.queryParser.Token,org.apache.lucene.search.spans.SpanTermQuery,org.apache.lucene.util.StringHelper,org.apache.lucene.store.RAMInputStream,org.apache.lucene.search.Searcher,org.apache.lucene.analysis.Analyzer,org.apache.lucene.search.DisjunctionSumScorer,org.apache.lucene.index.TermBuffer,org.apache.lucene.store.BufferedIndexOutput,org.apache.lucene.index.TermVectorOffsetInfo,org.apache.lucene.document.Field,org.apache.lucene.analysis.KeywordAnalyzer,org.apache.lucene.store.FSDirectory,org.apache.lucene.search.BooleanClause}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
lucene,2,org.apache.lucene.analysis.WhitespaceAnalyzer,C,0,0,2,0,2,0,8,0
lucene,2,org.apache.lucene.search.QueryTermVector,C,3,0,10,0,16,0,266,0
lucene,2,org.apache.lucene.analysis.PorterStemmer,C,2,1,27,1,9,0,1139,0
lucene,2,org.apache.lucene.index.TermPositions,I,0,0,0,13,3,0.131868,0,3
lucene,2,org.apache.lucene.analysis.TokenStream,C,0,0,2,11,2,0.109091,4,1
lucene,2,org.apache.lucene.search.ExactPhraseScorer,C,0,0,2,2,4,0.3,59,1
lucene,2,org.apache.lucene.search.RangeFilter,C,0,0,7,1,10,0.133333,361,0
lucene,2,org.apache.lucene.index.SegmentInfo,C,0,0,1,3,1,0.666667,12,6
lucene,2,org.apache.lucene.store.BufferedIndexInput,C,1,0,7,3,3,0.166667,190,3
lucene,2,org.apache.lucene.index.TermInfosWriter,C,0,0,6,2,10,0.428571,366,2
lucene,2,org.apache.lucene.search.MultiSearcher,C,2,0,15,2,17,0.181818,539,3
lucene,2,org.apache.lucene.analysis.standard.ParseException,C,1,0,5,1,6,1,370,1
lucene,2,org.apache.lucene.search.MultiPhraseQuery,C,3,1,14,3,19,0.466667,374,1
lucene,2,org.apache.lucene.store.IndexOutput,C,0,0,7,15,3,0.190476,175,1
lucene,2,org.apache.lucene.search.HitQueue,C,0,0,2,3,2,0.5,37,0
lucene,2,org.apache.lucene.search.NonMatchingScorer,C,0,0,6,1,4,0.333333,25,0
lucene,2,org.apache.lucene.search.TopFieldDocs,C,0,0,1,6,1,0.333333,9,0
lucene,2,org.apache.lucene.search.spans.SpanNearQuery,C,4,0,12,1,14,0.5,327,1
lucene,2,org.apache.lucene.document.Document,C,1,1,14,7,10,0.321429,325,1
lucene,2,org.apache.lucene.analysis.standard.StandardTokenizerConstants,I,0,0,1,3,2,0.333333,68,0
lucene,2,org.apache.lucene.queryParser.QueryParserTokenManager,C,1,1,36,1,9,0.3,2800,4
lucene,2,org.apache.lucene.search.SloppyPhraseScorer,C,0,0,2,2,5,0.4,103,1
lucene,2,org.apache.lucene.index.TermEnum,C,0,0,2,13,3,0.098901,15,0
lucene,2,org.apache.lucene.search.MultiSearcherThread,C,2,0,6,1,8,0.333333,157,0
lucene,2,org.apache.lucene.index.TermVectorsWriter,C,0,0,15,5,18,0.179487,645,0
lucene,2,org.apache.lucene.index.FieldsReader,C,0,0,5,1,16,0.288889,310,9
lucene,2,org.apache.lucene.store.FSIndexInput,C,0,0,8,2,4,0,114,0
lucene,2,org.apache.lucene.search.Query,C,1,1,12,23,16,0.135385,235,0
lucene,2,org.apache.lucene.search.RangeQuery,C,3,0,9,1,14,0.377778,328,0
lucene,2,org.apache.lucene.search.PrefixQuery,C,1,0,6,1,13,0.377778,140,0
lucene,2,org.apache.lucene.analysis.standard.StandardTokenizer,C,1,0,15,1,10,0.107143,498,0
lucene,2,org.apache.lucene.search.TopDocs,C,1,1,3,7,2,0.285714,19,0
lucene,2,org.apache.lucene.analysis.Tokenizer,C,0,0,3,3,3,0,13,0
lucene,2,org.apache.lucene.LucenePackage,C,0,0,2,0,4,0,13,0
lucene,2,org.apache.lucene.util.BitVector,C,0,1,9,2,5,0.4,1211,2
lucene,2,org.apache.lucene.util.Parameter,C,0,0,6,5,8,0,80,0
lucene,2,org.apache.lucene.store.RAMDirectory,C,0,0,16,2,15,0.25,240,12
lucene,2,org.apache.lucene.search.spans.SpanQuery,C,0,0,2,10,3,0.109091,9,0
lucene,2,org.apache.lucene.index.MultipleTermPositions,C,0,0,10,4,10,0.333333,164,2
lucene,2,org.apache.lucene.index.MultiTermEnum,C,0,0,5,1,6,0.4,133,0
lucene,2,org.apache.lucene.queryParser.QueryParser,C,9,6,52,5,46,0.115764,2741,7
lucene,2,org.apache.lucene.analysis.SimpleAnalyzer,C,0,0,2,1,2,0.333333,8,0
lucene,2,org.apache.lucene.search.FieldDocSortedHitQueue,C,1,1,5,3,10,0.2,267,0
lucene,2,org.apache.lucene.search.HitCollector,C,0,0,1,10,1,0.088889,3,0
lucene,2,org.apache.lucene.analysis.WhitespaceTokenizer,C,0,0,2,1,2,0,11,0
lucene,2,org.apache.lucene.search.spans.SpanNotQuery,C,4,0,11,1,9,0.333333,197,0
lucene,2,org.apache.lucene.analysis.standard.StandardFilter,C,0,0,3,1,7,0.1,93,0
lucene,2,org.apache.lucene.search.TermQuery,C,1,0,7,9,9,0.409091,88,1
lucene,2,org.apache.lucene.analysis.CharTokenizer,C,0,0,3,2,5,0,111,0
lucene,2,org.apache.lucene.document.DateTools,C,0,0,8,1,10,0,321,0
lucene,2,org.apache.lucene.search.ScoreDocComparator,I,0,0,1,8,3,0.142857,9,0
lucene,2,org.apache.lucene.store.Directory,C,0,0,1,21,2,0.171429,3,6
lucene,2,org.apache.lucene.search.spans.SpanOrQuery,C,3,0,10,3,14,0.4,269,1
lucene,2,org.apache.lucene.search.WildcardQuery,C,0,0,3,1,3,0,20,1
lucene,2,org.apache.lucene.index.SegmentTermVector,C,3,0,8,2,4,0.333333,122,0
lucene,2,org.apache.lucene.document.DateField,C,0,0,8,1,7,0,117,0
lucene,2,org.apache.lucene.search.FieldDoc,C,0,0,2,3,1,0.5,13,0
lucene,2,org.apache.lucene.queryParser.TokenMgrError,C,1,0,6,2,4,1,173,0
lucene,2,org.apache.lucene.index.SegmentMerger,C,0,0,18,1,26,0.183007,1006,8
lucene,2,org.apache.lucene.index.MultiTermDocs,C,0,0,11,2,5,0.4,213,0
lucene,2,org.apache.lucene.search.SortComparatorSource,I,0,0,0,2,3,0,0,0
lucene,2,org.apache.lucene.search.ReqOptSumScorer,C,0,0,6,1,3,0.333333,104,0
lucene,2,org.apache.lucene.search.DisjunctionMaxScorer,C,0,0,11,1,5,0,419,2
lucene,2,org.apache.lucene.document.NumberTools,C,0,0,4,0,6,0,120,0
lucene,2,org.apache.lucene.search.SimilarityDelegator,C,0,0,7,1,1,0,39,0
lucene,2,org.apache.lucene.analysis.standard.Token,C,0,0,3,3,1,0.666667,12,0
lucene,2,org.apache.lucene.search.CachingWrapperFilter,C,0,0,5,0,7,0,95,3
lucene,2,org.apache.lucene.index.TermPositionVector,I,0,0,0,2,2,0.333333,0,0
lucene,2,org.apache.lucene.store.RAMFile,C,0,0,1,3,3,0.666667,11,1
lucene,2,org.apache.lucene.analysis.StopFilter,C,0,0,7,2,7,0.2,97,0
lucene,2,org.apache.lucene.index.Posting,C,0,0,1,1,2,1,33,0
lucene,2,org.apache.lucene.index.IndexWriter,C,13,10,46,8,27,0.216374,1132,22
lucene,2,org.apache.lucene.index.TermInfosReader,C,2,0,16,2,8,0.4,435,4
lucene,2,org.apache.lucene.search.RemoteSearchable_Stub,C,0,0,12,0,23,0.066667,614,0
lucene,2,org.apache.lucene.search.PhraseScorer,C,0,0,12,2,8,0.214286,320,1
lucene,2,org.apache.lucene.analysis.standard.StandardAnalyzer,C,0,0,7,0,8,0.142857,58,0
lucene,2,org.apache.lucene.store.RAMOutputStream,C,0,0,8,2,8,0.4,178,4
lucene,2,org.apache.lucene.search.spans.Spans,I,0,0,0,8,2,0.071429,0,0
lucene,2,org.apache.lucene.index.FieldInfo,C,0,0,1,6,1,0.533333,24,1
lucene,2,org.apache.lucene.search.HitIterator,C,0,0,5,1,6,1,53,0
lucene,2,org.apache.lucene.search.BooleanScorer2,C,0,0,19,5,18,0.153846,419,4
lucene,2,org.apache.lucene.analysis.Token,C,1,1,9,12,4,0,138,2
lucene,2,org.apache.lucene.index.DocumentWriter,C,0,1,10,1,28,0.169935,967,6
lucene,2,org.apache.lucene.util.Constants,C,0,0,2,0,3,0,34,0
lucene,2,org.apache.lucene.search.MultiTermQuery,C,1,0,6,2,12,0.377778,126,0
lucene,2,org.apache.lucene.search.BooleanScorer,C,0,0,11,5,12,0.25,420,1
lucene,2,org.apache.lucene.search.QueryFilter,C,0,0,5,0,9,0.333333,111,2
