@relation lucene-2.2

@attribute System {lucene}
@attribute Version numeric
@attribute Class {org.apache.lucene.search.FuzzyQuery,org.apache.lucene.index.MultiLevelSkipListReader,org.apache.lucene.store.RAMDirectory,org.apache.lucene.search.spans.SpanQuery,org.apache.lucene.index.TermPositions,org.apache.lucene.search.function.DocValues,org.apache.lucene.analysis.standard.CharStream,org.apache.lucene.analysis.standard.FastCharStream,org.apache.lucene.search.FieldCacheImpl,org.apache.lucene.document.LoadFirstFieldSelector,org.apache.lucene.index.SegmentInfo,org.apache.lucene.store.BufferedIndexInput,org.apache.lucene.index.TermInfosWriter,org.apache.lucene.index.DefaultSkipListReader,org.apache.lucene.search.MultiSearcher,org.apache.lucene.search.Searchable,org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.store.IndexOutput,org.apache.lucene.analysis.WordlistLoader,org.apache.lucene.search.spans.TermSpans,org.apache.lucene.analysis.LowerCaseFilter,org.apache.lucene.index.MultiReader,org.apache.lucene.search.spans.SpanScorer,org.apache.lucene.search.spans.SpanNearQuery,org.apache.lucene.document.Document,org.apache.lucene.queryParser.CharStream,org.apache.lucene.search.PhrasePositions,org.apache.lucene.search.SloppyPhraseScorer,org.apache.lucene.index.FieldInfos,org.apache.lucene.document.FieldSelector,org.apache.lucene.index.CompoundFileWriter,org.apache.lucene.search.PrefixFilter,org.apache.lucene.index.TermVectorsWriter,org.apache.lucene.search.function.FieldScoreQuery,org.apache.lucene.index.FieldsReader,org.apache.lucene.util.PriorityQueue,org.apache.lucene.search.Query,org.apache.lucene.index.MultipleTermPositions,org.apache.lucene.index.MultiTermEnum,org.apache.lucene.queryParser.QueryParser,org.apache.lucene.analysis.SimpleAnalyzer,org.apache.lucene.search.FieldDocSortedHitQueue,org.apache.lucene.search.function.FieldCacheSource,org.apache.lucene.search.BooleanQuery,org.apache.lucene.index.TermInfo,org.apache.lucene.index.Term,org.apache.lucene.search.PrefixGenerator,org.apache.lucene.search.TermQuery,org.apache.lucene.analysis.CharTokenizer,org.apache.lucene.index.CorruptIndexException,org.apache.lucene.queryParser.MultiFieldQueryParser,org.apache.lucene.index.SegmentMergeQueue,org.apache.lucene.store.Directory,org.apache.lucene.analysis.PorterStemmer,org.apache.lucene.search.Searcher,org.apache.lucene.search.payloads.BoostingTermQuery,org.apache.lucene.analysis.Analyzer,org.apache.lucene.store.SimpleFSLockFactory,org.apache.lucene.search.DisjunctionSumScorer,org.apache.lucene.index.TermBuffer,org.apache.lucene.store.BufferedIndexOutput,org.apache.lucene.index.TermVectorOffsetInfo,org.apache.lucene.search.function.IntFieldSource,org.apache.lucene.index.MultiLevelSkipListWriter,org.apache.lucene.index.IndexDeletionPolicy,org.apache.lucene.analysis.LetterTokenizer,org.apache.lucene.search.MatchAllDocsQuery,org.apache.lucene.search.BooleanClause,org.apache.lucene.index.IndexCommitPoint,org.apache.lucene.util.ToStringUtils,org.apache.lucene.search.WildcardQuery,org.apache.lucene.index.SegmentTermVector,org.apache.lucene.search.function.ValueSource,org.apache.lucene.document.DateField,org.apache.lucene.search.FieldDoc,org.apache.lucene.queryParser.TokenMgrError,org.apache.lucene.index.SegmentMerger,org.apache.lucene.index.MultiTermDocs,org.apache.lucene.document.FieldSelectorResult,org.apache.lucene.search.SortComparatorSource,org.apache.lucene.search.ReqOptSumScorer,org.apache.lucene.search.DisjunctionMaxScorer,org.apache.lucene.document.NumberTools,org.apache.lucene.search.SimilarityDelegator,org.apache.lucene.store.SingleInstanceLockFactory,org.apache.lucene.search.SortField,org.apache.lucene.search.Similarity,org.apache.lucene.search.FuzzyTermEnum,org.apache.lucene.store.Lock,org.apache.lucene.search.spans.SpanFirstQuery,org.apache.lucene.search.TopDocs,org.apache.lucene.search.TopFieldDocCollector,org.apache.lucene.analysis.Tokenizer,org.apache.lucene.LucenePackage,org.apache.lucene.search.ComplexExplanation,org.apache.lucene.search.Hit,org.apache.lucene.util.Parameter,org.apache.lucene.search.spans.NearSpansUnordered,org.apache.lucene.document.Fieldable,org.apache.lucene.search.Hits,org.apache.lucene.queryParser.Token,org.apache.lucene.search.spans.SpanTermQuery,org.apache.lucene.util.StringHelper,org.apache.lucene.store.RAMInputStream,org.apache.lucene.search.CachingWrapperFilter,org.apache.lucene.index.TermPositionVector,org.apache.lucene.store.RAMFile,org.apache.lucene.store.NoLock,org.apache.lucene.analysis.StopFilter,org.apache.lucene.util.ScorerDocQueue,org.apache.lucene.search.DefaultSimilarity,org.apache.lucene.search.ConstantScoreRangeQuery,org.apache.lucene.analysis.TokenFilter,org.apache.lucene.search.PhraseQueue,org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy,org.apache.lucene.analysis.standard.StandardAnalyzer,org.apache.lucene.store.RAMOutputStream,org.apache.lucene.store.AlreadyClosedException,org.apache.lucene.search.spans.Spans,org.apache.lucene.index.SegmentMergeInfo,org.apache.lucene.index.SegmentTermDocs,org.apache.lucene.index.CompoundFileReader,org.apache.lucene.search.PhraseQuery,org.apache.lucene.analysis.WhitespaceAnalyzer,org.apache.lucene.search.QueryTermVector,org.apache.lucene.analysis.standard.TokenMgrError,org.apache.lucene.index.FieldsWriter,org.apache.lucene.index.SegmentTermPositions,org.apache.lucene.store.IndexInput,org.apache.lucene.analysis.TokenStream,org.apache.lucene.search.ExactPhraseScorer,org.apache.lucene.search.RangeFilter,org.apache.lucene.search.IdGenerator,org.apache.lucene.search.function.ReverseOrdFieldSource,org.apache.lucene.search.ReqExclScorer,org.apache.lucene.analysis.PorterStemFilter,org.apache.lucene.index.IndexModifier,org.apache.lucene.store.SimpleFSLock,org.apache.lucene.index.SegmentTermEnum,org.apache.lucene.analysis.standard.ParseException,org.apache.lucene.index.SegmentTermPositionVector,org.apache.lucene.search.function.CustomScoreQuery,org.apache.lucene.search.HitQueue,org.apache.lucene.store.LockFactory,org.apache.lucene.search.NonMatchingScorer,org.apache.lucene.index.StaleReaderException,org.apache.lucene.search.TopFieldDocs,org.apache.lucene.search.spans.SpanWeight,org.apache.lucene.index.DefaultSkipListWriter,org.apache.lucene.analysis.standard.StandardTokenizerConstants,org.apache.lucene.queryParser.QueryParserTokenManager,org.apache.lucene.search.SortComparator,org.apache.lucene.search.function.ValueSourceQuery,org.apache.lucene.index.TermEnum,org.apache.lucene.search.MultiSearcherThread,org.apache.lucene.index.ParallelReader,org.apache.lucene.search.TermScorer,org.apache.lucene.search.function.ShortFieldSource,org.apache.lucene.search.FilteredQuery,org.apache.lucene.search.function.FloatFieldSource,org.apache.lucene.search.FilterManager,org.apache.lucene.search.FilteredTermEnum,org.apache.lucene.index.TermDocs,org.apache.lucene.index.SegmentReader,org.apache.lucene.search.FieldSortedHitQueue,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,org.apache.lucene.search.HitCollector,org.apache.lucene.analysis.WhitespaceTokenizer,org.apache.lucene.search.spans.SpanNotQuery,org.apache.lucene.analysis.standard.StandardFilter,org.apache.lucene.search.ConstantScoreQuery,org.apache.lucene.search.RemoteSearchable,org.apache.lucene.index.FilterIndexReader,org.apache.lucene.document.DateTools,org.apache.lucene.search.ScoreDocComparator,org.apache.lucene.index.Payload,org.apache.lucene.search.Filter,org.apache.lucene.search.FieldCache,org.apache.lucene.util.SmallFloat,org.apache.lucene.store.NativeFSLock,org.apache.lucene.index.IndexFileDeleter,org.apache.lucene.analysis.KeywordTokenizer,org.apache.lucene.queryParser.QueryParserConstants,org.apache.lucene.index.TermFreqVector,org.apache.lucene.index.IndexFileNames,org.apache.lucene.index.SegmentInfos,org.apache.lucene.document.Field,org.apache.lucene.search.TopDocCollector,org.apache.lucene.analysis.KeywordAnalyzer,org.apache.lucene.store.FSDirectory,org.apache.lucene.analysis.CachingTokenFilter,org.apache.lucene.search.spans.SpanOrQuery,org.apache.lucene.store.SingleInstanceLock,org.apache.lucene.store.NoLockFactory,org.apache.lucene.search.ScoreDoc,org.apache.lucene.search.spans.NearSpansOrdered,org.apache.lucene.analysis.LengthFilter,org.apache.lucene.search.IndexSearcher,org.apache.lucene.queryParser.ParseException,org.apache.lucene.search.Weight,org.apache.lucene.search.Scorer,org.apache.lucene.index.IndexReader,org.apache.lucene.search.QueryWrapperFilter,org.apache.lucene.analysis.StopAnalyzer,org.apache.lucene.index.TermVectorsReader,org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,org.apache.lucene.store.NativeFSLockFactory,org.apache.lucene.analysis.ISOLatin1AccentFilter,org.apache.lucene.analysis.standard.Token,org.apache.lucene.search.RemoteCachingWrapperFilter,org.apache.lucene.search.RangeQuery,org.apache.lucene.search.PrefixQuery,org.apache.lucene.analysis.standard.StandardTokenizer,org.apache.lucene.search.function.ByteFieldSource,org.apache.lucene.search.function.OrdFieldSource,org.apache.lucene.document.MapFieldSelector,org.apache.lucene.index.IndexFileNameFilter,org.apache.lucene.analysis.LowerCaseTokenizer,org.apache.lucene.util.BitVector,org.apache.lucene.document.AbstractField,org.apache.lucene.search.DisjunctionMaxQuery,org.apache.lucene.index.DocumentWriter,org.apache.lucene.util.Constants,org.apache.lucene.search.MultiTermQuery,org.apache.lucene.search.BooleanScorer,org.apache.lucene.search.QueryFilter,org.apache.lucene.search.ParallelMultiSearcher,org.apache.lucene.search.ConjunctionScorer,org.apache.lucene.analysis.Token,org.apache.lucene.index.MultiTermPositions,org.apache.lucene.queryParser.FastCharStream,org.apache.lucene.search.WildcardTermEnum,org.apache.lucene.store.LockObtainFailedException,org.apache.lucene.search.Sort,org.apache.lucene.index.Posting,org.apache.lucene.index.IndexWriter,org.apache.lucene.index.TermInfosReader,org.apache.lucene.search.RemoteSearchable_Stub,org.apache.lucene.search.PhraseScorer,org.apache.lucene.store.MMapDirectory,org.apache.lucene.search.HitDoc,org.apache.lucene.document.SetBasedFieldSelector,org.apache.lucene.search.Explanation,org.apache.lucene.index.FieldReaderException,org.apache.lucene.index.FieldInfo,org.apache.lucene.search.HitIterator,org.apache.lucene.search.BooleanScorer2}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
lucene,2.2,org.apache.lucene.search.FuzzyQuery,C,2,0,10,3,16,0.333333,266,1
lucene,2.2,org.apache.lucene.index.MultiLevelSkipListReader,C,1,1,9,2,7,0.5,453,1
lucene,2.2,org.apache.lucene.store.RAMDirectory,C,0,0,17,2,17,0.214286,373,2
lucene,2.2,org.apache.lucene.search.spans.SpanQuery,C,0,0,2,12,3,0.102564,9,0
lucene,2.2,org.apache.lucene.index.TermPositions,I,0,0,0,14,3,0.114286,0,1
lucene,2.2,org.apache.lucene.search.function.DocValues,C,4,0,12,7,4,0.035714,114,1
lucene,2.2,org.apache.lucene.analysis.standard.CharStream,I,0,0,0,2,2,0,0,0
lucene,2.2,org.apache.lucene.analysis.standard.FastCharStream,C,6,0,14,1,8,0,217,0
lucene,2.2,org.apache.lucene.search.FieldCacheImpl,C,0,0,14,14,26,0.181818,173,4
lucene,2.2,org.apache.lucene.document.LoadFirstFieldSelector,C,0,0,2,0,3,0,5,0
lucene,2.2,org.apache.lucene.index.SegmentInfo,C,2,2,18,7,13,0.472727,950,3
lucene,2.2,org.apache.lucene.store.BufferedIndexInput,C,2,1,12,3,9,0.333333,405,3
lucene,2.2,org.apache.lucene.index.TermInfosWriter,C,0,0,6,2,11,0.416667,377,3
lucene,2.2,org.apache.lucene.index.DefaultSkipListReader,C,3,1,8,1,4,0.666667,143,0
lucene,2.2,org.apache.lucene.search.MultiSearcher,C,2,0,16,2,18,0.179487,558,0
lucene,2.2,org.apache.lucene.search.Searchable,I,0,0,0,6,4,0.333333,0,2
lucene,2.2,org.apache.lucene.search.MultiPhraseQuery,C,3,1,14,3,19,0.488889,377,2
lucene,2.2,org.apache.lucene.store.IndexOutput,C,0,0,8,16,3,0.233333,181,2
lucene,2.2,org.apache.lucene.analysis.WordlistLoader,C,0,0,4,2,8,1,143,0
lucene,2.2,org.apache.lucene.search.spans.TermSpans,C,1,0,8,3,6,0.266667,146,0
lucene,2.2,org.apache.lucene.analysis.LowerCaseFilter,C,0,0,2,1,5,0.166667,19,1
lucene,2.2,org.apache.lucene.index.MultiReader,C,0,0,28,1,13,0.428571,629,4
lucene,2.2,org.apache.lucene.search.spans.SpanScorer,C,0,0,7,2,7,0.333333,186,1
lucene,2.2,org.apache.lucene.search.spans.SpanNearQuery,C,4,0,12,2,15,0.4,337,0
lucene,2.2,org.apache.lucene.document.Document,C,1,1,17,7,11,0.333333,396,5
lucene,2.2,org.apache.lucene.queryParser.CharStream,I,0,0,0,2,2,0,0,2
lucene,2.2,org.apache.lucene.search.PhrasePositions,C,0,0,5,5,3,0.4,83,0
lucene,2.2,org.apache.lucene.search.SloppyPhraseScorer,C,0,0,4,2,9,0.333333,319,1
lucene,2.2,org.apache.lucene.index.FieldInfos,C,0,0,20,10,16,0.366667,454,2
lucene,2.2,org.apache.lucene.document.FieldSelector,I,0,0,0,6,2,0,0,0
lucene,2.2,org.apache.lucene.index.CompoundFileWriter,C,2,0,6,3,15,0.333333,328,3
lucene,2.2,org.apache.lucene.search.PrefixFilter,C,1,0,4,0,7,0,47,1
lucene,2.2,org.apache.lucene.index.TermVectorsWriter,C,0,0,15,5,18,0.192308,645,3
lucene,2.2,org.apache.lucene.search.function.FieldScoreQuery,C,0,0,2,1,8,0,50,0
lucene,2.2,org.apache.lucene.index.FieldsReader,C,0,0,15,4,24,0.189542,710,11
lucene,2.2,org.apache.lucene.util.PriorityQueue,C,0,0,11,12,1,0.060606,260,1
lucene,2.2,org.apache.lucene.search.Query,C,1,1,12,27,16,0.131034,235,0
lucene,2.2,org.apache.lucene.index.MultipleTermPositions,C,1,0,13,4,10,0.333333,174,1
lucene,2.2,org.apache.lucene.index.MultiTermEnum,C,0,0,5,1,6,0.4,133,0
lucene,2.2,org.apache.lucene.queryParser.QueryParser,C,11,8,64,5,53,0.100379,3223,7
lucene,2.2,org.apache.lucene.analysis.SimpleAnalyzer,C,0,0,2,1,2,0.333333,8,0
lucene,2.2,org.apache.lucene.search.FieldDocSortedHitQueue,C,1,1,5,3,10,0.2,267,2
lucene,2.2,org.apache.lucene.search.function.FieldCacheSource,C,0,0,5,4,5,0.266667,58,2
lucene,2.2,org.apache.lucene.search.BooleanQuery,C,2,1,24,11,13,0.380952,404,3
lucene,2.2,org.apache.lucene.index.TermInfo,C,0,0,5,8,1,0.357143,91,0
lucene,2.2,org.apache.lucene.index.Term,C,0,0,12,47,8,0.053654,124,1
lucene,2.2,org.apache.lucene.search.PrefixGenerator,C,0,0,2,1,8,0.133333,63,0
lucene,2.2,org.apache.lucene.search.TermQuery,C,1,0,7,10,9,0.384615,88,1
lucene,2.2,org.apache.lucene.analysis.CharTokenizer,C,0,0,3,2,5,0,111,2
lucene,2.2,org.apache.lucene.index.CorruptIndexException,C,0,0,1,28,1,0.116402,4,0
lucene,2.2,org.apache.lucene.queryParser.MultiFieldQueryParser,C,0,0,11,0,12,0.642857,397,2
lucene,2.2,org.apache.lucene.index.SegmentMergeQueue,C,0,0,3,2,4,0.4,44,0
lucene,2.2,org.apache.lucene.store.Directory,C,2,1,8,24,6,0.216524,158,4
lucene,2.2,org.apache.lucene.analysis.PorterStemmer,C,2,1,27,1,9,0,1139,1
lucene,2.2,org.apache.lucene.search.Searcher,C,1,1,14,7,8,0.244444,107,4
lucene,2.2,org.apache.lucene.search.payloads.BoostingTermQuery,C,0,0,3,2,4,0.333333,35,4
lucene,2.2,org.apache.lucene.analysis.Analyzer,C,0,0,2,9,1,0.055556,5,1
lucene,2.2,org.apache.lucene.store.SimpleFSLockFactory,C,0,1,6,1,5,0.333333,95,3
lucene,2.2,org.apache.lucene.search.DisjunctionSumScorer,C,0,0,12,2,9,0.333333,337,0
lucene,2.2,org.apache.lucene.index.TermBuffer,C,0,1,11,1,10,0.333333,225,0
lucene,2.2,org.apache.lucene.store.BufferedIndexOutput,C,1,0,8,1,3,0,171,0
lucene,2.2,org.apache.lucene.index.TermVectorOffsetInfo,C,2,2,9,5,1,0.3,71,0
lucene,2.2,org.apache.lucene.search.function.IntFieldSource,C,0,0,6,2,11,0.133333,102,1
lucene,2.2,org.apache.lucene.index.MultiLevelSkipListWriter,C,0,0,5,1,5,0.666667,169,0
lucene,2.2,org.apache.lucene.index.IndexDeletionPolicy,I,0,0,0,2,2,0,0,1
lucene,2.2,org.apache.lucene.analysis.LetterTokenizer,C,0,0,2,1,2,0,7,0
lucene,2.2,org.apache.lucene.search.MatchAllDocsQuery,C,0,0,6,3,6,0.2,51,1
lucene,2.2,org.apache.lucene.search.BooleanClause,C,2,2,10,11,5,0.6,92,0
lucene,2.2,org.apache.lucene.index.IndexCommitPoint,I,0,0,0,2,1,0,0,2
lucene,2.2,org.apache.lucene.util.ToStringUtils,C,0,0,2,17,3,0.102941,19,0
lucene,2.2,org.apache.lucene.search.WildcardQuery,C,0,0,4,1,6,0.6,50,0
lucene,2.2,org.apache.lucene.index.SegmentTermVector,C,3,0,8,2,4,0.333333,122,1
lucene,2.2,org.apache.lucene.search.function.ValueSource,C,0,0,2,5,3,0.1,6,1
lucene,2.2,org.apache.lucene.document.DateField,C,0,0,8,1,7,0,117,0
lucene,2.2,org.apache.lucene.search.FieldDoc,C,0,0,2,3,1,0.5,13,1
lucene,2.2,org.apache.lucene.queryParser.TokenMgrError,C,1,0,6,2,4,1,173,3
lucene,2.2,org.apache.lucene.index.SegmentMerger,C,0,0,16,2,27,0.190476,1140,8
lucene,2.2,org.apache.lucene.index.MultiTermDocs,C,0,0,11,2,5,0.4,240,0
lucene,2.2,org.apache.lucene.document.FieldSelectorResult,C,0,0,4,6,2,0,71,0
lucene,2.2,org.apache.lucene.search.SortComparatorSource,I,0,0,0,2,3,0,0,0
lucene,2.2,org.apache.lucene.search.ReqOptSumScorer,C,0,0,6,1,3,0.333333,104,0
lucene,2.2,org.apache.lucene.search.DisjunctionMaxScorer,C,0,0,11,1,5,0,432,1
lucene,2.2,org.apache.lucene.document.NumberTools,C,0,0,4,0,6,0,120,0
lucene,2.2,org.apache.lucene.search.SimilarityDelegator,C,0,0,7,1,1,0,39,1
lucene,2.2,org.apache.lucene.store.SingleInstanceLockFactory,C,0,0,3,1,4,0,39,1
lucene,2.2,org.apache.lucene.search.SortField,C,5,0,15,3,4,0,268,3
lucene,2.2,org.apache.lucene.search.Similarity,C,0,0,11,20,9,0.090909,75,3
lucene,2.2,org.apache.lucene.search.FuzzyTermEnum,C,0,0,14,1,8,0.333333,489,0
lucene,2.2,org.apache.lucene.store.Lock,C,0,0,3,8,7,0.138889,81,2
lucene,2.2,org.apache.lucene.search.spans.SpanFirstQuery,C,4,0,11,1,7,0.333333,155,0
lucene,2.2,org.apache.lucene.search.TopDocs,C,1,1,3,7,2,0.285714,19,1
lucene,2.2,org.apache.lucene.search.TopFieldDocCollector,C,0,0,3,1,8,0.285714,67,2
lucene,2.2,org.apache.lucene.analysis.Tokenizer,C,0,0,3,3,3,0,13,3
lucene,2.2,org.apache.lucene.LucenePackage,C,0,0,2,0,4,0,13,0
lucene,2.2,org.apache.lucene.search.ComplexExplanation,C,2,1,6,9,3,0.2,58,1
lucene,2.2,org.apache.lucene.search.Hit,C,4,0,8,1,7,0.333333,104,2
lucene,2.2,org.apache.lucene.util.Parameter,C,0,0,6,5,8,0,80,0
lucene,2.2,org.apache.lucene.search.spans.NearSpansUnordered,C,0,0,14,3,11,0.3,410,1
lucene,2.2,org.apache.lucene.document.Fieldable,I,0,0,0,9,2,0.444444,0,2
lucene,2.2,org.apache.lucene.search.Hits,C,0,0,11,3,12,0.142857,317,2
lucene,2.2,org.apache.lucene.queryParser.Token,C,0,0,3,3,1,0.666667,12,1
lucene,2.2,org.apache.lucene.search.spans.SpanTermQuery,C,3,0,9,1,12,0.133333,106,0
lucene,2.2,org.apache.lucene.util.StringHelper,C,0,0,2,2,2,0,34,0
lucene,2.2,org.apache.lucene.store.RAMInputStream,C,1,0,8,1,7,0.333333,188,3
lucene,2.2,org.apache.lucene.search.CachingWrapperFilter,C,0,0,5,1,7,0,95,1
lucene,2.2,org.apache.lucene.index.TermPositionVector,I,0,0,0,2,2,0.333333,0,0
