@relation poi-1.5

@attribute System {poi}
@attribute Version numeric
@attribute Class {org.apache.poi.hssf.record.LineFormatRecord,org.apache.poi.hssf.record.formula.AttrPtg,org.apache.poi.hssf.record.RKRecord,org.apache.poi.hssf.record.UnicodeString,org.apache.poi.hpsf.MarkUnsupportedException,org.apache.poi.poifs.storage.HeaderBlockReader,org.apache.poi.hssf.record.formula.ValueReferencePtg,org.apache.poi.hssf.record.InterfaceHdrRecord,org.apache.poi.hssf.record.UnitsRecord,org.apache.poi.hssf.dev.HSSF,org.apache.poi.hpsf.DocumentSummaryInformation,org.apache.poi.hssf.record.MergeCellsRecord,org.apache.poi.hssf.record.WindowProtectRecord,org.apache.poi.hssf.record.formula.UnknownPtg,org.apache.poi.hssf.record.FnGroupCountRecord,org.apache.poi.hssf.dev.BiffViewer,org.apache.poi.poifs.storage.SmallDocumentBlock,org.apache.poi.poifs.storage.RawDataBlockList,org.apache.poi.hssf.record.BarRecord,org.apache.poi.hssf.eventmodel.HSSFListener,org.apache.poi.poifs.storage.BlockAllocationTableWriter,org.apache.poi.hssf.record.formula.MemErrPtg,org.apache.poi.poifs.dev.POIFSViewer,org.apache.poi.hssf.record.CalcModeRecord,org.apache.poi.hssf.record.AreaRecord,org.apache.poi.poifs.dev.POIFSViewable,org.apache.poi.hpsf.Property,org.apache.poi.poifs.filesystem.POIFSWriterListener,org.apache.poi.hssf.record.LabelRecord,org.apache.poi.poifs.filesystem.DocumentDescriptor,org.apache.poi.hssf.dev.EFBiffViewer,org.apache.poi.hssf.record.FontIndexRecord,org.apache.poi.hssf.record.PrecisionRecord,org.apache.poi.hssf.record.CodepageRecord,org.apache.poi.hssf.usermodel.HSSFErrorConstants,org.apache.poi.poifs.filesystem.DirectoryEntry,org.apache.poi.hssf.record.ValueRangeRecord,org.apache.poi.hssf.usermodel.HSSFCellStyle,org.apache.poi.hssf.record.UnknownRecord,org.apache.poi.hssf.record.formula.DividePtg,org.apache.poi.hssf.record.formula.ExpPtg,org.apache.poi.hpsf.HPSFException,org.apache.poi.hssf.record.BoundSheetRecord,org.apache.poi.poifs.filesystem.POIFSDocumentPath,org.apache.poi.poifs.filesystem.POIFSWriterEvent,org.apache.poi.poifs.property.Property,org.apache.poi.util.POILogFactory,org.apache.poi.hssf.record.ContinueRecord,org.apache.poi.hssf.record.ExtendedFormatRecord,org.apache.poi.hssf.record.CalcCountRecord,org.apache.poi.poifs.storage.RawDataBlock,org.apache.poi.hssf.record.SeriesChartGroupIndexRecord,org.apache.poi.hssf.record.IterationRecord,org.apache.poi.hssf.record.SaveRecalcRecord,org.apache.poi.poifs.storage.PropertyBlock,org.apache.poi.hssf.record.RecordFactory,org.apache.poi.hssf.model.Sheet,org.apache.poi.poifs.filesystem.DocumentEntry,org.apache.poi.hpsf.littleendian.Byte,org.apache.poi.hssf.usermodel.HSSFDataFormat,org.apache.poi.hssf.eventmodel.HSSFEventFactory,org.apache.poi.hssf.record.WindowTwoRecord,org.apache.poi.hssf.record.HeaderRecord,org.apache.poi.hssf.usermodel.HSSFWorkbook,org.apache.poi.hssf.record.WindowOneRecord,org.apache.poi.hssf.record.ColumnInfoRecord,org.apache.poi.poifs.filesystem.EntryNode,org.apache.poi.hssf.record.formula.OperationPtg,org.apache.poi.util.LongField,org.apache.poi.hssf.record.FontBasisRecord,org.apache.poi.util.FixedField,org.apache.poi.hssf.record.BOFRecord,org.apache.poi.hssf.record.ProtectRecord,org.apache.poi.util.ByteField,org.apache.poi.hssf.record.ProtectionRev4Record,org.apache.poi.hpsf.wellknown.PropertyIDMap,org.apache.poi.poifs.storage.BigBlock,org.apache.poi.hssf.record.TabIdRecord,org.apache.poi.hpsf.littleendian.Word,org.apache.poi.poifs.storage.BlockWritable,org.apache.poi.hssf.record.EOFRecord,org.apache.poi.poifs.property.PropertyFactory,org.apache.poi.hssf.record.formula.ValueVariableFunctionPtg,org.apache.poi.hssf.record.LegendRecord,org.apache.poi.util.IntegerField,org.apache.poi.hssf.record.SeriesListRecord,org.apache.poi.hssf.record.formula.Ptg,org.apache.poi.hssf.record.formula.AddPtg,org.apache.poi.hssf.dev.EFHSSFListener,org.apache.poi.hssf.record.AxisUsedRecord,org.apache.poi.hpsf.SummaryInformation,org.apache.poi.hssf.record.MulRKRecord,org.apache.poi.poifs.eventfilesystem.POIFSReaderListener,org.apache.poi.hssf.record.ChartRecord,org.apache.poi.hssf.record.BoolErrRecord,org.apache.poi.hssf.record.FrameRecord,org.apache.poi.hssf.record.GridsetRecord,org.apache.poi.poifs.property.DirectoryProperty,org.apache.poi.hssf.record.LabelSSTRecord,org.apache.poi.hssf.record.formula.PowerPtg,org.apache.poi.poifs.dev.POIFSViewEngine,org.apache.poi.hssf.record.UseSelFSRecord,org.apache.poi.hssf.record.AreaFormatRecord,org.apache.poi.hssf.record.SSTRecord,org.apache.poi.hssf.model.Workbook,org.apache.poi.poifs.property.DocumentProperty,org.apache.poi.hpsf.Util,org.apache.poi.hpsf.littleendian.DWord,org.apache.poi.poifs.storage.BATBlock,org.apache.poi.hssf.record.IndexRecord,org.apache.poi.util.LittleEndianConsts,org.apache.poi.dev.RecordGenerator,org.apache.poi.util.ShortList,org.apache.poi.hpsf.PropertySetFactory,org.apache.poi.hssf.record.CellValueRecordInterface,org.apache.poi.hssf.record.DateWindow1904Record,org.apache.poi.hssf.record.RefreshAllRecord,org.apache.poi.util.IntList,org.apache.poi.hssf.util.Region,org.apache.poi.hssf.record.formula.FormulaUtil,org.apache.poi.hssf.record.BlankRecord,org.apache.poi.hssf.record.DeltaRecord,org.apache.poi.hssf.record.LinkedDataRecord,org.apache.poi.hssf.record.AxisRecord,org.apache.poi.hssf.record.ExtSSTInfoSubRecord,org.apache.poi.util.ShortField,org.apache.poi.poifs.common.POIFSConstants,org.apache.poi.poifs.property.Child,org.apache.poi.hssf.record.formula.SubtractPtg,org.apache.poi.hssf.record.RecordFormatException,org.apache.poi.hssf.record.SeriesLabelsRecord,org.apache.poi.hssf.record.PlotGrowthRecord,org.apache.poi.poifs.property.RootProperty,org.apache.poi.poifs.storage.SmallDocumentBlockList,org.apache.poi.hpsf.littleendian.LittleEndian,org.apache.poi.hssf.record.DataFormatRecord,org.apache.poi.poifs.filesystem.DocumentInputStream,org.apache.poi.hssf.usermodel.HSSFCell,org.apache.poi.util.HexDump,org.apache.poi.hssf.record.BackupRecord,org.apache.poi.hssf.record.MulBlankRecord,org.apache.poi.util.StringUtil,org.apache.poi.hssf.usermodel.HSSFFont,org.apache.poi.hssf.record.PrintGridlinesRecord,org.apache.poi.hssf.record.BeginRecord,org.apache.poi.poifs.property.Parent,org.apache.poi.poifs.eventfilesystem.POIFSReaderEvent,org.apache.poi.hssf.record.CategorySeriesAxisRecord,org.apache.poi.hssf.record.FooterRecord,org.apache.poi.hssf.record.WriteAccessRecord,org.apache.poi.hssf.record.formula.AreaPtg,org.apache.poi.poifs.property.PropertyTable,org.apache.poi.hssf.usermodel.HSSFColorConstants,org.apache.poi.hssf.record.BookBoolRecord,org.apache.poi.hssf.record.NumberRecord,org.apache.poi.hssf.record.formula.FormulaParser,org.apache.poi.poifs.storage.ListManagedBlock,org.apache.poi.hssf.usermodel.HSSFRow,org.apache.poi.poifs.filesystem.POIFSDocument,org.apache.poi.hpsf.Section,org.apache.poi.hssf.record.InterfaceEndRecord,org.apache.poi.hssf.record.RkRec,org.apache.poi.hssf.record.aggregates.RowRecordsAggregate,org.apache.poi.hssf.record.SelectionRecord,org.apache.poi.util.POILogger,org.apache.poi.hpsf.Variant,org.apache.poi.hssf.util.HSSFColor,org.apache.poi.hssf.record.RowRecord,org.apache.poi.hpsf.NoSingleSectionException,org.apache.poi.hssf.record.RefModeRecord,org.apache.poi.hssf.record.FormatRecord,org.apache.poi.hssf.record.DimensionsRecord,org.apache.poi.hpsf.PropertySet,org.apache.poi.poifs.filesystem.Entry,org.apache.poi.poifs.filesystem.BATManaged,org.apache.poi.hssf.record.aggregates.ValueRecordsAggregate,org.apache.poi.hpsf.littleendian.ClassID,org.apache.poi.hpsf.HPSFRuntimeException,org.apache.poi.util.LittleEndian,org.apache.poi.hpsf.wellknown.SectionIDMap,org.apache.poi.hssf.record.MMSRecord,org.apache.poi.poifs.storage.BlockAllocationTableReader,org.apache.poi.hpsf.UnexpectedPropertySetTypeException,org.apache.poi.hssf.record.HideObjRecord,org.apache.poi.hssf.record.DefaultRowHeightRecord,org.apache.poi.util.BinaryTree,org.apache.poi.poifs.eventfilesystem.POIFSReaderRegistry,org.apache.poi.poifs.storage.HeaderBlockWriter,org.apache.poi.hssf.record.EndRecord,org.apache.poi.hssf.record.formula.IntPtg,org.apache.poi.hssf.record.SheetPropertiesRecord,org.apache.poi.hssf.record.PrintSetupRecord,org.apache.poi.hssf.record.FormulaRecord,org.apache.poi.poifs.storage.BlockListImpl,org.apache.poi.hssf.record.PasswordRecord,org.apache.poi.hssf.record.NumberFormatIndexRecord,org.apache.poi.hssf.record.StyleRecord,org.apache.poi.poifs.storage.BlockList,org.apache.poi.hssf.record.Record,org.apache.poi.hssf.record.WSBoolRecord,org.apache.poi.hssf.record.SeriesRecord,org.apache.poi.hssf.usermodel.HSSFDateUtil,org.apache.poi.hssf.record.PrintHeadersRecord,org.apache.poi.hssf.eventmodel.HSSFRequest,org.apache.poi.hssf.record.DefaultDataLabelTextPropertiesRecord,org.apache.poi.hssf.record.CountryRecord,org.apache.poi.poifs.filesystem.POIFSFileSystem,org.apache.poi.poifs.filesystem.DirectoryNode,org.apache.poi.hssf.record.formula.MultiplyPtg,org.apache.poi.hssf.record.formula.NamePtg,org.apache.poi.hssf.record.DSFRecord,org.apache.poi.hssf.record.PasswordRev4Record,org.apache.poi.hssf.record.ExtSSTRecord,org.apache.poi.hssf.record.VCenterRecord,org.apache.poi.poifs.storage.DocumentBlock,org.apache.poi.poifs.eventfilesystem.POIFSReader,org.apache.poi.hssf.util.RKUtil,org.apache.poi.hssf.record.FontRecord,org.apache.poi.util.BitField,org.apache.poi.poifs.storage.HeaderBlockConstants,org.apache.poi.hssf.record.DBCellRecord,org.apache.poi.hssf.record.DatRecord,org.apache.poi.hssf.dev.FormulaViewer,org.apache.poi.poifs.property.PropertyConstants,org.apache.poi.hssf.dev.EFHSSF,org.apache.poi.hpsf.SpecialPropertySet,org.apache.poi.hssf.record.DefaultColWidthRecord,org.apache.poi.poifs.filesystem.DocumentOutputStream,org.apache.poi.hssf.usermodel.HSSFSheet,org.apache.poi.hpsf.NoPropertySetStreamException,org.apache.poi.hssf.record.ChartFormatRecord,org.apache.poi.poifs.filesystem.DocumentNode,org.apache.poi.hssf.record.formula.ParenthesisPtg,org.apache.poi.poifs.storage.SmallBlockTableReader,org.apache.poi.hssf.record.HCenterRecord,org.apache.poi.hssf.record.GutsRecord,org.apache.poi.poifs.storage.SmallBlockTableWriter}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
poi,1.5,org.apache.poi.hssf.record.LineFormatRecord,C,7,8,25,1,6,0.266667,380,1
poi,1.5,org.apache.poi.hssf.record.formula.AttrPtg,C,5,2,20,1,8,0,305,6
poi,1.5,org.apache.poi.hssf.record.RKRecord,C,7,3,23,2,10,0.428571,345,1
poi,1.5,org.apache.poi.hssf.record.UnicodeString,C,6,2,22,2,8,0.4,297,3
poi,1.5,org.apache.poi.hpsf.MarkUnsupportedException,C,0,0,4,2,1,0.333333,16,1
poi,1.5,org.apache.poi.poifs.storage.HeaderBlockReader,C,6,0,7,2,8,0.133333,160,1
poi,1.5,org.apache.poi.hssf.record.formula.ValueReferencePtg,C,4,3,14,2,6,0.166667,131,0
poi,1.5,org.apache.poi.hssf.record.InterfaceHdrRecord,C,3,1,11,2,5,0.4,91,0
poi,1.5,org.apache.poi.hssf.record.UnitsRecord,C,3,1,11,1,5,0.4,102,1
poi,1.5,org.apache.poi.hssf.dev.HSSF,C,0,0,4,0,18,0.277778,476,2
poi,1.5,org.apache.poi.hpsf.DocumentSummaryInformation,C,15,0,16,1,7,0.333333,89,2
poi,1.5,org.apache.poi.hssf.record.MergeCellsRecord,C,3,1,14,5,6,0.321429,329,1
poi,1.5,org.apache.poi.hssf.record.WindowProtectRecord,C,3,1,11,2,4,0.4,102,0
poi,1.5,org.apache.poi.hssf.record.formula.UnknownPtg,C,1,0,5,0,1,0,12,3
poi,1.5,org.apache.poi.hssf.record.FnGroupCountRecord,C,3,1,11,2,4,0.4,90,0
poi,1.5,org.apache.poi.hssf.dev.BiffViewer,C,0,1,9,0,103,0.066412,1067,4
poi,1.5,org.apache.poi.poifs.storage.SmallDocumentBlock,C,1,0,12,6,12,0.25,303,0
poi,1.5,org.apache.poi.poifs.storage.RawDataBlockList,C,0,0,1,4,5,0.266667,29,0
poi,1.5,org.apache.poi.hssf.record.BarRecord,C,5,7,23,1,6,0.266667,349,1
poi,1.5,org.apache.poi.hssf.eventmodel.HSSFListener,I,0,0,0,3,1,0,0,0
poi,1.5,org.apache.poi.poifs.storage.BlockAllocationTableWriter,C,1,1,8,2,7,0.333333,124,0
poi,1.5,org.apache.poi.hssf.record.formula.MemErrPtg,C,3,2,9,1,2,0,35,3
poi,1.5,org.apache.poi.poifs.dev.POIFSViewer,C,0,0,3,0,11,0,109,0
poi,1.5,org.apache.poi.hssf.record.CalcModeRecord,C,3,1,11,2,5,0.4,91,1
poi,1.5,org.apache.poi.hssf.record.AreaRecord,C,3,4,17,1,6,0.266667,228,1
poi,1.5,org.apache.poi.poifs.dev.POIFSViewable,I,0,0,0,6,1,0.6,0,0
poi,1.5,org.apache.poi.hpsf.Property,C,3,0,6,1,8,0.333333,209,4
poi,1.5,org.apache.poi.poifs.filesystem.POIFSWriterListener,I,0,0,0,2,1,0,0,0
poi,1.5,org.apache.poi.hssf.record.LabelRecord,C,6,3,21,2,6,0.238095,202,3
poi,1.5,org.apache.poi.poifs.filesystem.DocumentDescriptor,C,0,0,4,1,6,0,122,0
poi,1.5,org.apache.poi.hssf.dev.EFBiffViewer,C,0,1,4,0,10,0.333333,77,0
poi,1.5,org.apache.poi.hssf.record.FontIndexRecord,C,3,1,11,1,5,0.4,102,1
poi,1.5,org.apache.poi.hssf.record.PrecisionRecord,C,3,1,11,2,4,0.4,102,0
poi,1.5,org.apache.poi.hssf.record.CodepageRecord,C,3,1,11,2,5,0.4,91,0
poi,1.5,org.apache.poi.hssf.usermodel.HSSFErrorConstants,I,0,0,0,0,1,0,0,0
poi,1.5,org.apache.poi.poifs.filesystem.DirectoryEntry,I,0,0,0,2,4,1,0,1
poi,1.5,org.apache.poi.hssf.record.ValueRangeRecord,C,8,15,39,1,6,0.266667,640,0
poi,1.5,org.apache.poi.hssf.usermodel.HSSFCellStyle,C,21,20,42,3,4,0.333333,242,2
poi,1.5,org.apache.poi.hssf.record.UnknownRecord,C,2,0,9,4,6,0.380952,132,3
poi,1.5,org.apache.poi.hssf.record.formula.DividePtg,C,3,0,8,3,3,0.5,46,4
poi,1.5,org.apache.poi.hssf.record.formula.ExpPtg,C,1,0,5,1,1,0,11,5
poi,1.5,org.apache.poi.hpsf.HPSFException,C,1,0,5,3,1,0,23,1
poi,1.5,org.apache.poi.hssf.record.BoundSheetRecord,C,7,5,19,3,7,0.238095,226,3
poi,1.5,org.apache.poi.poifs.filesystem.POIFSDocumentPath,C,1,0,9,4,7,0.166667,283,0
poi,1.5,org.apache.poi.poifs.filesystem.POIFSWriterEvent,C,4,0,5,2,1,0,27,0
poi,1.5,org.apache.poi.poifs.property.Property,C,12,9,28,12,15,0.183824,607,1
poi,1.5,org.apache.poi.util.POILogFactory,C,0,0,4,4,6,0.9,40,0
poi,1.5,org.apache.poi.hssf.record.ContinueRecord,C,2,1,13,1,9,0.5,202,2
poi,1.5,org.apache.poi.hssf.record.ExtendedFormatRecord,C,37,43,96,3,6,0.190476,1291,1
poi,1.5,org.apache.poi.hssf.record.CalcCountRecord,C,3,1,11,2,5,0.4,91,1
poi,1.5,org.apache.poi.poifs.storage.RawDataBlock,C,1,0,3,5,5,0.266667,73,1
poi,1.5,org.apache.poi.hssf.record.SeriesChartGroupIndexRecord,C,3,1,11,0,5,0,102,1
poi,1.5,org.apache.poi.hssf.record.IterationRecord,C,3,1,11,2,4,0.4,101,1
poi,1.5,org.apache.poi.hssf.record.SaveRecalcRecord,C,3,1,11,2,4,0.4,100,1
poi,1.5,org.apache.poi.poifs.storage.PropertyBlock,C,0,0,3,1,7,0.4,98,0
poi,1.5,org.apache.poi.hssf.record.RecordFactory,C,0,0,7,4,26,0.307692,1122,3
poi,1.5,org.apache.poi.hssf.model.Sheet,C,12,5,76,4,53,0.066489,2092,20
poi,1.5,org.apache.poi.poifs.filesystem.DocumentEntry,I,0,0,0,3,2,0.666667,0,0
poi,1.5,org.apache.poi.hpsf.littleendian.Byte,C,0,0,2,1,1,1,7,0
poi,1.5,org.apache.poi.hssf.usermodel.HSSFDataFormat,C,0,0,6,1,3,0,259,4
poi,1.5,org.apache.poi.hssf.eventmodel.HSSFEventFactory,C,0,0,3,2,9,0.357143,118,2
poi,1.5,org.apache.poi.hssf.record.WindowTwoRecord,C,21,19,47,3,6,0.238095,787,1
poi,1.5,org.apache.poi.hssf.record.HeaderRecord,C,4,2,13,2,6,0.266667,157,2
poi,1.5,org.apache.poi.hssf.usermodel.HSSFWorkbook,C,6,2,27,2,22,0.230769,528,12
poi,1.5,org.apache.poi.hssf.record.WindowOneRecord,C,16,14,38,2,6,0.266667,480,0
poi,1.5,org.apache.poi.hssf.record.ColumnInfoRecord,C,10,8,26,2,5,0.266667,305,1
poi,1.5,org.apache.poi.poifs.filesystem.EntryNode,C,3,0,9,3,4,0.8,59,0
poi,1.5,org.apache.poi.hssf.record.formula.OperationPtg,I,0,0,0,10,1,0.111111,0,2
poi,1.5,org.apache.poi.util.LongField,C,1,0,11,2,8,0.4,79,0
poi,1.5,org.apache.poi.hssf.record.FontBasisRecord,C,7,5,19,1,5,0.4,254,1
poi,1.5,org.apache.poi.util.FixedField,I,0,0,0,4,5,0.6,0,0
poi,1.5,org.apache.poi.hssf.record.BOFRecord,C,8,6,21,4,5,0.333333,245,1
poi,1.5,org.apache.poi.hssf.record.ProtectRecord,C,3,1,11,2,5,0.4,97,1
poi,1.5,org.apache.poi.util.ByteField,C,1,0,11,1,7,0.5,76,0
poi,1.5,org.apache.poi.hssf.record.ProtectionRev4Record,C,3,1,11,2,5,0.4,97,0
poi,1.5,org.apache.poi.hpsf.wellknown.PropertyIDMap,C,0,0,6,1,5,0,234,3
poi,1.5,org.apache.poi.poifs.storage.BigBlock,C,0,0,3,4,4,0.2,11,0
poi,1.5,org.apache.poi.hssf.record.TabIdRecord,C,3,1,11,2,4,0.4,167,0
poi,1.5,org.apache.poi.hpsf.littleendian.Word,C,0,0,2,2,1,0.666667,7,0
poi,1.5,org.apache.poi.poifs.storage.BlockWritable,I,0,0,0,8,2,0.357143,0,0
poi,1.5,org.apache.poi.hssf.record.EOFRecord,C,2,0,9,3,4,0.4,60,1
poi,1.5,org.apache.poi.poifs.property.PropertyFactory,C,0,0,2,1,8,0.3,83,0
poi,1.5,org.apache.poi.hssf.record.formula.ValueVariableFunctionPtg,C,4,0,9,1,4,0,89,1
poi,1.5,org.apache.poi.hssf.record.LegendRecord,C,9,13,35,0,6,0,582,2
poi,1.5,org.apache.poi.util.IntegerField,C,1,0,11,4,7,0.238095,72,0
poi,1.5,org.apache.poi.hssf.record.SeriesListRecord,C,3,1,11,1,4,0.5,104,1
poi,1.5,org.apache.poi.hssf.record.formula.Ptg,C,3,0,5,20,19,0.084211,158,11
poi,1.5,org.apache.poi.hssf.record.formula.AddPtg,C,5,0,12,3,5,0.5,82,4
poi,1.5,org.apache.poi.hssf.dev.EFHSSFListener,C,0,0,2,1,3,0,11,0
poi,1.5,org.apache.poi.hssf.record.AxisUsedRecord,C,3,1,11,0,5,0,102,1
poi,1.5,org.apache.poi.hpsf.SummaryInformation,C,18,0,19,1,8,0.333333,107,1
poi,1.5,org.apache.poi.hssf.record.MulRKRecord,C,5,0,15,2,8,0.285714,208,0
poi,1.5,org.apache.poi.poifs.eventfilesystem.POIFSReaderListener,I,0,0,0,2,1,1,0,0
poi,1.5,org.apache.poi.hssf.record.ChartRecord,C,6,4,17,1,5,0.4,216,1
poi,1.5,org.apache.poi.hssf.record.BoolErrRecord,C,7,3,28,2,7,0.333333,396,2
poi,1.5,org.apache.poi.hssf.record.FrameRecord,C,4,4,17,1,6,0.266667,224,1
poi,1.5,org.apache.poi.hssf.record.GridsetRecord,C,3,1,11,2,4,0.4,102,1
poi,1.5,org.apache.poi.poifs.property.DirectoryProperty,C,1,0,8,8,11,0.311111,267,0
poi,1.5,org.apache.poi.hssf.record.LabelSSTRecord,C,6,4,24,4,7,0.357143,335,1
poi,1.5,org.apache.poi.hssf.record.formula.PowerPtg,C,3,0,8,2,3,0.333333,46,5
poi,1.5,org.apache.poi.poifs.dev.POIFSViewEngine,C,0,0,4,1,10,0,141,0
poi,1.5,org.apache.poi.hssf.record.UseSelFSRecord,C,3,1,11,2,5,0.4,91,0
poi,1.5,org.apache.poi.hssf.record.AreaFormatRecord,C,8,8,25,1,6,0.266667,376,1
poi,1.5,org.apache.poi.hssf.record.SSTRecord,C,8,2,38,3,14,0.25,1572,5
poi,1.5,org.apache.poi.hssf.model.Workbook,C,6,0,59,3,48,0.064565,2330,14
poi,1.5,org.apache.poi.poifs.property.DocumentProperty,C,1,1,7,4,1,0.5,40,0
poi,1.5,org.apache.poi.hpsf.Util,C,0,0,6,2,2,0,130,4
poi,1.5,org.apache.poi.hpsf.littleendian.DWord,C,0,0,3,4,1,0.5,34,0
poi,1.5,org.apache.poi.poifs.storage.BATBlock,C,0,1,11,3,4,0.3,203,0
poi,1.5,org.apache.poi.hssf.record.IndexRecord,C,5,2,17,2,6,0.333333,267,2
poi,1.5,org.apache.poi.util.LittleEndianConsts,I,0,0,0,1,1,0,0,0
