@relation synapse-1.0

@attribute System {synapse}
@attribute Version numeric
@attribute Class {org.apache.synapse.config.xml.ProxyServiceFactory,org.apache.synapse.config.xml.OutMediatorFactory,org.apache.synapse.config.xml.FaultMediatorFactory,org.apache.synapse.statistics.impl.SequenceStatisticsStack,org.apache.synapse.config.XMLToObjectMapper,org.apache.synapse.core.axis2.TimeoutHandler,org.apache.synapse.mediators.builtin.LogMediator,org.apache.synapse.config.xml.AnonymousListMediator,org.apache.synapse.registry.AbstractRegistry,org.apache.synapse.statistics.Statistics,org.apache.synapse.config.xml.endpoints.EndpointSerializer,org.apache.synapse.mediators.filters.OutMediator,org.apache.synapse.config.xml.DropMediatorFactory,org.apache.synapse.config.xml.AbstractMediatorSerializer,org.apache.synapse.core.axis2.AnonymousServiceFactory,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,org.apache.synapse.core.axis2.AsyncCallback,org.apache.synapse.endpoints.WSDLEndpoint,org.apache.synapse.config.xml.ClassMediatorSerializer,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,org.apache.synapse.mediators.transform.XSLTMediator,org.apache.synapse.endpoints.SALoadbalanceEndpoint,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,org.apache.synapse.config.xml.XMLConfigurationBuilder,org.apache.synapse.config.xml.SendMediatorFactory,org.apache.synapse.config.xml.InMediatorFactory,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,org.apache.synapse.Constants,org.apache.synapse.config.xml.XMLConfigurationSerializer,org.apache.synapse.config.xml.endpoints.EndpointFactory,org.apache.synapse.config.xml.SendMediatorSerializer,org.apache.synapse.config.SynapseConfiguration,org.apache.synapse.mediators.transform.HeaderMediator,org.apache.synapse.config.xml.SequenceMediatorFactory,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,org.apache.synapse.config.xml.SwitchMediatorFactory,org.apache.synapse.config.xml.AbstractListMediatorSerializer,org.apache.synapse.core.axis2.SynapseDispatcher,org.apache.synapse.config.xml.AbstractMediatorFactory,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,org.apache.synapse.endpoints.dispatch.Dispatcher,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,org.apache.synapse.mediators.builtin.SendMediator,org.apache.synapse.config.xml.PropertyMediatorFactory,org.apache.synapse.core.axis2.SynapseMessageReceiver,org.apache.synapse.core.axis2.Axis2Sender,org.apache.synapse.mediators.base.SequenceMediator,org.apache.synapse.config.xml.RegistryFactory,org.apache.synapse.mediators.builtin.DropMediator,org.apache.synapse.config.xml.OutMediatorSerializer,org.apache.synapse.MessageContext,org.apache.synapse.mediators.AbstractListMediator,org.apache.synapse.endpoints.AddressEndpoint,org.apache.synapse.mediators.MediatorFaultHandler,org.apache.synapse.core.axis2.SynapseModule,org.apache.synapse.core.axis2.DynamicAxisOperation,org.apache.synapse.config.xml.MediatorSerializer,org.apache.synapse.statistics.impl.EndPointStatisticsStack,org.apache.synapse.config.xml.ClassMediatorFactory,org.apache.synapse.config.xml.SwitchMediatorSerializer,org.apache.synapse.config.xml.LogMediatorSerializer,org.apache.synapse.mediators.transform.FaultMediator,org.apache.synapse.mediators.base.SynapseMediator,org.apache.synapse.statistics.StatisticsUtils,org.apache.synapse.config.Entry,org.apache.synapse.config.xml.ValidateMediatorSerializer,org.apache.synapse.mediators.AbstractMediator,org.apache.synapse.endpoints.utils.EndpointDefinition,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,org.apache.synapse.config.xml.SequenceMediatorSerializer,org.apache.synapse.mediators.FilterMediator,org.apache.synapse.config.xml.LogMediatorFactory,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,org.apache.synapse.config.xml.AbstractListMediatorFactory,org.apache.synapse.config.Util,org.apache.synapse.config.xml.RMSequenceMediatorFactory,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,org.apache.synapse.config.xml.XSLTMediatorSerializer,org.apache.synapse.mediators.MediatorProperty,org.apache.synapse.registry.url.URLRegistryEntry,org.apache.synapse.config.xml.endpoints.EndpointAbstractSerializer,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,org.apache.synapse.endpoints.IndirectEndpoint,org.apache.synapse.metrics.Constants,org.apache.synapse.config.xml.MediatorFactoryFinder,org.apache.synapse.SynapseServer,org.apache.synapse.mediators.GetPropertyFunction,org.apache.synapse.mediators.filters.FilterMediator,org.apache.synapse.config.xml.MediatorFactory,org.apache.synapse.mediators.ListMediator,org.apache.synapse.config.xml.DropMediatorSerializer,org.apache.synapse.metrics.Counter,org.apache.synapse.SynapseException,org.apache.synapse.core.axis2.MessageContextCreatorForAxis2,org.apache.synapse.FaultHandler,org.apache.synapse.statistics.StatisticsCollector,org.apache.synapse.config.xml.endpoints.EndpointAbstractFactory,org.apache.synapse.config.xml.PropertyMediatorSerializer,org.apache.synapse.config.xml.Constants,org.apache.synapse.metrics.GlobalRequestCountHandler,org.apache.synapse.config.xml.endpoints.IndirectEndpointSerializer,org.apache.synapse.config.xml.SynapseMediatorFactory,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,org.apache.synapse.statistics.StatisticsHolder,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointFactory,org.apache.synapse.config.xml.SwitchCase,org.apache.synapse.config.xml.FilterMediatorFactory,org.apache.synapse.endpoints.dispatch.SimpleClientSessionDispatcher,org.apache.synapse.config.xml.FaultMediatorSerializer,org.apache.synapse.config.xml.ProxyServiceSerializer,org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher,org.apache.synapse.config.xml.endpoints.utils.WSDL11EndpointBuilder,org.apache.synapse.mediators.filters.SwitchMediator,org.apache.synapse.mediators.builtin.RMSequenceMediator,org.apache.synapse.config.xml.EntryFactory,org.apache.synapse.config.xml.MediatorSerializerFinder,org.apache.synapse.registry.url.SimpleURLRegistry,org.apache.synapse.config.xml.endpoints.WSDLEndpointSerializer,org.apache.synapse.config.SynapseConfigurationBuilder,org.apache.synapse.metrics.MetricsAggregatorModule,org.apache.synapse.config.xml.HeaderMediatorFactory,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,org.apache.synapse.mediators.ext.ClassMediator,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,org.apache.synapse.statistics.StatisticsStack,org.apache.synapse.config.xml.OMElementUtils,org.apache.synapse.config.xml.XSLTMediatorFactory,org.apache.synapse.config.xml.EntrySerializer,org.apache.synapse.core.SynapseEnvironment,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,org.apache.synapse.mediators.filters.InMediator,org.apache.synapse.config.xml.endpoints.utils.LoadbalanceAlgorithmFactory,org.apache.synapse.endpoints.FailoverEndpoint,org.apache.synapse.config.xml.AnonymousListMediatorSerializer,org.apache.synapse.registry.RegistryEntry,org.apache.synapse.config.xml.ValidateMediatorFactory,org.apache.synapse.config.xml.FilterMediatorSerializer,org.apache.synapse.mediators.builtin.PropertyMediator,org.apache.synapse.config.xml.MediatorPropertyFactory,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,org.apache.synapse.endpoints.Endpoint,org.apache.synapse.endpoints.LoadbalanceEndpoint,org.apache.synapse.config.xml.RegistrySerializer,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointSerializer,org.apache.synapse.util.UUIDGenerator,org.apache.synapse.core.axis2.Axis2MessageContext,org.apache.synapse.mediators.builtin.ValidateMediator,org.apache.synapse.Mediator,org.apache.synapse.config.xml.AnonymousListMediatorFactory,org.apache.synapse.config.xml.InMediatorSerializer,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,org.apache.synapse.registry.Registry,org.apache.synapse.endpoints.algorithms.RoundRobin,org.apache.synapse.core.axis2.ProxyService,org.apache.synapse.config.xml.SynapseMediatorSerializer,org.apache.synapse.config.xml.HeaderMediatorSerializer,org.apache.synapse.core.axis2.SynapseCallbackReceiver}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
synapse,1,org.apache.synapse.config.xml.ProxyServiceFactory,C,0,0,5,1,22,0.466667,567,0
synapse,1,org.apache.synapse.config.xml.OutMediatorFactory,C,1,0,4,0,3,0,25,0
synapse,1,org.apache.synapse.config.xml.FaultMediatorFactory,C,1,0,4,0,18,0.333333,395,0
synapse,1,org.apache.synapse.statistics.impl.SequenceStatisticsStack,C,0,0,6,4,9,0.333333,147,0
synapse,1,org.apache.synapse.config.XMLToObjectMapper,I,0,0,0,6,1,0.133333,0,0
synapse,1,org.apache.synapse.core.axis2.TimeoutHandler,C,0,0,4,1,11,0.333333,132,1
synapse,1,org.apache.synapse.mediators.builtin.LogMediator,C,3,2,17,3,18,0.066667,415,0
synapse,1,org.apache.synapse.config.xml.AnonymousListMediator,C,0,0,2,3,1,0,7,0
synapse,1,org.apache.synapse.registry.AbstractRegistry,C,2,0,7,1,16,0.095238,199,0
synapse,1,org.apache.synapse.statistics.Statistics,C,5,0,7,1,1,0,91,0
synapse,1,org.apache.synapse.config.xml.endpoints.EndpointSerializer,I,0,0,0,9,1,0.027778,0,0
synapse,1,org.apache.synapse.mediators.filters.OutMediator,C,0,0,4,2,8,0,71,0
synapse,1,org.apache.synapse.config.xml.DropMediatorFactory,C,1,0,4,0,3,0,22,0
synapse,1,org.apache.synapse.config.xml.AbstractMediatorSerializer,C,0,0,7,11,20,0.219048,160,0
synapse,1,org.apache.synapse.core.axis2.AnonymousServiceFactory,C,0,0,5,1,16,0.333333,205,0
synapse,1,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,C,0,0,1,0,1,0,3,0
synapse,1,org.apache.synapse.core.axis2.AsyncCallback,C,3,3,9,3,1,0.333333,35,0
synapse,1,org.apache.synapse.endpoints.WSDLEndpoint,C,7,8,22,3,18,0.111111,305,0
synapse,1,org.apache.synapse.config.xml.ClassMediatorSerializer,C,1,0,5,0,12,0.666667,86,0
synapse,1,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,C,0,0,8,1,16,0.133333,122,0
synapse,1,org.apache.synapse.mediators.transform.XSLTMediator,C,3,2,14,2,30,0.285714,439,1
synapse,1,org.apache.synapse.endpoints.SALoadbalanceEndpoint,C,4,5,18,4,21,0.254545,241,0
synapse,1,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,C,0,0,7,1,11,0.333333,67,0
synapse,1,org.apache.synapse.config.xml.XMLConfigurationBuilder,C,0,0,12,1,36,0.191176,413,0
synapse,1,org.apache.synapse.config.xml.SendMediatorFactory,C,1,0,4,0,11,0.1,63,0
synapse,1,org.apache.synapse.config.xml.InMediatorFactory,C,1,0,4,0,3,0,25,0
synapse,1,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,C,0,0,5,2,8,0.3,122,0
synapse,1,org.apache.synapse.Constants,I,0,0,1,8,3,0,6,0
synapse,1,org.apache.synapse.config.xml.XMLConfigurationSerializer,C,0,0,7,0,30,0.217949,220,0
synapse,1,org.apache.synapse.config.xml.endpoints.EndpointFactory,I,0,0,0,10,2,0.036364,0,0
synapse,1,org.apache.synapse.config.xml.SendMediatorSerializer,C,1,0,5,0,14,0.2,79,0
synapse,1,org.apache.synapse.config.SynapseConfiguration,C,10,3,31,10,27,0.269006,512,0
synapse,1,org.apache.synapse.mediators.transform.HeaderMediator,C,4,4,14,2,20,0.333333,425,1
synapse,1,org.apache.synapse.config.xml.SequenceMediatorFactory,C,1,0,5,1,12,0.5,187,0
synapse,1,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,I,0,0,0,3,1,0,0,0
synapse,1,org.apache.synapse.config.xml.SwitchMediatorFactory,C,1,0,4,0,20,0.133333,186,0
synapse,1,org.apache.synapse.config.xml.AbstractListMediatorSerializer,C,0,0,4,7,13,0.30303,56,0
synapse,1,org.apache.synapse.core.axis2.SynapseDispatcher,C,0,0,5,0,12,0,51,0
synapse,1,org.apache.synapse.config.xml.AbstractMediatorFactory,C,0,0,2,11,7,0,34,0
synapse,1,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,C,0,0,4,1,6,0.3,27,0
synapse,1,org.apache.synapse.endpoints.dispatch.Dispatcher,I,0,0,0,4,1,0,0,0
synapse,1,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,C,0,0,2,1,11,0.2,74,0
synapse,1,org.apache.synapse.mediators.builtin.SendMediator,C,1,1,5,4,16,0.155556,165,0
synapse,1,org.apache.synapse.config.xml.PropertyMediatorFactory,C,1,0,4,0,16,0.333333,198,1
synapse,1,org.apache.synapse.core.axis2.SynapseMessageReceiver,C,0,0,3,2,23,0.333333,176,0
synapse,1,org.apache.synapse.core.axis2.Axis2Sender,C,0,0,5,1,23,0.52381,105,0
synapse,1,org.apache.synapse.mediators.base.SequenceMediator,C,5,6,16,7,19,0.219048,341,0
synapse,1,org.apache.synapse.config.xml.RegistryFactory,C,0,0,6,1,16,0.666667,153,0
synapse,1,org.apache.synapse.mediators.builtin.DropMediator,C,0,0,3,2,8,0.2,54,0
synapse,1,org.apache.synapse.config.xml.OutMediatorSerializer,C,1,0,5,0,12,0.333333,68,0
synapse,1,org.apache.synapse.MessageContext,I,0,0,0,36,2,0.071429,0,0
synapse,1,org.apache.synapse.mediators.AbstractListMediator,C,1,0,9,7,12,0.066667,100,0
synapse,1,org.apache.synapse.endpoints.AddressEndpoint,C,3,4,14,3,17,0.111111,262,1
synapse,1,org.apache.synapse.mediators.MediatorFaultHandler,C,1,1,5,4,8,0.428571,36,0
synapse,1,org.apache.synapse.core.axis2.SynapseModule,C,0,0,8,0,33,0.52381,251,0
synapse,1,org.apache.synapse.core.axis2.DynamicAxisOperation,C,0,0,3,2,2,0,15,0
synapse,1,org.apache.synapse.config.xml.MediatorSerializer,I,0,0,0,5,1,0.4,0,0
synapse,1,org.apache.synapse.statistics.impl.EndPointStatisticsStack,C,0,0,5,4,9,0.066667,281,0
synapse,1,org.apache.synapse.config.xml.ClassMediatorFactory,C,1,0,4,0,15,0.333333,88,0
synapse,1,org.apache.synapse.config.xml.SwitchMediatorSerializer,C,1,0,5,0,18,0.333333,154,0
synapse,1,org.apache.synapse.config.xml.LogMediatorSerializer,C,1,0,5,0,12,0.333333,111,0
synapse,1,org.apache.synapse.mediators.transform.FaultMediator,C,8,5,26,2,33,0.333333,545,2
synapse,1,org.apache.synapse.mediators.base.SynapseMediator,C,0,0,3,3,13,0.107143,88,0
synapse,1,org.apache.synapse.statistics.StatisticsUtils,C,0,0,6,5,10,0.19697,140,0
synapse,1,org.apache.synapse.config.Entry,C,7,7,25,10,8,0.309091,147,0
synapse,1,org.apache.synapse.config.xml.ValidateMediatorSerializer,C,1,0,5,0,17,0.4,123,0
synapse,1,org.apache.synapse.mediators.AbstractMediator,C,2,1,7,11,5,0.153846,64,0
synapse,1,org.apache.synapse.endpoints.utils.EndpointDefinition,C,6,14,29,8,1,0.178571,143,0
synapse,1,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,C,0,0,5,1,15,0.2,317,1
synapse,1,org.apache.synapse.config.xml.SequenceMediatorSerializer,C,1,0,6,1,12,0.5,208,0
synapse,1,org.apache.synapse.mediators.FilterMediator,I,0,0,0,3,2,0,0,0
synapse,1,org.apache.synapse.config.xml.LogMediatorFactory,C,1,0,4,0,11,0,94,0
synapse,1,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,C,0,0,8,1,22,0.238095,523,0
synapse,1,org.apache.synapse.config.xml.AbstractListMediatorFactory,C,0,0,3,7,12,0.072727,55,0
synapse,1,org.apache.synapse.config.Util,C,0,0,9,7,23,0.388889,242,0
synapse,1,org.apache.synapse.config.xml.RMSequenceMediatorFactory,C,1,0,4,0,17,0.333333,271,0
synapse,1,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,C,0,0,7,3,12,0.333333,132,0
synapse,1,org.apache.synapse.config.xml.XSLTMediatorSerializer,C,1,0,5,0,14,0.5,110,0
synapse,1,org.apache.synapse.mediators.MediatorProperty,C,3,3,9,5,3,0.066667,54,0
synapse,1,org.apache.synapse.registry.url.URLRegistryEntry,C,8,8,18,1,4,1,174,0
