@relation synapse-1.1

@attribute System {synapse}
@attribute Version numeric
@attribute Class {org.apache.synapse.registry.AbstractRegistry,org.apache.synapse.core.SynapseEnvironment,org.apache.synapse.config.xml.XSLTMediatorSerializer,org.apache.synapse.metrics.GlobalRequestCountHandler,org.apache.synapse.mediators.builtin.PropertyMediator,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,org.apache.synapse.config.xml.OutMediatorSerializer,org.apache.synapse.mediators.db.DBLookupMediator,org.apache.synapse.statistics.Statistics,org.apache.synapse.mediators.AbstractListMediator,org.apache.synapse.mediators.eip.EIPUtils,org.apache.synapse.ManagedLifecycle,org.apache.synapse.statistics.StatisticsStack,org.apache.synapse.config.SynapseConfigurationBuilder,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,org.apache.synapse.config.Entry,org.apache.synapse.config.xml.SequenceMediatorSerializer,org.apache.synapse.util.SimpleMap,org.apache.synapse.config.xml.MediatorPropertyFactory,org.apache.synapse.endpoints.dispatch.SimpleClientSessionDispatcher,org.apache.synapse.mediators.filters.SwitchMediator,org.apache.synapse.metrics.Counter,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,org.apache.synapse.mediators.eip.aggregator.Aggregate,org.apache.synapse.SynapseServer,org.apache.synapse.config.xml.EntryFactory,org.apache.synapse.statistics.StatisticsCollector,org.apache.synapse.config.xml.MediatorSerializer,org.apache.synapse.config.xml.endpoints.EndpointFactory,org.apache.synapse.mediators.ListMediator,org.apache.synapse.config.xml.SequenceMediatorFactory,org.apache.synapse.statistics.impl.SequenceStatisticsStack,org.apache.synapse.config.xml.CacheMediatorFactory,org.apache.synapse.config.xml.ValidateMediatorSerializer,org.apache.synapse.util.concurrent.SynapseThreadPool,org.apache.synapse.core.axis2.ProxyService,org.apache.synapse.config.xml.FaultMediatorSerializer,org.apache.synapse.config.xml.AbstractMediatorFactory,org.apache.synapse.mediators.eip.Target,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,org.apache.synapse.config.xml.XMLConfigConstants,org.apache.synapse.util.UUIDGenerator,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,org.apache.synapse.core.axis2.SynapseMessageReceiver,org.apache.synapse.core.axis2.SynapseStartUpServlet,org.apache.synapse.config.xml.OutMediatorFactory,org.apache.synapse.core.axis2.AnonymousServiceFactory,org.apache.synapse.MessageContext,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,org.apache.synapse.core.axis2.SynapseAxisServlet,org.apache.synapse.config.xml.ValidateMediatorFactory,org.apache.synapse.startup.quartz.SimpleQuartzJob,org.apache.synapse.core.axis2.Axis2MessageContext,org.apache.synapse.startup.quartz.SimpleQuartz,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,org.apache.synapse.config.xml.OMElementUtils,org.apache.synapse.config.xml.IterateMediatorFactory,org.apache.synapse.mediators.FilterMediator,org.apache.synapse.statistics.impl.EndPointStatisticsStack,org.apache.synapse.config.xml.ProxyServiceSerializer,org.apache.synapse.FaultHandler,org.apache.synapse.mediators.builtin.SendMediator,org.apache.synapse.mediators.MediatorFaultHandler,org.apache.synapse.config.xml.FaultMediatorFactory,org.apache.synapse.mediators.eip.EIPConstants,org.apache.synapse.mediators.filters.OutMediator,org.apache.synapse.startup.tasks.MessageInjector,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,org.apache.synapse.config.SynapseConfigUtils,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,org.apache.synapse.config.SynapseConfiguration,org.apache.synapse.config.xml.InMediatorFactory,org.apache.synapse.config.xml.AbstractListMediatorFactory,org.apache.synapse.mediators.db.DBReportMediator,org.apache.synapse.config.xml.XSLTMediatorFactory,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,org.apache.synapse.config.xml.RegistrySerializer,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,org.apache.synapse.config.xml.endpoints.EndpointSerializer,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,org.apache.synapse.config.xml.endpoints.EndpointAbstractSerializer,org.apache.synapse.config.xml.SynapseMediatorSerializer,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,org.apache.synapse.mediators.base.SequenceMediator,org.apache.synapse.config.xml.SwitchMediatorSerializer,org.apache.synapse.config.xml.LogMediatorFactory,org.apache.synapse.mediators.transform.FaultMediator,org.apache.synapse.core.axis2.DynamicAxisOperation,org.apache.synapse.config.xml.TargetSerializer,org.apache.synapse.config.xml.TargetFactory,org.apache.synapse.SynapseException,org.apache.synapse.metrics.MetricsAggregatorModule,org.apache.synapse.startup.quartz.SimpleQuartzSerializer,org.apache.synapse.core.axis2.SynapseMustUnderstandHandler,org.apache.synapse.config.xml.MediatorSerializerFinder,org.apache.synapse.mediators.builtin.DropMediator,org.apache.synapse.config.xml.SendMediatorSerializer,org.apache.synapse.mediators.base.SynapseMediator,org.apache.synapse.config.xml.AnonymousListMediator,org.apache.synapse.config.xml.POJOCommandMediatorSerializer,org.apache.synapse.config.xml.HeaderMediatorFactory,org.apache.synapse.config.xml.CacheMediatorSerializer,org.apache.synapse.core.axis2.SynapseInitializationModule,org.apache.synapse.config.xml.MediatorFactory,org.apache.synapse.mediators.GetPropertyFunction,org.apache.synapse.util.TextFileDataSource,org.apache.synapse.mediators.db.Statement,org.apache.synapse.util.concurrent.SynapseThreadFactory,org.apache.synapse.config.xml.AggregateMediatorSerializer,org.apache.synapse.registry.RegistryEntry,org.apache.synapse.config.xml.HeaderMediatorSerializer,org.apache.synapse.config.xml.PropertyMediatorSerializer,org.apache.synapse.mediators.transform.XSLTMediator,org.apache.synapse.registry.url.SimpleURLRegistry,org.apache.synapse.config.xml.ClassMediatorSerializer,org.apache.synapse.mediators.builtin.RMSequenceMediator,org.apache.synapse.config.xml.PropertyHelper,org.apache.synapse.mediators.ext.POJOCommandMediator,org.apache.synapse.endpoints.AddressEndpoint,org.apache.synapse.registry.Registry,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,org.apache.synapse.config.xml.ConfigurationFactory,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,org.apache.synapse.mediators.builtin.ValidateMediator,org.apache.synapse.config.xml.XMLConfigurationSerializer,org.apache.synapse.mediators.filters.FilterMediator,org.apache.synapse.startup.AbstractStartup,org.apache.synapse.endpoints.FailoverEndpoint,org.apache.synapse.config.xml.StartupFactory,org.apache.synapse.config.xml.CloneMediatorSerializer,org.apache.synapse.config.xml.FilterMediatorSerializer,org.apache.synapse.config.xml.RegistryFactory,org.apache.synapse.config.xml.DBLookupMediatorFactory,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointFactory,org.apache.synapse.config.xml.POJOCommandMediatorFactory,org.apache.synapse.config.xml.RMSequenceMediatorFactory,org.apache.synapse.config.xml.CloneMediatorFactory,org.apache.synapse.endpoints.algorithms.RoundRobin,org.apache.synapse.core.axis2.SynapseDispatcher,org.apache.synapse.endpoints.WSDLEndpoint,org.apache.synapse.config.xml.EntrySerializer,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,org.apache.synapse.config.xml.endpoints.WSDLEndpointSerializer,org.apache.synapse.endpoints.LoadbalanceEndpoint,org.apache.synapse.config.xml.endpoints.IndirectEndpointSerializer,org.apache.synapse.mediators.AbstractMediator,org.apache.synapse.config.xml.AnonymousListMediatorFactory,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,org.apache.synapse.config.xml.ClassMediatorFactory,org.apache.synapse.config.xml.DBReportMediatorFactory,org.apache.synapse.config.xml.InMediatorSerializer,org.apache.synapse.config.xml.IterateMediatorSerializer,org.apache.synapse.endpoints.SALoadbalanceEndpoint,org.apache.synapse.config.xml.PropertyMediatorFactory,org.apache.synapse.config.xml.StartupSerializer,org.apache.synapse.config.xml.FilterMediatorFactory,org.apache.synapse.mediators.filters.InMediator,org.apache.synapse.mediators.MediatorWorker,org.apache.synapse.core.axis2.SOAPUtils,org.apache.synapse.config.xml.AnonymousListMediatorSerializer,org.apache.synapse.config.xml.endpoints.utils.WSDL11EndpointBuilder,org.apache.synapse.core.axis2.MessageContextCreatorForAxis2,org.apache.synapse.config.xml.DropMediatorFactory,org.apache.synapse.Command,org.apache.synapse.config.xml.SendMediatorFactory,org.apache.synapse.endpoints.dispatch.Dispatcher,org.apache.synapse.endpoints.IndirectEndpoint,org.apache.synapse.mediators.builtin.LogMediator,org.apache.synapse.config.xml.DBReportMediatorSerializer,org.apache.synapse.SynapseConstants,org.apache.synapse.Mediator,org.apache.synapse.statistics.StatisticsUtils,org.apache.synapse.config.xml.SynapseXMLConfigurationSerializer,org.apache.synapse.core.axis2.MediatorDeployer,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointSerializer,org.apache.synapse.mediators.eip.aggregator.AggregateMediator,org.apache.synapse.core.axis2.TimeoutHandler,org.apache.synapse.util.FixedByteArrayOutputStream,org.apache.synapse.endpoints.Endpoint,org.apache.synapse.config.xml.StartupFinder,org.apache.synapse.startup.quartz.SimpleQuartzFactory,org.apache.synapse.ServerManager,org.apache.synapse.mediators.ext.ClassMediator,org.apache.synapse.core.axis2.AsyncCallback,org.apache.synapse.config.xml.endpoints.EndpointAbstractFactory,org.apache.synapse.util.PayloadHelper,org.apache.synapse.config.xml.ProxyServiceFactory,org.apache.synapse.endpoints.utils.EndpointDefinition,org.apache.synapse.core.axis2.Axis2Sender,org.apache.synapse.registry.url.URLRegistryEntry,org.apache.synapse.mediators.eip.splitter.IterateMediator,org.apache.synapse.config.xml.AbstractDBMediatorFactory,org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher,org.apache.synapse.config.xml.AbstractMediatorSerializer,org.apache.synapse.startup.Task,org.apache.synapse.Startup,org.apache.synapse.config.xml.MediatorFactoryFinder,org.apache.synapse.config.xml.AbstractListMediatorSerializer,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,org.apache.synapse.config.XMLToObjectMapper,org.apache.synapse.statistics.StatisticsHolder,org.apache.synapse.config.xml.ConfigurationSerializer,org.apache.synapse.mediators.db.AbstractDBMediator,org.apache.synapse.mediators.transform.HeaderMediator,org.apache.synapse.util.SimpleMapImpl,org.apache.synapse.config.xml.DropMediatorSerializer,org.apache.synapse.config.xml.DBLookupMediatorSerializer,org.apache.synapse.config.xml.SynapseMediatorFactory,org.apache.synapse.config.xml.LogMediatorSerializer,org.apache.synapse.metrics.MetricsConstants,org.apache.synapse.config.xml.XMLConfigurationBuilder,org.apache.synapse.config.xml.ConfigurationFactoryAndSerializerFinder,org.apache.synapse.mediators.builtin.CacheMediator,org.apache.synapse.core.axis2.SynapseCallbackReceiver,org.apache.synapse.config.xml.SwitchMediatorFactory,org.apache.synapse.util.MessageHelper,org.apache.synapse.config.xml.AggregateMediatorFactory,org.apache.synapse.config.xml.endpoints.utils.LoadbalanceAlgorithmFactory,org.apache.synapse.mediators.MediatorProperty,org.apache.synapse.mediators.eip.splitter.CloneMediator,org.apache.synapse.config.xml.SwitchCase}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
synapse,1.1,org.apache.synapse.registry.AbstractRegistry,C,2,0,7,1,14,0.095238,221,0
synapse,1.1,org.apache.synapse.core.SynapseEnvironment,I,0,0,0,12,1,0.030303,0,1
synapse,1.1,org.apache.synapse.config.xml.XSLTMediatorSerializer,C,1,0,3,1,12,0.3,139,0
synapse,1.1,org.apache.synapse.metrics.GlobalRequestCountHandler,C,0,0,2,0,10,0,18,0
synapse,1.1,org.apache.synapse.mediators.builtin.PropertyMediator,C,5,5,12,2,11,0.2,371,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,C,0,0,2,1,11,0.2,74,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,C,0,0,8,1,19,0.238095,542,2
synapse,1.1,org.apache.synapse.config.xml.OutMediatorSerializer,C,1,0,3,1,7,0.333333,43,0
synapse,1.1,org.apache.synapse.mediators.db.DBLookupMediator,C,0,0,2,3,14,0.2,154,0
synapse,1.1,org.apache.synapse.statistics.Statistics,C,5,0,7,1,1,0,91,0
synapse,1.1,org.apache.synapse.mediators.AbstractListMediator,C,1,0,10,7,10,0.151515,162,0
synapse,1.1,org.apache.synapse.mediators.eip.EIPUtils,C,0,0,5,2,10,0,120,0
synapse,1.1,org.apache.synapse.ManagedLifecycle,I,0,0,0,8,1,0.071429,0,0
synapse,1.1,org.apache.synapse.statistics.StatisticsStack,I,0,0,0,6,1,0.2,0,0
synapse,1.1,org.apache.synapse.config.SynapseConfigurationBuilder,C,0,0,6,1,18,0.190476,138,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,C,0,0,1,0,1,0,3,0
synapse,1.1,org.apache.synapse.config.Entry,C,7,7,26,10,5,0.327273,155,0
synapse,1.1,org.apache.synapse.config.xml.SequenceMediatorSerializer,C,1,0,4,4,7,0.285714,184,0
synapse,1.1,org.apache.synapse.util.SimpleMap,I,0,0,0,1,2,0,0,0
synapse,1.1,org.apache.synapse.config.xml.MediatorPropertyFactory,C,0,0,3,2,16,0.2,162,0
synapse,1.1,org.apache.synapse.endpoints.dispatch.SimpleClientSessionDispatcher,C,0,0,5,2,11,0.2,118,0
synapse,1.1,org.apache.synapse.mediators.filters.SwitchMediator,C,3,2,8,2,9,0.266667,208,0
synapse,1.1,org.apache.synapse.metrics.Counter,C,1,0,3,2,1,0,16,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,C,0,0,8,1,13,0.133333,115,1
synapse,1.1,org.apache.synapse.mediators.eip.aggregator.Aggregate,C,6,6,16,1,8,1,175,2
synapse,1.1,org.apache.synapse.SynapseServer,C,0,0,5,1,9,1,48,0
synapse,1.1,org.apache.synapse.config.xml.EntryFactory,C,0,0,5,1,15,0.6,116,0
synapse,1.1,org.apache.synapse.statistics.StatisticsCollector,C,3,0,10,4,5,0.3,144,0
synapse,1.1,org.apache.synapse.config.xml.MediatorSerializer,I,0,0,0,6,1,0.4,0,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointFactory,I,0,0,0,11,2,0.045455,0,1
synapse,1.1,org.apache.synapse.mediators.ListMediator,I,0,0,0,3,2,0.166667,0,0
synapse,1.1,org.apache.synapse.config.xml.SequenceMediatorFactory,C,1,0,5,5,8,0.285714,153,0
synapse,1.1,org.apache.synapse.statistics.impl.SequenceStatisticsStack,C,0,0,6,4,9,0.333333,147,0
synapse,1.1,org.apache.synapse.config.xml.CacheMediatorFactory,C,1,0,5,1,17,0.166667,301,0
synapse,1.1,org.apache.synapse.config.xml.ValidateMediatorSerializer,C,1,0,3,1,13,0.333333,148,0
synapse,1.1,org.apache.synapse.util.concurrent.SynapseThreadPool,C,0,0,3,1,5,0,45,0
synapse,1.1,org.apache.synapse.core.axis2.ProxyService,C,18,19,53,8,45,0.422222,1085,4
synapse,1.1,org.apache.synapse.config.xml.FaultMediatorSerializer,C,1,0,3,1,10,0.166667,207,1
synapse,1.1,org.apache.synapse.config.xml.AbstractMediatorFactory,C,0,0,5,17,10,0.052632,124,0
synapse,1.1,org.apache.synapse.mediators.eip.Target,C,6,6,14,5,7,0.155556,139,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,C,0,0,8,2,16,0.285714,142,1
synapse,1.1,org.apache.synapse.config.xml.XMLConfigConstants,C,0,0,2,6,2,0.2,52,0
synapse,1.1,org.apache.synapse.util.UUIDGenerator,C,0,0,4,4,15,0.166667,171,0
synapse,1.1,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,C,0,0,2,2,16,0.25,375,0
synapse,1.1,org.apache.synapse.core.axis2.SynapseMessageReceiver,C,0,0,5,2,23,0.363636,235,0
synapse,1.1,org.apache.synapse.core.axis2.SynapseStartUpServlet,C,0,0,8,0,13,0,199,0
synapse,1.1,org.apache.synapse.config.xml.OutMediatorFactory,C,1,0,4,1,3,0.333333,25,0
synapse,1.1,org.apache.synapse.core.axis2.AnonymousServiceFactory,C,0,0,6,1,14,0.333333,229,1
synapse,1.1,org.apache.synapse.MessageContext,I,0,0,0,51,2,0.072157,0,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,C,0,0,8,1,14,0.2,456,3
synapse,1.1,org.apache.synapse.core.axis2.SynapseAxisServlet,C,0,0,3,0,8,0,32,2
synapse,1.1,org.apache.synapse.config.xml.ValidateMediatorFactory,C,1,0,4,1,14,0.166667,219,0
synapse,1.1,org.apache.synapse.startup.quartz.SimpleQuartzJob,C,0,0,5,1,20,0,123,0
synapse,1.1,org.apache.synapse.core.axis2.Axis2MessageContext,C,19,22,61,26,34,0.138258,868,0
synapse,1.1,org.apache.synapse.startup.quartz.SimpleQuartz,C,6,4,15,2,20,0.3,208,0
synapse,1.1,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,C,2,2,12,1,29,0.285714,376,3
synapse,1.1,org.apache.synapse.config.xml.OMElementUtils,C,0,0,4,13,12,0.098901,107,0
synapse,1.1,org.apache.synapse.config.xml.IterateMediatorFactory,C,1,0,4,1,12,0,160,0
synapse,1.1,org.apache.synapse.mediators.FilterMediator,I,0,0,0,3,2,0,0,0
synapse,1.1,org.apache.synapse.statistics.impl.EndPointStatisticsStack,C,0,0,5,4,9,0.133333,281,0
synapse,1.1,org.apache.synapse.config.xml.ProxyServiceSerializer,C,0,0,4,1,21,0.285714,495,2
synapse,1.1,org.apache.synapse.FaultHandler,C,0,0,6,13,13,0.266667,202,0
synapse,1.1,org.apache.synapse.mediators.builtin.SendMediator,C,1,1,4,2,13,0.214286,182,0
synapse,1.1,org.apache.synapse.mediators.MediatorFaultHandler,C,1,1,6,4,10,0.678571,97,0
synapse,1.1,org.apache.synapse.config.xml.FaultMediatorFactory,C,1,0,4,1,14,0.4,373,1
synapse,1.1,org.apache.synapse.mediators.eip.EIPConstants,C,0,0,1,0,1,0,3,0
synapse,1.1,org.apache.synapse.mediators.filters.OutMediator,C,0,0,3,2,5,0.1,67,0
synapse,1.1,org.apache.synapse.startup.tasks.MessageInjector,C,0,3,7,0,11,0.1,102,0
synapse,1.1,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,C,1,0,3,1,9,0.166667,122,0
synapse,1.1,org.apache.synapse.config.SynapseConfigUtils,C,0,0,10,8,23,0.333333,526,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,C,0,0,7,1,8,0.333333,60,1
synapse,1.1,org.apache.synapse.config.SynapseConfiguration,C,15,5,47,15,30,0.181538,876,1
synapse,1.1,org.apache.synapse.config.xml.InMediatorFactory,C,1,0,4,1,3,0.333333,25,0
synapse,1.1,org.apache.synapse.config.xml.AbstractListMediatorFactory,C,0,0,2,7,8,0.181818,44,0
synapse,1.1,org.apache.synapse.mediators.db.DBReportMediator,C,0,0,2,2,5,0.166667,75,0
synapse,1.1,org.apache.synapse.config.xml.XSLTMediatorFactory,C,1,0,4,1,12,0.1,143,0
synapse,1.1,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,C,0,0,5,2,8,0.3,122,0
synapse,1.1,org.apache.synapse.config.xml.RegistrySerializer,C,0,0,4,1,12,0.333333,93,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,C,0,0,4,1,19,0.177778,168,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointSerializer,I,0,0,0,10,1,0.022222,0,1
synapse,1.1,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,C,2,0,15,1,34,0.164502,429,2
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointAbstractSerializer,C,0,0,2,7,16,0.147059,61,1
synapse,1.1,org.apache.synapse.config.xml.SynapseMediatorSerializer,C,1,0,3,1,7,0.333333,43,0
synapse,1.1,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,C,0,0,4,1,6,0.3,27,1
synapse,1.1,org.apache.synapse.mediators.base.SequenceMediator,C,5,6,14,14,14,0.163158,369,0
synapse,1.1,org.apache.synapse.config.xml.SwitchMediatorSerializer,C,1,0,3,1,13,0.2,134,0
synapse,1.1,org.apache.synapse.config.xml.LogMediatorFactory,C,1,0,4,1,7,0,86,0
synapse,1.1,org.apache.synapse.mediators.transform.FaultMediator,C,8,5,24,2,29,0.333333,560,2
synapse,1.1,org.apache.synapse.core.axis2.DynamicAxisOperation,C,0,0,3,2,2,0,15,2
synapse,1.1,org.apache.synapse.config.xml.TargetSerializer,C,0,0,3,2,8,0.066667,87,1
synapse,1.1,org.apache.synapse.config.xml.TargetFactory,C,0,0,4,2,11,0.095238,141,1
synapse,1.1,org.apache.synapse.SynapseException,C,0,0,3,82,1,0.04878,13,0
synapse,1.1,org.apache.synapse.metrics.MetricsAggregatorModule,C,0,0,6,0,8,0,29,0
synapse,1.1,org.apache.synapse.startup.quartz.SimpleQuartzSerializer,C,0,0,3,1,14,0.5,141,0
synapse,1.1,org.apache.synapse.core.axis2.SynapseMustUnderstandHandler,C,0,0,2,0,10,0,44,0
synapse,1.1,org.apache.synapse.config.xml.MediatorSerializerFinder,C,1,0,7,3,38,0.031746,254,0
synapse,1.1,org.apache.synapse.mediators.builtin.DropMediator,C,0,0,2,5,5,0.071429,48,0
synapse,1.1,org.apache.synapse.config.xml.SendMediatorSerializer,C,1,0,3,1,9,0.066667,53,1
synapse,1.1,org.apache.synapse.mediators.base.SynapseMediator,C,0,0,2,2,10,0.190476,112,0
synapse,1.1,org.apache.synapse.config.xml.AnonymousListMediator,C,0,0,2,3,1,0,7,0
synapse,1.1,org.apache.synapse.config.xml.POJOCommandMediatorSerializer,C,1,0,3,1,13,0.166667,149,1
synapse,1.1,org.apache.synapse.config.xml.HeaderMediatorFactory,C,1,0,4,1,14,0.3,185,0
synapse,1.1,org.apache.synapse.config.xml.CacheMediatorSerializer,C,1,0,3,1,12,0.466667,189,0
synapse,1.1,org.apache.synapse.core.axis2.SynapseInitializationModule,C,0,0,8,0,32,0.392857,271,1
synapse,1.1,org.apache.synapse.config.xml.MediatorFactory,I,0,0,0,3,1,0.333333,0,0
synapse,1.1,org.apache.synapse.mediators.GetPropertyFunction,C,1,1,7,1,16,1,348,0
synapse,1.1,org.apache.synapse.util.TextFileDataSource,C,2,0,8,2,21,0.333333,127,5
