@relation synapse-1.2

@attribute System {synapse}
@attribute Version numeric
@attribute Class {org.apache.synapse.endpoints.LoadbalanceEndpoint,org.apache.synapse.util.concurrent.SynapseThreadPool,org.apache.synapse.mediators.AbstractMediator,org.apache.synapse.config.xml.AnonymousListMediatorFactory,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,org.apache.synapse.config.xml.ClassMediatorFactory,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,org.apache.synapse.util.WrappedTextNodeStreamReader,org.apache.synapse.endpoints.dispatch.DispatcherContext,org.apache.synapse.util.UUIDGenerator,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,org.apache.synapse.endpoints.SALoadbalanceEndpoint,org.apache.synapse.config.xml.HeaderMediatorSerializer,org.apache.synapse.core.SynapseEnvironment,org.apache.synapse.mediators.transform.XSLTMediator,org.apache.synapse.registry.url.SimpleURLRegistry,org.apache.synapse.config.xml.ClassMediatorSerializer,org.apache.synapse.mediators.builtin.RMSequenceMediator,org.apache.synapse.config.xml.CalloutMediatorSerializer,org.apache.synapse.config.xml.OutMediatorSerializer,org.apache.synapse.mediators.db.DBLookupMediator,org.apache.synapse.endpoints.AddressEndpoint,org.apache.synapse.registry.Registry,org.apache.synapse.mediators.AbstractListMediator,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,org.apache.synapse.config.xml.ConfigurationFactory,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,org.apache.synapse.mediators.builtin.ValidateMediator,org.apache.synapse.config.xml.XMLConfigurationSerializer,org.apache.synapse.endpoints.EndpointContext,org.apache.synapse.config.Entry,org.apache.synapse.config.xml.ResourceMapFactory,org.apache.synapse.config.xml.ValidateMediatorSerializer,org.apache.synapse.util.PayloadHelper,org.apache.synapse.config.xml.ProxyServiceFactory,org.apache.synapse.endpoints.utils.EndpointDefinition,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,org.apache.synapse.util.xpath.SynapseXPath,org.apache.synapse.config.xml.SynapseMediatorSerializer,org.apache.synapse.core.axis2.ResourceMap,org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher,org.apache.synapse.mediators.base.SequenceMediator,org.apache.synapse.startup.Task,org.apache.synapse.config.xml.LogMediatorFactory,org.apache.synapse.mediators.transform.FaultMediator,org.apache.synapse.config.xml.AnnotatedCommandMediatorFactory,org.apache.synapse.core.axis2.DynamicAxisOperation,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,org.apache.synapse.config.XMLToObjectMapper,org.apache.synapse.SynapseException,org.apache.synapse.config.xml.endpoints.DefaultEndpointSerializer,org.apache.synapse.metrics.MetricsAggregatorModule,org.apache.synapse.startup.quartz.SimpleQuartzSerializer,org.apache.synapse.core.axis2.SynapseMessageReceiver,org.apache.synapse.core.axis2.SynapseStartUpServlet,org.apache.synapse.mediators.annotations.ReadAndUpdate,org.apache.synapse.config.xml.FilterMediatorFactory,org.apache.synapse.core.axis2.AnonymousServiceFactory,org.apache.synapse.mediators.MediatorWorker,org.apache.synapse.core.axis2.SOAPUtils,org.apache.synapse.mediators.annotations.Execute,org.apache.synapse.config.xml.ValidateMediatorFactory,org.apache.synapse.core.axis2.CustomURIResolver,org.apache.synapse.core.axis2.MessageContextCreatorForAxis2,org.apache.synapse.endpoints.FailoverEndpoint,org.apache.synapse.config.xml.StartupFactory,org.apache.synapse.util.xpath.SynapseXPathFunctionContext,org.apache.synapse.config.xml.CloneMediatorSerializer,org.apache.synapse.config.xml.FilterMediatorSerializer,org.apache.synapse.mediators.filters.SwitchMediator,org.apache.synapse.metrics.Counter,org.apache.synapse.config.xml.DBLookupMediatorFactory,org.apache.synapse.config.xml.SynapseXPathFactory,org.apache.synapse.mediators.eip.aggregator.Aggregate,org.apache.synapse.SynapseServer,org.apache.synapse.config.xml.EntryFactory,org.apache.synapse.statistics.StatisticsCollector,org.apache.synapse.config.xml.MediatorSerializer,org.apache.synapse.core.axis2.SynapseDispatcher,org.apache.synapse.mediators.ListMediator,org.apache.synapse.config.xml.SequenceMediatorFactory,org.apache.synapse.statistics.impl.SequenceStatisticsStack,org.apache.synapse.config.xml.CacheMediatorFactory,org.apache.synapse.startup.quartz.SimpleQuartzFactory,org.apache.synapse.ServerManager,org.apache.synapse.mediators.ext.ClassMediator,org.apache.synapse.core.axis2.AsyncCallback,org.apache.synapse.util.ClasspathURLStreamHandler,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,org.apache.synapse.endpoints.DefaultEndpoint,org.apache.synapse.util.SimpleMapImpl,org.apache.synapse.config.xml.DropMediatorSerializer,org.apache.synapse.config.xml.DBLookupMediatorSerializer,org.apache.synapse.config.xml.SynapseMediatorFactory,org.apache.synapse.config.xml.CalloutMediatorFactory,org.apache.synapse.config.xml.AnonymousListMediator,org.apache.synapse.config.xml.POJOCommandMediatorSerializer,org.apache.synapse.config.xml.HeaderMediatorFactory,org.apache.synapse.config.xml.CacheMediatorSerializer,org.apache.synapse.core.axis2.SynapseInitializationModule,org.apache.synapse.config.xml.MediatorFactory,org.apache.synapse.mediators.GetPropertyFunction,org.apache.synapse.util.TextFileDataSource,org.apache.synapse.mediators.db.Statement,org.apache.synapse.mediators.ext.AnnotatedCommandMediator,org.apache.synapse.mediators.MediatorProperty,org.apache.synapse.mediators.eip.splitter.CloneMediator,org.apache.synapse.registry.RegistryEntry,org.apache.synapse.config.xml.DropMediatorFactory,org.apache.synapse.startup.quartz.SimpleQuartz,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,org.apache.synapse.config.xml.OMElementUtils,org.apache.synapse.config.xml.IterateMediatorFactory,org.apache.synapse.mediators.FilterMediator,org.apache.synapse.config.xml.DBReportMediatorSerializer,org.apache.synapse.config.xml.ProxyServiceSerializer,org.apache.synapse.FaultHandler,org.apache.synapse.mediators.builtin.SendMediator,org.apache.synapse.mediators.MediatorFaultHandler,org.apache.synapse.config.xml.SynapseXMLConfigurationSerializer,org.apache.synapse.core.axis2.MediatorDeployer,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointSerializer,org.apache.synapse.mediators.eip.aggregator.AggregateMediator,org.apache.synapse.core.axis2.TimeoutHandler,org.apache.synapse.util.FixedByteArrayOutputStream,org.apache.synapse.endpoints.Endpoint,org.apache.synapse.config.xml.ResourceMapSerializer,org.apache.synapse.config.xml.StartupFinder,org.apache.synapse.config.xml.endpoints.IndirectEndpointSerializer,org.apache.synapse.core.axis2.ProxyService,org.apache.synapse.config.xml.FaultMediatorSerializer,org.apache.synapse.config.xml.AbstractMediatorFactory,org.apache.synapse.mediators.eip.Target,org.apache.synapse.registry.RegistryEntryImpl,org.apache.synapse.config.xml.DBReportMediatorFactory,org.apache.synapse.config.xml.XMLConfigConstants,org.apache.synapse.config.xml.InMediatorSerializer,org.apache.synapse.util.xpath.SynapseXPathVariableContext,org.apache.synapse.config.xml.IterateMediatorSerializer,org.apache.synapse.registry.AbstractRegistry,org.apache.synapse.config.xml.PropertyMediatorSerializer,org.apache.synapse.config.xml.XSLTMediatorSerializer,org.apache.synapse.metrics.GlobalRequestCountHandler,org.apache.synapse.mediators.builtin.PropertyMediator,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,org.apache.synapse.config.xml.PropertyHelper,org.apache.synapse.mediators.ext.POJOCommandMediator,org.apache.synapse.util.AXIOMUtils,org.apache.synapse.statistics.Statistics,org.apache.synapse.endpoints.algorithms.AlgorithmContext,org.apache.synapse.util.TemporaryData,org.apache.synapse.mediators.eip.EIPUtils,org.apache.synapse.ManagedLifecycle,org.apache.synapse.statistics.StatisticsStack,org.apache.synapse.config.SynapseConfigurationBuilder,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,org.apache.synapse.mediators.filters.FilterMediator,org.apache.synapse.startup.AbstractStartup,org.apache.synapse.mediators.annotations.ReadFromMessage,org.apache.synapse.config.xml.RegistrySerializer,org.apache.synapse.core.axis2.CustomWSDLLocator,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,org.apache.synapse.config.xml.endpoints.EndpointSerializer,org.apache.synapse.core.axis2.Axis2Sender,org.apache.synapse.mediators.eip.splitter.IterateMediator,org.apache.synapse.config.xml.AbstractDBMediatorFactory,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,org.apache.synapse.config.xml.AbstractMediatorSerializer,org.apache.synapse.config.xml.SwitchMediatorSerializer,org.apache.synapse.mediators.builtin.CalloutMediator,org.apache.synapse.Startup,org.apache.synapse.config.xml.MediatorFactoryFinder,org.apache.synapse.config.xml.AbstractListMediatorSerializer,org.apache.synapse.config.xml.TargetSerializer,org.apache.synapse.config.xml.TargetFactory,org.apache.synapse.mediators.annotations.Namespaces,org.apache.synapse.statistics.StatisticsHolder,org.apache.synapse.util.PolicyInfo,org.apache.synapse.config.xml.ConfigurationSerializer,org.apache.synapse.mediators.db.AbstractDBMediator,org.apache.synapse.config.xml.PropertyMediatorFactory,org.apache.synapse.config.xml.StartupSerializer,org.apache.synapse.config.xml.OutMediatorFactory,org.apache.synapse.mediators.filters.InMediator,org.apache.synapse.MessageContext,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,org.apache.synapse.core.axis2.SynapseAxisServlet,org.apache.synapse.config.xml.AnonymousListMediatorSerializer,org.apache.synapse.config.xml.endpoints.utils.WSDL11EndpointBuilder,org.apache.synapse.startup.quartz.SimpleQuartzJob,org.apache.synapse.config.xml.SequenceMediatorSerializer,org.apache.synapse.util.SimpleMap,org.apache.synapse.config.xml.MediatorPropertyFactory,org.apache.synapse.util.RMIRegistryController,org.apache.synapse.endpoints.dispatch.SimpleClientSessionDispatcher,org.apache.synapse.mediators.annotations.UpdateMessage,org.apache.synapse.config.xml.RegistryFactory,org.apache.synapse.config.xml.endpoints.DefaultEndpointFactory,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointFactory,org.apache.synapse.config.xml.POJOCommandMediatorFactory,org.apache.synapse.config.xml.RMSequenceMediatorFactory,org.apache.synapse.config.xml.CloneMediatorFactory,org.apache.synapse.endpoints.algorithms.RoundRobin,org.apache.synapse.config.xml.endpoints.EndpointFactory,org.apache.synapse.endpoints.WSDLEndpoint,org.apache.synapse.config.xml.EntrySerializer,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,org.apache.synapse.config.xml.endpoints.WSDLEndpointSerializer,org.apache.synapse.config.SynapseConfiguration,org.apache.synapse.config.xml.InMediatorFactory,org.apache.synapse.config.xml.AbstractListMediatorFactory,org.apache.synapse.mediators.db.DBReportMediator,org.apache.synapse.util.xpath.SynapseXPathConstants,org.apache.synapse.config.xml.XSLTMediatorFactory,org.apache.synapse.mediators.transform.HeaderMediator,org.apache.synapse.core.axis2.SynapseMustUnderstandHandler,org.apache.synapse.config.xml.MediatorSerializerFinder,org.apache.synapse.mediators.builtin.DropMediator,org.apache.synapse.config.xml.SendMediatorSerializer,org.apache.synapse.mediators.base.SynapseMediator,org.apache.synapse.config.xml.LogMediatorSerializer,org.apache.synapse.metrics.MetricsConstants,org.apache.synapse.config.xml.XMLConfigurationBuilder,org.apache.synapse.config.xml.ConfigurationFactoryAndSerializerFinder,org.apache.synapse.mediators.builtin.CacheMediator,org.apache.synapse.core.axis2.SynapseCallbackReceiver,org.apache.synapse.config.xml.SwitchMediatorFactory,org.apache.synapse.util.MessageHelper,org.apache.synapse.config.xml.AggregateMediatorFactory,org.apache.synapse.config.xml.endpoints.utils.LoadbalanceAlgorithmFactory,org.apache.synapse.util.concurrent.SynapseThreadFactory,org.apache.synapse.config.xml.AggregateMediatorSerializer,org.apache.synapse.util.POXUtils,org.apache.synapse.config.xml.SwitchCase,org.apache.synapse.config.xml.SynapseXPathSerializer,org.apache.synapse.core.axis2.Axis2MessageContext,org.apache.synapse.Command,org.apache.synapse.config.xml.SendMediatorFactory,org.apache.synapse.endpoints.dispatch.Dispatcher,org.apache.synapse.endpoints.IndirectEndpoint,org.apache.synapse.mediators.builtin.LogMediator,org.apache.synapse.statistics.impl.EndPointStatisticsStack,org.apache.synapse.SynapseConstants,org.apache.synapse.Mediator,org.apache.synapse.statistics.StatisticsUtils,org.apache.synapse.util.DataSourceRegistrar,org.apache.synapse.config.xml.FaultMediatorFactory,org.apache.synapse.mediators.eip.EIPConstants,org.apache.synapse.mediators.filters.OutMediator,org.apache.synapse.startup.tasks.MessageInjector,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,org.apache.synapse.config.SynapseConfigUtils,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,org.apache.synapse.util.SynapseBinaryDataSource}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
synapse,1.2,org.apache.synapse.endpoints.LoadbalanceEndpoint,C,3,5,15,3,20,0.111111,248,1
synapse,1.2,org.apache.synapse.util.concurrent.SynapseThreadPool,C,0,0,3,1,5,0,45,0
synapse,1.2,org.apache.synapse.mediators.AbstractMediator,C,2,2,15,18,8,0.128571,211,4
synapse,1.2,org.apache.synapse.config.xml.AnonymousListMediatorFactory,C,0,0,2,2,2,0.166667,12,0
synapse,1.2,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,I,0,0,0,3,1,0,0,1
synapse,1.2,org.apache.synapse.config.xml.ClassMediatorFactory,C,1,0,4,1,15,0.4,136,0
synapse,1.2,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,C,0,0,4,1,7,0,73,4
synapse,1.2,org.apache.synapse.util.WrappedTextNodeStreamReader,C,17,0,51,1,18,0,422,0
synapse,1.2,org.apache.synapse.endpoints.dispatch.DispatcherContext,C,1,3,14,4,17,0.285714,522,0
synapse,1.2,org.apache.synapse.util.UUIDGenerator,C,0,0,4,4,15,0.166667,171,0
synapse,1.2,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,C,0,0,2,2,16,0.25,371,0
synapse,1.2,org.apache.synapse.endpoints.SALoadbalanceEndpoint,C,4,5,17,4,26,0.153846,642,0
synapse,1.2,org.apache.synapse.config.xml.HeaderMediatorSerializer,C,1,0,3,1,10,0.2,136,0
synapse,1.2,org.apache.synapse.core.SynapseEnvironment,I,0,0,0,16,1,0.041667,0,0
synapse,1.2,org.apache.synapse.mediators.transform.XSLTMediator,C,5,4,17,3,50,0.12381,801,6
synapse,1.2,org.apache.synapse.registry.url.SimpleURLRegistry,C,0,0,15,0,30,0.266667,591,0
synapse,1.2,org.apache.synapse.config.xml.ClassMediatorSerializer,C,1,0,3,1,13,0.333333,111,0
synapse,1.2,org.apache.synapse.mediators.builtin.RMSequenceMediator,C,5,4,17,2,20,0.142857,419,2
synapse,1.2,org.apache.synapse.config.xml.CalloutMediatorSerializer,C,1,0,3,1,8,0.2,153,0
synapse,1.2,org.apache.synapse.config.xml.OutMediatorSerializer,C,1,0,3,1,7,0.333333,43,0
synapse,1.2,org.apache.synapse.mediators.db.DBLookupMediator,C,0,0,2,3,15,0.2,181,1
synapse,1.2,org.apache.synapse.endpoints.AddressEndpoint,C,0,0,5,4,16,0.218182,313,1
synapse,1.2,org.apache.synapse.registry.Registry,I,0,0,0,6,1,0.2,0,0
synapse,1.2,org.apache.synapse.mediators.AbstractListMediator,C,1,0,10,7,10,0.181818,165,2
synapse,1.2,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,C,0,2,8,1,25,0.410256,558,0
synapse,1.2,org.apache.synapse.config.xml.ConfigurationFactory,I,0,0,0,2,1,1,0,0
synapse,1.2,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,C,0,0,9,1,37,0.222222,610,9
synapse,1.2,org.apache.synapse.mediators.builtin.ValidateMediator,C,3,2,11,4,29,0.142857,524,1
synapse,1.2,org.apache.synapse.config.xml.XMLConfigurationSerializer,C,0,0,3,1,6,0,17,0
synapse,1.2,org.apache.synapse.endpoints.EndpointContext,C,2,4,12,5,13,0,297,1
synapse,1.2,org.apache.synapse.config.Entry,C,7,7,26,10,5,0.290909,155,0
synapse,1.2,org.apache.synapse.config.xml.ResourceMapFactory,C,0,0,4,1,9,0.666667,71,1
synapse,1.2,org.apache.synapse.config.xml.ValidateMediatorSerializer,C,1,0,3,1,13,0.238095,139,0
synapse,1.2,org.apache.synapse.util.PayloadHelper,C,0,0,23,2,24,0.166667,505,0
synapse,1.2,org.apache.synapse.config.xml.ProxyServiceFactory,C,0,0,5,1,21,0.380952,689,0
synapse,1.2,org.apache.synapse.endpoints.utils.EndpointDefinition,C,11,21,43,12,1,0.257576,210,0
synapse,1.2,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,C,2,0,15,1,36,0.166008,491,2
synapse,1.2,org.apache.synapse.util.xpath.SynapseXPath,C,0,0,6,24,22,0.10582,211,1
synapse,1.2,org.apache.synapse.config.xml.SynapseMediatorSerializer,C,1,0,3,1,7,0.333333,43,0
synapse,1.2,org.apache.synapse.core.axis2.ResourceMap,C,1,0,5,4,15,0.133333,144,2
synapse,1.2,org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher,C,0,0,6,2,13,0,186,0
synapse,1.2,org.apache.synapse.mediators.base.SequenceMediator,C,5,6,16,18,14,0.152174,405,2
synapse,1.2,org.apache.synapse.startup.Task,I,0,0,0,2,1,0,0,0
synapse,1.2,org.apache.synapse.config.xml.LogMediatorFactory,C,1,0,4,1,7,0,86,0
synapse,1.2,org.apache.synapse.mediators.transform.FaultMediator,C,9,6,28,2,33,0.238095,787,3
synapse,1.2,org.apache.synapse.config.xml.AnnotatedCommandMediatorFactory,C,1,0,4,1,16,0.3,128,0
synapse,1.2,org.apache.synapse.core.axis2.DynamicAxisOperation,C,0,0,3,2,2,0,15,0
synapse,1.2,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,C,0,0,7,3,9,0.333333,137,0
synapse,1.2,org.apache.synapse.config.XMLToObjectMapper,I,0,0,0,7,1,0.095238,0,0
synapse,1.2,org.apache.synapse.SynapseException,C,0,0,3,83,1,0.045548,13,1
synapse,1.2,org.apache.synapse.config.xml.endpoints.DefaultEndpointSerializer,C,0,0,4,1,9,0.533333,174,0
synapse,1.2,org.apache.synapse.metrics.MetricsAggregatorModule,C,0,0,6,0,7,0,29,0
synapse,1.2,org.apache.synapse.startup.quartz.SimpleQuartzSerializer,C,0,0,3,1,15,0.5,193,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseMessageReceiver,C,0,0,5,2,23,0.348485,235,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseStartUpServlet,C,0,0,8,0,13,0,192,1
synapse,1.2,org.apache.synapse.mediators.annotations.ReadAndUpdate,I,0,0,0,1,2,0,0,0
synapse,1.2,org.apache.synapse.config.xml.FilterMediatorFactory,C,1,0,4,1,12,0.2,205,0
synapse,1.2,org.apache.synapse.core.axis2.AnonymousServiceFactory,C,0,0,6,1,14,0.333333,227,1
synapse,1.2,org.apache.synapse.mediators.MediatorWorker,C,0,0,5,1,10,0.5,144,0
synapse,1.2,org.apache.synapse.core.axis2.SOAPUtils,C,0,0,5,2,25,0.666667,484,1
synapse,1.2,org.apache.synapse.mediators.annotations.Execute,I,0,0,0,0,2,0,0,0
synapse,1.2,org.apache.synapse.config.xml.ValidateMediatorFactory,C,1,0,4,1,13,0.166667,211,0
synapse,1.2,org.apache.synapse.core.axis2.CustomURIResolver,C,0,0,3,1,5,0.333333,35,1
synapse,1.2,org.apache.synapse.core.axis2.MessageContextCreatorForAxis2,C,0,0,5,3,6,0.7,38,0
synapse,1.2,org.apache.synapse.endpoints.FailoverEndpoint,C,2,3,11,3,18,0.178571,233,0
synapse,1.2,org.apache.synapse.config.xml.StartupFactory,I,0,0,0,2,1,1,0,0
synapse,1.2,org.apache.synapse.util.xpath.SynapseXPathFunctionContext,C,0,0,2,1,5,0,32,0
synapse,1.2,org.apache.synapse.config.xml.CloneMediatorSerializer,C,1,0,3,1,10,0.2,53,0
synapse,1.2,org.apache.synapse.config.xml.FilterMediatorSerializer,C,1,0,3,1,10,0.333333,142,0
synapse,1.2,org.apache.synapse.mediators.filters.SwitchMediator,C,3,2,8,2,9,0.266667,208,2
synapse,1.2,org.apache.synapse.metrics.Counter,C,1,0,3,2,1,0,16,0
synapse,1.2,org.apache.synapse.config.xml.DBLookupMediatorFactory,C,1,0,4,1,3,0,26,0
synapse,1.2,org.apache.synapse.config.xml.SynapseXPathFactory,C,0,0,4,15,11,0.098039,54,0
synapse,1.2,org.apache.synapse.mediators.eip.aggregator.Aggregate,C,7,7,22,1,12,1,355,1
synapse,1.2,org.apache.synapse.SynapseServer,C,0,0,5,1,11,1,161,2
synapse,1.2,org.apache.synapse.config.xml.EntryFactory,C,0,0,5,1,15,0.6,116,0
synapse,1.2,org.apache.synapse.statistics.StatisticsCollector,C,3,0,10,4,5,0.3,135,0
synapse,1.2,org.apache.synapse.config.xml.MediatorSerializer,I,0,0,0,6,1,0.4,0,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseDispatcher,C,0,0,4,0,9,0,31,0
synapse,1.2,org.apache.synapse.mediators.ListMediator,I,0,0,0,5,2,0.4,0,0
synapse,1.2,org.apache.synapse.config.xml.SequenceMediatorFactory,C,1,0,5,5,8,0.285714,153,0
synapse,1.2,org.apache.synapse.statistics.impl.SequenceStatisticsStack,C,0,0,6,4,9,0.333333,147,0
synapse,1.2,org.apache.synapse.config.xml.CacheMediatorFactory,C,1,0,5,1,17,0.166667,365,0
synapse,1.2,org.apache.synapse.startup.quartz.SimpleQuartzFactory,C,2,0,7,2,22,0.4,323,0
synapse,1.2,org.apache.synapse.ServerManager,C,9,7,25,13,34,0.130719,703,3
synapse,1.2,org.apache.synapse.mediators.ext.ClassMediator,C,2,1,8,2,11,0.285714,157,1
synapse,1.2,org.apache.synapse.core.axis2.AsyncCallback,C,3,2,10,4,2,0.333333,33,0
synapse,1.2,org.apache.synapse.util.ClasspathURLStreamHandler,C,0,0,2,2,2,0,8,0
synapse,1.2,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,C,0,0,6,2,11,0.2,222,0
synapse,1.2,org.apache.synapse.endpoints.DefaultEndpoint,C,2,3,15,3,16,0.194444,287,0
synapse,1.2,org.apache.synapse.util.SimpleMapImpl,C,0,0,27,1,29,0,803,0
synapse,1.2,org.apache.synapse.config.xml.DropMediatorSerializer,C,1,0,3,1,7,0.166667,38,0
synapse,1.2,org.apache.synapse.config.xml.DBLookupMediatorSerializer,C,1,0,3,1,7,0,42,0
synapse,1.2,org.apache.synapse.config.xml.SynapseMediatorFactory,C,1,0,4,1,3,0.333333,25,0
synapse,1.2,org.apache.synapse.config.xml.CalloutMediatorFactory,C,1,0,4,1,8,0,206,0
synapse,1.2,org.apache.synapse.config.xml.AnonymousListMediator,C,0,0,2,3,1,0,7,0
synapse,1.2,org.apache.synapse.config.xml.POJOCommandMediatorSerializer,C,1,0,4,1,14,0.266667,452,0
synapse,1.2,org.apache.synapse.config.xml.HeaderMediatorFactory,C,1,0,4,1,12,0.333333,185,0
synapse,1.2,org.apache.synapse.config.xml.CacheMediatorSerializer,C,1,0,3,1,12,0.466667,222,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseInitializationModule,C,0,0,8,0,32,0.388889,303,1
synapse,1.2,org.apache.synapse.config.xml.MediatorFactory,I,0,0,0,3,1,0.333333,0,0
synapse,1.2,org.apache.synapse.mediators.GetPropertyFunction,C,1,1,7,1,22,0.333333,477,2
synapse,1.2,org.apache.synapse.util.TextFileDataSource,C,2,0,12,1,15,0.333333,103,0
synapse,1.2,org.apache.synapse.mediators.db.Statement,C,3,0,6,6,6,0.466667,47,0
synapse,1.2,org.apache.synapse.mediators.ext.AnnotatedCommandMediator,C,0,1,6,1,24,0.111111,596,1
synapse,1.2,org.apache.synapse.mediators.MediatorProperty,C,3,3,9,8,3,0.222222,54,0
synapse,1.2,org.apache.synapse.mediators.eip.splitter.CloneMediator,C,1,2,10,2,16,0.222222,198,1
synapse,1.2,org.apache.synapse.registry.RegistryEntry,I,0,0,0,3,1,0.666667,0,0
synapse,1.2,org.apache.synapse.config.xml.DropMediatorFactory,C,1,0,4,1,3,0,22,0
synapse,1.2,org.apache.synapse.startup.quartz.SimpleQuartz,C,7,5,17,2,25,0.266667,303,0
synapse,1.2,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,C,2,2,14,1,30,0.247619,491,1
synapse,1.2,org.apache.synapse.config.xml.OMElementUtils,C,0,0,4,4,12,0.5,127,0
synapse,1.2,org.apache.synapse.config.xml.IterateMediatorFactory,C,1,0,4,1,13,0.142857,152,0
synapse,1.2,org.apache.synapse.mediators.FilterMediator,I,0,0,0,3,2,0.166667,0,0
synapse,1.2,org.apache.synapse.config.xml.DBReportMediatorSerializer,C,1,0,3,1,7,0,42,0
synapse,1.2,org.apache.synapse.config.xml.ProxyServiceSerializer,C,0,0,4,1,23,0.214286,590,0
synapse,1.2,org.apache.synapse.FaultHandler,C,0,0,6,13,13,0.247619,211,0
synapse,1.2,org.apache.synapse.mediators.builtin.SendMediator,C,1,1,4,2,17,0.214286,263,2
synapse,1.2,org.apache.synapse.mediators.MediatorFaultHandler,C,1,1,6,4,10,0.642857,97,0
synapse,1.2,org.apache.synapse.config.xml.SynapseXMLConfigurationSerializer,C,1,0,9,1,30,0.169935,222,1
synapse,1.2,org.apache.synapse.core.axis2.MediatorDeployer,C,0,2,9,0,24,0.333333,340,2
synapse,1.2,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointSerializer,C,0,0,2,1,11,0.333333,86,1
synapse,1.2,org.apache.synapse.mediators.eip.aggregator.AggregateMediator,C,8,7,20,3,20,0.266667,646,2
