@relation xerces-1.0

@attribute System {xerces}
@attribute Version {init}
@attribute Class {org.xml.sax.SAXParseException,org.apache.xerces.utils.UTF8DataChunk,org.apache.xerces.domx.events.EventListener,org.apache.xerces.parsers.DOMParser,org.apache.xerces.dom.DocumentFragmentImpl,org.apache.xerces.validators.datatype.DatatypeValidator,org.apache.xerces.validators.dtd.CMLeaf,org.apache.xerces.validators.dtd.CMStateSet,org.w3c.dom.CDATASection,org.w3c.dom.Notation,org.apache.xerces.domx.events.UIEvent,org.apache.xerces.validators.datatype.StringValidator,org.apache.xerces.utils.ChunkyCharArray,org.apache.xerces.dom.NamedNodeMapImpl,org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.readers.CharReader,org.apache.xerces.utils.StringPool,org.apache.xerces.readers.XMLEntityReaderFactory,org.apache.xerces.readers.XMLCatalogHandler,org.apache.xerces.validators.datatype.IntegerValidator,org.apache.xerces.parsers.SAXParser,org.apache.xerces.dom.DeferredDocumentTypeImpl,org.apache.xerces.dom.NodeImpl,org.apache.xerces.dom.DeferredCDATASectionImpl,org.apache.xerces.validators.dtd.InsertableElementsInfo,org.apache.xerces.dom.NotationImpl,org.apache.xerces.readers.XMLEntityReader,org.apache.xerces.validators.datatype.IllegalFacetValueException,org.apache.xerces.validators.dtd.EntityPool,org.apache.xerces.utils.CharDataChunk,org.apache.xerces.domx.traversal.TreeWalker,org.apache.xerces.readers.UCSRecognizer,org.apache.xerces.dom.events.EventImpl,org.xml.sax.EntityResolver,org.apache.xerces.readers.StringReader,org.apache.xerces.validators.dtd.SimpleContentModel,org.xml.sax.InputSource,org.apache.xerces.validators.datatype.UnknownFacetException,org.apache.xerces.dom.DeferredAttrImpl,org.apache.xerces.utils.StringHasher,org.apache.xerces.domx.traversal.NodeFilter,org.xml.sax.HandlerBase,org.xml.sax.helpers.ParserFactory,org.apache.xerces.validators.datatype.IllegalFacetException,org.apache.xerces.validators.dtd.DFAContentModel,org.apache.xerces.validators.schema.DatatypeContentModel,org.apache.xerces.validators.dtd.MixedContentModel,org.w3c.dom.ProcessingInstruction,org.apache.xerces.msg.XMLMessages,org.apache.xerces.validators.dtd.CMBinOp,org.apache.xerces.validators.dtd.CMNode,org.xml.sax.SAXNotRecognizedException,org.apache.xerces.msg.ImplementationMessages,org.apache.xerces.validators.datatype.DatatypeMessageProvider,org.apache.xerces.validators.datatype.InvalidDatatypeValueException,org.w3c.dom.DocumentType,org.apache.xerces.validators.dtd.DTDValidator,org.apache.xerces.readers.AbstractCharReader,org.apache.xerces.dom.DeferredElementImpl,org.apache.xerces.domx.traversal.DocumentTWIF,org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.framework.XMLValidator,org.w3c.dom.EntityReference,org.xml.sax.DTDHandler,org.xml.sax.helpers.ConfigurableParserAdapter,org.w3c.dom.Node,org.apache.xerces.dom.DeferredCommentImpl,org.apache.xerces.dom.DeferredTextImpl,org.w3c.dom.Entity,org.apache.xerces.validators.dtd.CMUniOp,org.apache.xerces.dom.EntityReferenceImpl,org.apache.xerces.dom.ElementImpl,org.apache.xerces.dom.TextImpl,org.apache.xerces.domx.DOMException,org.w3c.dom.DocumentFragment,org.apache.xerces.readers.UTF8CharReader,org.xml.sax.helpers.AttributeListImpl,org.w3c.dom.Comment,org.apache.xerces.utils.NamespacesScope,org.apache.xerces.validators.dtd.XMLContentModel,org.apache.xerces.dom.traversal.NodeIteratorImpl,org.xml.sax.misc.DeclHandler,org.apache.xerces.dom.ProcessingInstructionImpl,org.xml.sax.SAXException,org.apache.xerces.framework.Version,org.apache.xerces.validators.datatype.InternalDatatypeValidator,org.w3c.dom.DOMException,org.apache.xerces.domx.XGrammarWriter,org.apache.xerces.framework.XMLErrorReporter,org.apache.xerces.validators.datatype.BooleanValidator,org.apache.xerces.utils.ChunkyByteArray,org.apache.xerces.readers.XMLEntityHandler,org.apache.xerces.validators.schema.SchemaMessageProvider,org.w3c.dom.NodeList,org.apache.xerces.msg.DatatypeMessages,org.apache.xerces.readers.MIME2Java,org.xml.sax.helpers.LocatorImpl,org.apache.xerces.domx.traversal.NodeIterator,org.apache.xerces.domx.events.MutationEvent,org.apache.xerces.msg.SchemaMessages,org.apache.xerces.readers.EBCDICRecognizer,org.w3c.dom.NamedNodeMap,org.apache.xerces.validators.schema.XUtil,org.apache.xerces.utils.ImplementationMessages,org.apache.xerces.dom.events.MutationEventImpl,org.w3c.dom.Element,org.xml.sax.SAXNotSupportedException,org.xml.sax.Parser,org.w3c.dom.Document,org.apache.xerces.readers.UTF8Reader,org.apache.xerces.domx.events.DocumentEvent,org.apache.xerces.utils.SymbolCache,org.apache.xerces.validators.schema.XSchemaValidator,org.xml.sax.AttributeList,org.apache.xerces.dom.DOMImplementationImpl,org.apache.xerces.validators.dtd.ElementDeclPool,org.apache.xerces.domx.traversal.DocumentTraversal,org.apache.xerces.dom.DocumentImpl,org.w3c.dom.DOMImplementation,org.apache.xerces.domx.events.Event,org.apache.xerces.utils.XMLCharacterProperties,org.apache.xerces.readers.UCSReader,org.xml.sax.misc.LexicalHandler,org.apache.xerces.dom.DeepNodeListImpl,org.apache.xerces.dom.EntityImpl,org.apache.xerces.dom.DeferredEntityReferenceImpl,org.xml.sax.Locator,org.apache.xerces.readers.XCatalog,org.apache.xerces.dom.AttrImpl,org.xml.sax.Configurable,org.w3c.dom.CharacterData,org.apache.xerces.parsers.RevalidatingDOMParser,org.apache.xerces.dom.traversal.TreeWalkerImpl,org.xml.sax.misc.NamespaceHandler,org.apache.xerces.validators.dtd.CMException,org.apache.xerces.dom.DeferredProcessingInstructionImpl,org.apache.xerces.validators.datatype.RealValidator,org.apache.xerces.dom.DeferredEntityImpl,org.apache.xerces.readers.UTF8Recognizer,org.apache.xerces.framework.XMLDocumentScanner,org.apache.xerces.framework.XMLParser,org.apache.xerces.dom.DeferredNode,org.xml.sax.DocumentHandler,org.apache.xerces.dom.DeferredNotationImpl,org.apache.xerces.dom.DeferredDocumentImpl,org.apache.xerces.framework.XMLContentSpecNode,org.apache.xerces.dom.DocumentTypeImpl,org.apache.xerces.dom.CommentImpl,org.apache.xerces.validators.datatype.DecimalValidator,org.apache.xerces.domx.events.EventTarget,org.apache.xerces.framework.XMLDTDScanner,org.apache.xerces.readers.XMLDeclRecognizer,org.apache.xerces.dom.ElementDefinitionImpl,org.apache.xerces.dom.LCount,org.apache.xerces.dom.DOMExceptionImpl,org.w3c.dom.Attr,org.apache.xerces.framework.XMLAttrList,org.apache.xerces.dom.DeferredElementDefinitionImpl,org.apache.xerces.utils.XMLMessageProvider,org.xml.sax.ErrorHandler,org.apache.xerces.utils.XMLMessages,org.w3c.dom.Text}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
xerces,init,org.xml.sax.SAXParseException,C,4,0,8,2,2,0.5,86,2
xerces,init,org.apache.xerces.utils.UTF8DataChunk,C,0,2,21,1,11,0.2,1424,0
xerces,init,org.apache.xerces.domx.events.EventListener,I,0,0,0,1,1,0,0,0
xerces,init,org.apache.xerces.parsers.DOMParser,C,7,3,56,4,46,0.171429,4623,4
xerces,init,org.apache.xerces.dom.DocumentFragmentImpl,C,2,1,5,1,5,0.6,19,0
xerces,init,org.apache.xerces.validators.datatype.DatatypeValidator,I,0,0,0,7,5,0.545455,0,1
xerces,init,org.apache.xerces.validators.dtd.CMLeaf,C,2,1,9,3,8,0.555556,112,0
xerces,init,org.apache.xerces.validators.dtd.CMStateSet,C,0,2,10,5,4,0.761905,455,0
xerces,init,org.w3c.dom.CDATASection,I,0,0,0,1,2,0,0,2
xerces,init,org.w3c.dom.Notation,I,0,0,0,2,2,1,0,2
xerces,init,org.apache.xerces.domx.events.UIEvent,I,0,0,0,0,2,0,0,0
xerces,init,org.apache.xerces.validators.datatype.StringValidator,C,0,2,7,1,6,0.466667,9,1
xerces,init,org.apache.xerces.utils.ChunkyCharArray,C,0,0,8,3,7,0.3,154,0
xerces,init,org.apache.xerces.dom.NamedNodeMapImpl,C,1,1,14,5,18,0.384615,724,2
xerces,init,org.apache.xerces.dom.CharacterDataImpl,C,3,1,10,3,9,0.333333,207,1
xerces,init,org.apache.xerces.readers.CharReader,C,0,0,4,1,5,0.333333,553,0
xerces,init,org.apache.xerces.utils.StringPool,C,1,0,40,45,14,0.104533,2863,0
xerces,init,org.apache.xerces.readers.XMLEntityReaderFactory,C,0,0,4,3,5,0,33,0
xerces,init,org.apache.xerces.readers.XMLCatalogHandler,C,2,0,10,2,8,0.6,89,0
xerces,init,org.apache.xerces.validators.datatype.IntegerValidator,C,0,2,11,1,18,0.464286,547,0
xerces,init,org.apache.xerces.parsers.SAXParser,C,7,7,48,1,21,0.171429,964,9
xerces,init,org.apache.xerces.dom.DeferredDocumentTypeImpl,C,1,0,4,1,14,0.527778,172,1
xerces,init,org.apache.xerces.dom.NodeImpl,C,17,3,46,33,34,0.123265,1556,3
xerces,init,org.apache.xerces.dom.DeferredCDATASectionImpl,C,1,0,3,1,5,0.5,39,0
xerces,init,org.apache.xerces.validators.dtd.InsertableElementsInfo,C,0,0,1,5,1,0.6,3,0
xerces,init,org.apache.xerces.dom.NotationImpl,C,3,3,7,3,5,0.5,66,0
xerces,init,org.apache.xerces.readers.XMLEntityReader,C,3,1,9,5,4,0.47619,125,1
xerces,init,org.apache.xerces.validators.datatype.IllegalFacetValueException,C,0,0,2,8,1,0.535714,7,0
xerces,init,org.apache.xerces.validators.dtd.EntityPool,C,0,0,20,5,11,0.464286,840,0
xerces,init,org.apache.xerces.utils.CharDataChunk,C,0,2,19,4,9,0.25,518,0
xerces,init,org.apache.xerces.domx.traversal.TreeWalker,I,0,0,0,1,1,0,0,0
xerces,init,org.apache.xerces.readers.UCSRecognizer,C,0,0,2,1,4,0.333333,143,0
xerces,init,org.apache.xerces.dom.events.EventImpl,C,6,0,10,3,2,0.666667,57,2
xerces,init,org.xml.sax.EntityResolver,I,0,0,0,5,3,0.266667,0,2
xerces,init,org.apache.xerces.readers.StringReader,C,0,0,29,1,11,0.238095,1981,2
xerces,init,org.apache.xerces.validators.dtd.SimpleContentModel,C,0,0,3,2,7,0.47619,420,0
xerces,init,org.xml.sax.InputSource,C,5,5,14,6,1,0.4,56,2
xerces,init,org.apache.xerces.validators.datatype.UnknownFacetException,C,0,0,2,8,1,0.535714,7,0
xerces,init,org.apache.xerces.dom.DeferredAttrImpl,C,1,0,4,1,5,0.4,129,1
xerces,init,org.apache.xerces.utils.StringHasher,C,0,0,5,5,2,0.5,102,0
xerces,init,org.apache.xerces.domx.traversal.NodeFilter,I,0,0,0,2,1,0,0,0
xerces,init,org.xml.sax.HandlerBase,C,0,1,15,0,6,0.4,19,2
xerces,init,org.xml.sax.helpers.ParserFactory,C,0,0,3,0,9,0,21,2
xerces,init,org.apache.xerces.validators.datatype.IllegalFacetException,C,0,0,2,8,1,0.535714,7,0
xerces,init,org.apache.xerces.validators.dtd.DFAContentModel,C,0,0,8,2,16,0.487179,936,0
xerces,init,org.apache.xerces.validators.schema.DatatypeContentModel,C,0,0,3,1,13,0.428571,78,0
xerces,init,org.apache.xerces.validators.dtd.MixedContentModel,C,0,0,3,2,6,0.6,167,0
xerces,init,org.w3c.dom.ProcessingInstruction,I,0,0,0,1,3,0.666667,0,2
xerces,init,org.apache.xerces.msg.XMLMessages,C,1,0,3,0,2,0,2115,0
xerces,init,org.apache.xerces.validators.dtd.CMBinOp,C,2,0,6,3,5,0.607143,146,0
xerces,init,org.apache.xerces.validators.dtd.CMNode,C,0,2,6,4,3,0.8,54,0
xerces,init,org.xml.sax.SAXNotRecognizedException,C,0,0,1,3,1,0.666667,4,2
xerces,init,org.apache.xerces.msg.ImplementationMessages,C,1,0,3,0,2,0,243,0
xerces,init,org.apache.xerces.validators.datatype.DatatypeMessageProvider,C,1,1,5,5,8,0.066667,155,0
xerces,init,org.apache.xerces.validators.datatype.InvalidDatatypeValueException,C,0,0,2,9,1,0.333333,7,0
xerces,init,org.w3c.dom.DocumentType,I,0,0,0,4,2,0.8,0,2
xerces,init,org.apache.xerces.validators.dtd.DTDValidator,C,5,6,124,14,53,0.209177,5864,2
xerces,init,org.apache.xerces.readers.AbstractCharReader,C,0,0,32,3,14,0.141026,2895,2
xerces,init,org.apache.xerces.dom.DeferredElementImpl,C,1,0,4,1,6,0.466667,150,0
xerces,init,org.apache.xerces.domx.traversal.DocumentTWIF,I,0,0,0,0,1,0,0,0
xerces,init,org.apache.xerces.dom.CDATASectionImpl,C,2,0,4,2,5,0.533333,15,0
xerces,init,org.apache.xerces.framework.XMLValidator,I,0,0,0,5,3,0.3,0,1
xerces,init,org.w3c.dom.EntityReference,I,0,0,0,2,2,1,0,2
xerces,init,org.xml.sax.DTDHandler,I,0,0,0,2,2,0.666667,0,2
xerces,init,org.xml.sax.helpers.ConfigurableParserAdapter,C,0,5,12,0,7,0.5,126,1
xerces,init,org.w3c.dom.Node,I,0,0,0,38,2,0.176788,0,2
xerces,init,org.apache.xerces.dom.DeferredCommentImpl,C,1,0,3,1,4,0.5,28,0
xerces,init,org.apache.xerces.dom.DeferredTextImpl,C,1,0,3,1,6,0.7,104,0
xerces,init,org.w3c.dom.Entity,I,0,0,0,4,2,0.8,0,2
xerces,init,org.apache.xerces.validators.dtd.CMUniOp,C,1,0,5,3,5,0.607143,54,0
xerces,init,org.apache.xerces.dom.EntityReferenceImpl,C,1,1,4,2,5,0.619048,19,0
xerces,init,org.apache.xerces.dom.ElementImpl,C,8,4,30,7,18,0.403509,586,1
xerces,init,org.apache.xerces.dom.TextImpl,C,2,1,7,6,8,0.378788,88,0
