@relation xerces-1.4

@attribute System {xerces}
@attribute Version {1.4.4}
@attribute Class {org.apache.html.dom.HTMLOptGroupElementImpl,org.apache.wml.WMLPElement,org.w3c.dom.html.HTMLTitleElement,org.w3c.dom.html.HTMLLegendElement,org.w3c.dom.events.EventListener,org.apache.html.dom.HTMLModElementImpl,org.apache.wml.WMLBigElement,org.apache.wml.dom.WMLTrElementImpl,org.apache.html.dom.HTMLHtmlElementImpl,org.xml.sax.ext.LexicalHandler,org.w3c.dom.traversal.NodeIterator,org.apache.xerces.dom.EntityImpl,org.w3c.dom.events.EventException,org.apache.xerces.dom.DeferredEntityReferenceImpl,org.w3c.dom.html.HTMLParagraphElement,org.apache.wml.WMLMetaElement,org.apache.xerces.dom.AttrImpl,org.apache.wml.WMLStrongElement,org.apache.wml.dom.WMLNoopElementImpl,org.xml.sax.XMLFilter,org.w3c.dom.events.Event,org.xml.sax.ext.DeclHandler,org.apache.wml.dom.WMLOptionElementImpl,org.w3c.dom.DocumentType,org.apache.html.dom.HTMLTableElementImpl,org.apache.wml.WMLSmallElement,org.apache.xerces.dom.AttrNSImpl,org.apache.html.dom.HTMLBuilder,org.apache.wml.dom.WMLRefreshElementImpl,org.apache.xerces.dom.DeferredElementNSImpl,org.w3c.dom.html.HTMLMenuElement,org.apache.html.dom.HTMLTableColElementImpl,org.apache.html.dom.HTMLDivElementImpl,org.apache.xerces.dom.AttributeMap,javax.xml.parsers.DocumentBuilder,org.w3c.dom.html.HTMLFrameElement,org.apache.html.dom.HTMLFormElementImpl,org.apache.wml.WMLTdElement,org.apache.wml.dom.WMLTimerElementImpl,org.apache.wml.dom.WMLCardElementImpl,org.apache.html.dom.HTMLAnchorElementImpl,org.apache.wml.dom.WMLUElementImpl,org.w3c.dom.html.HTMLOptionElement,org.apache.html.dom.HTMLDirectoryElementImpl,org.apache.xml.serialize.HTMLSerializer,org.w3c.dom.html.HTMLHeadElement,org.apache.html.dom.HTMLLinkElementImpl,org.apache.html.dom.HTMLDocumentImpl,org.apache.html.dom.HTMLOptionElementImpl,org.apache.wml.WMLOptgroupElement,org.w3c.dom.html.HTMLFontElement,org.apache.wml.WMLTemplateElement,org.w3c.dom.events.EventTarget,org.apache.wml.dom.WMLPrevElementImpl,org.apache.html.dom.HTMLParamElementImpl,org.apache.xml.serialize.Printer,org.w3c.dom.html.HTMLLabelElement,org.w3c.dom.html.HTMLInputElement,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,org.apache.wml.WMLIElement,org.apache.html.dom.HTMLParagraphElementImpl,org.apache.xerces.parsers.SAXParser,org.xml.sax.helpers.XMLReaderFactory,org.apache.xerces.dom.NodeImpl,org.apache.html.dom.HTMLCollectionImpl,org.apache.xerces.dom.DeferredElementImpl,org.apache.xerces.dom.CDATASectionImpl,org.xml.sax.helpers.DefaultHandler,org.apache.xerces.dom.DeferredNotationImpl,org.xml.sax.DTDHandler,org.apache.wml.WMLEmElement,org.apache.html.dom.HTMLBRElementImpl,org.w3c.dom.html.HTMLSelectElement,org.apache.wml.dom.WMLIElementImpl,org.apache.wml.dom.WMLPElementImpl,javax.xml.parsers.FactoryConfigurationError,org.w3c.dom.html.HTMLParamElement,org.apache.html.dom.HTMLImageElementImpl,org.apache.wml.dom.WMLBigElementImpl,org.w3c.dom.html.HTMLQuoteElement,org.w3c.dom.html.HTMLLinkElement,org.apache.wml.dom.WMLBElementImpl,org.xml.sax.SAXNotSupportedException,org.w3c.dom.html.HTMLObjectElement,org.w3c.dom.html.HTMLDocument,org.apache.wml.dom.WMLDoElementImpl,org.apache.html.dom.HTMLAppletElementImpl,org.apache.wml.WMLDOMImplementation,org.w3c.dom.html.HTMLModElement,org.apache.xerces.dom.DOMImplementationImpl,org.w3c.dom.html.HTMLDOMImplementation,org.w3c.dom.traversal.DocumentTraversal,org.xml.sax.InputSource,org.apache.html.dom.HTMLHeadElementImpl,org.xml.sax.DocumentHandler,org.apache.wml.dom.WMLFieldsetElementImpl,org.xml.sax.HandlerBase,org.apache.xerces.dom.DeepNodeListImpl,org.apache.html.dom.HTMLDOMImplementationImpl,org.w3c.dom.html.HTMLBaseFontElement,org.w3c.dom.ProcessingInstruction,org.apache.wml.WMLTrElement,org.w3c.dom.html.HTMLDivElement,org.apache.wml.WMLAElement,org.apache.xerces.dom.RangeImpl,org.apache.wml.WMLBrElement,org.apache.html.dom.NameNodeListImpl,org.xml.sax.helpers.NamespaceSupport,org.apache.xerces.jaxp.SAXParserImpl,javax.xml.parsers.SAXParserFactory,org.w3c.dom.ranges.DocumentRange,org.apache.xerces.dom.NodeIteratorImpl,org.apache.wml.dom.WMLSetvarElementImpl,org.apache.wml.WMLAnchorElement,org.apache.wml.dom.WMLWmlElementImpl,org.apache.xerces.dom.DeferredEntityImpl,org.apache.xerces.dom.LCount,org.w3c.dom.html.HTMLMapElement,org.w3c.dom.DocumentFragment,org.apache.html.dom.HTMLTableCellElementImpl,org.apache.xerces.dom.DeferredElementDefinitionImpl,org.apache.xml.serialize.Serializer,org.xml.sax.ErrorHandler,org.w3c.dom.DOMImplementation,org.apache.xml.serialize.BaseMarkupSerializer,org.apache.xml.serialize.HTMLdtd,org.apache.html.dom.HTMLTableSectionElementImpl,org.apache.wml.dom.WMLEmElementImpl,org.apache.wml.WMLUElement,org.apache.xerces.dom.ProcessingInstructionImpl,org.w3c.dom.html.HTMLHtmlElement,org.apache.wml.WMLFieldsetElement,org.apache.xerces.dom.RangeExceptionImpl,org.apache.html.dom.HTMLIFrameElementImpl,org.w3c.dom.html.HTMLDListElement,org.w3c.dom.events.DocumentEvent,org.apache.xml.serialize.XMLSerializer,org.apache.html.dom.HTMLFontElementImpl,org.w3c.dom.CDATASection,javax.xml.parsers.DocumentBuilderFactory,org.apache.wml.WMLOptionElement,org.apache.xerces.dom.NamedNodeMapImpl,org.apache.wml.dom.WMLStrongElementImpl,org.apache.wml.WMLImgElement,org.apache.xml.serialize.SieveEncodingInfo,org.xml.sax.Attributes,org.w3c.dom.html.HTMLHRElement,org.apache.html.dom.HTMLTableRowElementImpl,org.apache.wml.WMLCardElement,org.w3c.dom.NamedNodeMap,org.apache.xerces.dom.DeferredDocumentTypeImpl,org.apache.html.dom.HTMLFormControl,org.apache.wml.WMLPrevElement,org.apache.wml.WMLPostfieldElement,org.w3c.dom.ranges.RangeException,org.w3c.dom.Node,org.apache.xerces.dom.DocumentTypeImpl,org.w3c.dom.html.HTMLCollection,org.apache.xerces.dom.TreeWalkerImpl,org.apache.wml.dom.WMLOptgroupElementImpl,org.apache.xml.serialize.Method,org.apache.wml.WMLSetvarElement,org.apache.wml.dom.WMLHeadElementImpl,org.apache.html.dom.HTMLSelectElementImpl,org.apache.wml.WMLInputElement,org.apache.xerces.dom.ElementImpl,org.w3c.dom.html.HTMLAnchorElement,org.apache.xerces.dom.TextImpl,org.w3c.dom.html.HTMLTableCaptionElement,org.w3c.dom.html.HTMLScriptElement,org.apache.xml.serialize.TextSerializer,org.apache.wml.dom.WMLBrElementImpl,org.w3c.dom.html.HTMLStyleElement,org.apache.html.dom.HTMLBodyElementImpl,org.apache.xerces.jaxp.DefaultValidationErrorHandler,org.w3c.dom.html.HTMLTableElement,org.apache.html.dom.HTMLIsIndexElementImpl,org.apache.html.dom.HTMLPreElementImpl,org.xml.sax.AttributeList,org.w3c.dom.ranges.Range,org.apache.wml.dom.WMLOneventElementImpl,org.apache.xml.serialize.LineSeparator,org.xml.sax.helpers.AttributesImpl,org.xml.sax.helpers.ParserAdapter,org.apache.wml.WMLSelectElement,org.w3c.dom.html.HTMLTableColElement,org.w3c.dom.CharacterData,org.apache.wml.dom.WMLAElementImpl,org.apache.xml.serialize.SerializerFactoryImpl,org.xml.sax.ContentHandler,org.apache.wml.WMLAccessElement,org.apache.html.dom.HTMLAreaElementImpl,org.apache.wml.dom.WMLSelectElementImpl,org.apache.html.dom.HTMLLegendElementImpl,org.apache.xerces.jaxp.SAXParserFactoryImpl,org.w3c.dom.Comment,org.apache.html.dom.HTMLMenuElementImpl,org.apache.html.dom.HTMLFrameSetElementImpl,org.w3c.dom.html.HTMLTableSectionElement,org.w3c.dom.Text,org.apache.xerces.dom.ChildNode,org.xml.sax.SAXParseException,org.apache.wml.dom.WMLDocumentImpl,org.w3c.dom.html.HTMLBaseElement,org.apache.wml.WMLDocument,org.apache.html.dom.HTMLBaseFontElementImpl,org.w3c.dom.DOMException,org.w3c.dom.traversal.NodeFilter,org.w3c.dom.Notation,org.apache.wml.WMLGoElement,org.w3c.dom.html.HTMLTableRowElement,org.w3c.dom.NodeList,org.apache.xerces.dom.CharacterDataImpl,org.xml.sax.helpers.LocatorImpl,org.w3c.dom.html.HTMLMetaElement,javax.xml.parsers.ParserConfigurationException,org.xml.sax.XMLReader,org.apache.xerces.dom.DeferredNode,org.apache.wml.WMLTableElement,org.apache.wml.dom.WMLAccessElementImpl,org.apache.xerces.dom.DeferredDocumentImpl,org.w3c.dom.html.HTMLOptGroupElement,org.apache.xerces.dom.CommentImpl,org.apache.xerces.dom.DeferredTextImpl,org.apache.wml.dom.WMLImgElementImpl,org.apache.xml.serialize.XHTMLSerializer,org.apache.wml.dom.WMLTableElementImpl,org.w3c.dom.html.HTMLIFrameElement,org.apache.xml.serialize.EncodingInfo,org.xml.sax.helpers.XMLReaderAdapter,org.apache.xml.serialize.IndentPrinter,org.apache.xerces.dom.DeferredCDATASectionImpl,org.apache.xml.serialize.DOMSerializer,org.apache.xerces.dom.events.MutationEventImpl,org.apache.wml.dom.WMLPostfieldElementImpl,org.apache.html.dom.HTMLQuoteElementImpl,org.w3c.dom.html.HTMLElement,org.xml.sax.Parser,org.apache.wml.dom.WMLDOMImplementationImpl,org.w3c.dom.traversal.TreeWalker,org.w3c.dom.html.HTMLDirectoryElement,org.apache.xerces.dom.events.EventImpl,org.xml.sax.EntityResolver,org.apache.html.dom.HTMLHeadingElementImpl,org.apache.wml.WMLTimerElement,org.apache.wml.WMLHeadElement,org.apache.html.dom.HTMLFrameElementImpl,org.apache.html.dom.HTMLBaseElementImpl,org.w3c.dom.EntityReference,org.apache.xerces.dom.DeferredAttrImpl,org.apache.html.dom.HTMLStyleElementImpl,org.xml.sax.helpers.ParserFactory,org.w3c.dom.html.HTMLAppletElement,org.apache.html.dom.HTMLMapElementImpl,org.xml.sax.Locator,org.w3c.dom.html.HTMLAreaElement,org.apache.wml.WMLNoopElement,org.apache.wml.dom.WMLElementImpl,org.xml.sax.SAXNotRecognizedException,org.apache.xerces.dom.DeferredAttrNSImpl,org.apache.html.dom.CollectionIndex,org.w3c.dom.html.HTMLHeadingElement,org.w3c.dom.events.MutationEvent,org.apache.xml.serialize.SerializerFactory,org.apache.wml.WMLElement,org.apache.xml.serialize.ElementState,org.w3c.dom.html.HTMLOListElement,org.w3c.dom.html.HTMLImageElement,org.apache.wml.dom.WMLGoElementImpl,org.apache.xerces.dom.DeferredProcessingInstructionImpl,org.w3c.dom.html.HTMLIsIndexElement,org.apache.wml.dom.WMLMetaElementImpl,org.w3c.dom.html.HTMLFieldSetElement,org.w3c.dom.Attr,org.xml.sax.helpers.AttributeListImpl,org.apache.wml.WMLWmlElement,org.apache.wml.dom.WMLTdElementImpl,org.apache.xml.serialize.Encodings,org.w3c.dom.html.HTMLFormElement,org.apache.xerces.dom.DocumentImpl,org.apache.xml.serialize.OutputFormat,org.w3c.dom.html.HTMLFrameSetElement,org.w3c.dom.html.HTMLLIElement,org.apache.wml.WMLOneventElement,javax.xml.parsers.SAXParser,org.apache.xerces.parsers.DOMParser,org.xml.sax.SAXException,org.apache.xerces.dom.DocumentFragmentImpl,org.apache.html.dom.HTMLScriptElementImpl,org.apache.html.dom.HTMLTitleElementImpl,org.apache.wml.dom.WMLSmallElementImpl,org.apache.html.dom.HTMLButtonElementImpl,org.apache.xerces.dom.ParentNode,org.apache.html.dom.HTMLTableCaptionElementImpl,org.apache.html.dom.HTMLLIElementImpl,org.apache.html.dom.HTMLHRElementImpl,org.apache.wml.dom.WMLAnchorElementImpl,org.w3c.dom.html.HTMLButtonElement,org.apache.html.dom.HTMLObjectElementImpl,org.apache.html.dom.HTMLTextAreaElementImpl,org.apache.wml.WMLDoElement,org.w3c.dom.html.HTMLBodyElement,org.apache.wml.WMLBElement,org.w3c.dom.html.HTMLTextAreaElement,org.w3c.dom.html.HTMLUListElement,org.apache.html.dom.HTMLDListElementImpl,org.apache.xerces.dom.DeferredCommentImpl,org.apache.html.dom.HTMLMetaElementImpl,org.w3c.dom.Entity,org.apache.html.dom.HTMLInputElementImpl,org.apache.wml.dom.WMLInputElementImpl,org.apache.html.dom.HTMLFieldSetElementImpl,org.apache.xerces.dom.EntityReferenceImpl,org.apache.xerces.jaxp.DocumentBuilderImpl,org.apache.xerces.dom.ElementDefinitionImpl,org.xml.sax.helpers.XMLFilterImpl,org.apache.xerces.dom.ElementNSImpl,org.w3c.dom.Element,org.apache.xerces.dom.NotationImpl,org.apache.wml.dom.WMLTemplateElementImpl,org.w3c.dom.Document,org.apache.html.dom.HTMLElementImpl,org.w3c.dom.html.HTMLPreElement,org.w3c.dom.html.HTMLBRElement,org.apache.html.dom.HTMLLabelElementImpl,org.apache.html.dom.HTMLUListElementImpl,org.apache.html.dom.HTMLOListElementImpl,org.w3c.dom.html.HTMLTableCellElement,org.apache.wml.WMLRefreshElement}
@attribute Type {C,I}
@attribute Getters numeric
@attribute Setters numeric
@attribute NoM numeric
@attribute InDegrees numeric
@attribute OutDegrees numeric
@attribute ClusteringCoefficient numeric
@attribute LOC numeric
@attribute Bugs numeric

@data
xerces,1.4.4,org.apache.html.dom.HTMLOptGroupElementImpl,C,2,2,5,0,3,0.333333,25,2
xerces,1.4.4,org.apache.wml.WMLPElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.w3c.dom.html.HTMLTitleElement,I,0,0,0,2,2,0.666667,0,0
xerces,1.4.4,org.w3c.dom.html.HTMLLegendElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.events.EventListener,I,0,0,0,1,1,0,0,0
xerces,1.4.4,org.apache.html.dom.HTMLModElementImpl,C,2,2,5,0,3,0.333333,23,2
xerces,1.4.4,org.apache.wml.WMLBigElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.wml.dom.WMLTrElementImpl,C,2,2,5,0,3,0.333333,23,2
xerces,1.4.4,org.apache.html.dom.HTMLHtmlElementImpl,C,1,1,3,1,3,0.5,16,2
xerces,1.4.4,org.xml.sax.ext.LexicalHandler,I,0,0,0,2,2,0.333333,0,0
xerces,1.4.4,org.w3c.dom.traversal.NodeIterator,I,0,0,0,1,2,1,0,0
xerces,1.4.4,org.apache.xerces.dom.EntityImpl,C,7,5,14,4,4,0.642857,112,7
xerces,1.4.4,org.w3c.dom.events.EventException,C,0,0,1,2,1,1,7,0
xerces,1.4.4,org.apache.xerces.dom.DeferredEntityReferenceImpl,C,1,0,5,1,10,0.533333,111,2
xerces,1.4.4,org.w3c.dom.html.HTMLParagraphElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.wml.WMLMetaElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.xerces.dom.AttrImpl,C,12,4,39,9,23,0.347826,1425,16
xerces,1.4.4,org.apache.wml.WMLStrongElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.wml.dom.WMLNoopElementImpl,C,2,2,5,0,3,0.333333,23,2
xerces,1.4.4,org.xml.sax.XMLFilter,I,0,0,0,1,2,1,0,0
xerces,1.4.4,org.w3c.dom.events.Event,I,0,0,0,3,1,0.666667,0,0
xerces,1.4.4,org.xml.sax.ext.DeclHandler,I,0,0,0,2,2,0.333333,0,0
xerces,1.4.4,org.apache.wml.dom.WMLOptionElementImpl,C,6,6,13,0,3,0.333333,59,2
xerces,1.4.4,org.w3c.dom.DocumentType,I,0,0,0,7,2,0.535714,0,0
xerces,1.4.4,org.apache.html.dom.HTMLTableElementImpl,C,14,12,36,1,17,0.419048,433,4
xerces,1.4.4,org.apache.wml.WMLSmallElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.xerces.dom.AttrNSImpl,C,3,1,6,2,6,0.8,229,14
xerces,1.4.4,org.apache.html.dom.HTMLBuilder,C,1,1,11,0,16,0.393939,314,2
xerces,1.4.4,org.apache.wml.dom.WMLRefreshElementImpl,C,2,2,5,0,3,0.333333,23,2
xerces,1.4.4,org.apache.xerces.dom.DeferredElementNSImpl,C,1,0,4,1,10,0.527778,113,6
xerces,1.4.4,org.w3c.dom.html.HTMLMenuElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.html.dom.HTMLTableColElementImpl,C,6,6,13,0,4,0.333333,90,2
xerces,1.4.4,org.apache.html.dom.HTMLDivElementImpl,C,1,1,3,0,3,0.333333,16,2
xerces,1.4.4,org.apache.xerces.dom.AttributeMap,C,0,2,12,1,11,0.6,852,9
xerces,1.4.4,javax.xml.parsers.DocumentBuilder,C,0,0,5,1,8,0.333333,87,0
xerces,1.4.4,org.w3c.dom.html.HTMLFrameElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.html.dom.HTMLFormElementImpl,C,9,6,18,0,6,0.333333,83,3
xerces,1.4.4,org.apache.wml.WMLTdElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.wml.dom.WMLTimerElementImpl,C,4,4,9,0,3,0.333333,41,2
xerces,1.4.4,org.apache.wml.dom.WMLCardElementImpl,C,9,9,19,0,3,0.333333,88,2
xerces,1.4.4,org.apache.html.dom.HTMLAnchorElementImpl,C,12,12,27,0,4,0.333333,144,2
xerces,1.4.4,org.apache.wml.dom.WMLUElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.w3c.dom.html.HTMLOptionElement,I,0,0,0,3,2,0.5,0,0
xerces,1.4.4,org.apache.html.dom.HTMLDirectoryElementImpl,C,1,1,3,0,2,0,14,2
xerces,1.4.4,org.apache.xml.serialize.HTMLSerializer,C,0,1,18,2,19,0.142857,1202,5
xerces,1.4.4,org.w3c.dom.html.HTMLHeadElement,I,0,0,0,2,2,0.666667,0,0
xerces,1.4.4,org.apache.html.dom.HTMLLinkElementImpl,C,9,9,19,0,3,0.333333,86,2
xerces,1.4.4,org.apache.html.dom.HTMLDocumentImpl,C,13,3,33,5,35,0.196923,959,10
xerces,1.4.4,org.apache.html.dom.HTMLOptionElementImpl,C,7,7,15,1,15,0.296703,180,2
xerces,1.4.4,org.apache.wml.WMLOptgroupElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.w3c.dom.html.HTMLFontElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.wml.WMLTemplateElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.w3c.dom.events.EventTarget,I,0,0,0,1,2,1,0,0
xerces,1.4.4,org.apache.wml.dom.WMLPrevElementImpl,C,2,2,5,0,3,0.333333,23,2
xerces,1.4.4,org.apache.html.dom.HTMLParamElementImpl,C,4,4,9,0,3,0.333333,43,2
xerces,1.4.4,org.apache.xml.serialize.Printer,C,2,2,18,5,6,0.4,364,3
xerces,1.4.4,org.w3c.dom.html.HTMLLabelElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.html.HTMLInputElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,C,0,0,4,0,4,1,20,6
xerces,1.4.4,org.apache.wml.WMLIElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.html.dom.HTMLParagraphElementImpl,C,1,1,3,0,3,0.333333,14,2
xerces,1.4.4,org.apache.xerces.parsers.SAXParser,C,7,6,49,2,29,0.083004,1325,5
xerces,1.4.4,org.xml.sax.helpers.XMLReaderFactory,C,0,0,3,1,13,0.6,94,1
xerces,1.4.4,org.apache.xerces.dom.NodeImpl,C,16,4,67,42,28,0.136364,1064,16
xerces,1.4.4,org.apache.html.dom.HTMLCollectionImpl,C,0,0,9,8,19,0.121212,355,2
xerces,1.4.4,org.apache.xerces.dom.DeferredElementImpl,C,1,0,4,1,8,0.535714,78,1
xerces,1.4.4,org.apache.xerces.dom.CDATASectionImpl,C,2,0,3,2,3,0.3,9,1
xerces,1.4.4,org.xml.sax.helpers.DefaultHandler,C,0,1,18,2,6,0.333333,22,0
xerces,1.4.4,org.apache.xerces.dom.DeferredNotationImpl,C,1,0,3,1,5,0.4,54,2
xerces,1.4.4,org.xml.sax.DTDHandler,I,0,0,0,5,2,0.266667,0,0
xerces,1.4.4,org.apache.wml.WMLEmElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.html.dom.HTMLBRElementImpl,C,1,1,3,0,3,0.333333,16,2
xerces,1.4.4,org.w3c.dom.html.HTMLSelectElement,I,0,0,0,2,3,0.333333,0,0
xerces,1.4.4,org.apache.wml.dom.WMLIElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.apache.wml.dom.WMLPElementImpl,C,5,5,11,0,3,0.333333,50,2
xerces,1.4.4,javax.xml.parsers.FactoryConfigurationError,C,2,0,6,2,2,0,43,0
xerces,1.4.4,org.w3c.dom.html.HTMLParamElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.html.dom.HTMLImageElementImpl,C,13,13,27,0,3,0.333333,124,2
xerces,1.4.4,org.apache.wml.dom.WMLBigElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.w3c.dom.html.HTMLQuoteElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.html.HTMLLinkElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.wml.dom.WMLBElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.xml.sax.SAXNotSupportedException,C,0,0,1,13,1,0.351648,4,0
xerces,1.4.4,org.w3c.dom.html.HTMLObjectElement,I,0,0,0,2,2,0,0,0
xerces,1.4.4,org.w3c.dom.html.HTMLDocument,I,0,0,0,3,2,0.333333,0,0
xerces,1.4.4,org.apache.wml.dom.WMLDoElementImpl,C,7,7,15,0,3,0.333333,68,2
xerces,1.4.4,org.apache.html.dom.HTMLAppletElementImpl,C,11,11,23,0,3,0.333333,104,2
xerces,1.4.4,org.apache.wml.WMLDOMImplementation,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.w3c.dom.html.HTMLModElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.xerces.dom.DOMImplementationImpl,C,0,0,6,4,8,0.472222,143,6
xerces,1.4.4,org.w3c.dom.html.HTMLDOMImplementation,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.traversal.DocumentTraversal,I,0,0,0,1,2,1,0,0
xerces,1.4.4,org.xml.sax.InputSource,C,5,5,14,16,1,0.133333,56,0
xerces,1.4.4,org.apache.html.dom.HTMLHeadElementImpl,C,1,1,3,1,3,0.5,14,2
xerces,1.4.4,org.xml.sax.DocumentHandler,I,0,0,0,7,2,0.25,0,0
xerces,1.4.4,org.apache.wml.dom.WMLFieldsetElementImpl,C,4,4,9,0,3,0.333333,41,2
xerces,1.4.4,org.xml.sax.HandlerBase,C,0,1,15,1,6,0.333333,19,0
xerces,1.4.4,org.apache.xerces.dom.DeepNodeListImpl,C,1,0,5,3,8,0.666667,250,1
xerces,1.4.4,org.apache.html.dom.HTMLDOMImplementationImpl,C,0,0,4,0,6,0.3,26,1
xerces,1.4.4,org.w3c.dom.html.HTMLBaseFontElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.ProcessingInstruction,I,0,0,0,1,3,0.666667,0,0
xerces,1.4.4,org.apache.wml.WMLTrElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.w3c.dom.html.HTMLDivElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.apache.wml.WMLAElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.xerces.dom.RangeImpl,C,6,4,55,1,14,0.333333,2587,10
xerces,1.4.4,org.apache.wml.WMLBrElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.html.dom.NameNodeListImpl,C,0,0,2,1,5,0.6,73,1
xerces,1.4.4,org.xml.sax.helpers.NamespaceSupport,C,1,0,12,2,7,0,218,0
xerces,1.4.4,org.apache.xerces.jaxp.SAXParserImpl,C,2,1,8,1,15,0.439394,117,12
xerces,1.4.4,javax.xml.parsers.SAXParserFactory,C,0,2,8,2,24,0.47619,239,0
xerces,1.4.4,org.w3c.dom.ranges.DocumentRange,I,0,0,0,1,1,0,0,0
xerces,1.4.4,org.apache.xerces.dom.NodeIteratorImpl,C,4,0,13,1,6,0.4,361,2
xerces,1.4.4,org.apache.wml.dom.WMLSetvarElementImpl,C,4,4,9,0,3,0.333333,41,2
xerces,1.4.4,org.apache.wml.WMLAnchorElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.wml.dom.WMLWmlElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.apache.xerces.dom.DeferredEntityImpl,C,1,0,4,1,6,0.466667,97,3
xerces,1.4.4,org.apache.xerces.dom.LCount,C,0,0,3,5,2,0.7,35,2
xerces,1.4.4,org.w3c.dom.html.HTMLMapElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.DocumentFragment,I,0,0,0,1,2,1,0,0
xerces,1.4.4,org.apache.html.dom.HTMLTableCellElementImpl,C,15,15,31,1,7,0.52381,228,3
xerces,1.4.4,org.apache.xerces.dom.DeferredElementDefinitionImpl,C,1,0,4,1,7,0.571429,78,1
xerces,1.4.4,org.apache.xml.serialize.Serializer,I,0,0,0,2,2,0,0,3
xerces,1.4.4,org.xml.sax.ErrorHandler,I,0,0,0,7,2,0.25,0,0
xerces,1.4.4,org.w3c.dom.DOMImplementation,I,0,0,0,5,2,0.4,0,0
xerces,1.4.4,org.apache.xml.serialize.BaseMarkupSerializer,C,1,4,54,4,33,0.161905,1958,15
xerces,1.4.4,org.apache.xml.serialize.HTMLdtd,C,0,0,18,1,14,0,659,3
xerces,1.4.4,org.apache.html.dom.HTMLTableSectionElementImpl,C,5,4,14,2,11,0.636364,157,3
xerces,1.4.4,org.apache.wml.dom.WMLEmElementImpl,C,3,3,7,0,3,0.333333,32,2
xerces,1.4.4,org.apache.wml.WMLUElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.xerces.dom.ProcessingInstructionImpl,C,4,1,6,3,4,0.52381,38,3
xerces,1.4.4,org.w3c.dom.html.HTMLHtmlElement,I,0,0,0,2,2,0.666667,0,0
xerces,1.4.4,org.apache.wml.WMLFieldsetElement,I,0,0,0,1,2,0,0,1
xerces,1.4.4,org.apache.xerces.dom.RangeExceptionImpl,C,0,0,1,1,1,1,5,1
xerces,1.4.4,org.apache.html.dom.HTMLIFrameElementImpl,C,10,10,21,0,3,0.333333,99,3
xerces,1.4.4,org.w3c.dom.html.HTMLDListElement,I,0,0,0,1,2,0,0,0
xerces,1.4.4,org.w3c.dom.events.DocumentEvent,I,0,0,0,1,2,1,0,0
